NLQ,GOLD_ANS,QUESTION_TYPE,SYSTEM_ANS,Unnamed: 4,GENERATED_CYPHER,DB_OUTPUT,IS_USEFUL,EVAL_REASON
Is Sunita Sen affiliated with Indian Association for the Cultivation of Science?,TRUE,reasoning,,,"MATCH (p:Person) 
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(p.affiliation) CONTAINS toLower(""Indian Association for the Cultivation of Science"") 
RETURN count(p) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which matches the Gold Answer (TRUE), so it correctly satisfies the user’s question."
Has Prof. Ramesh Bhatia published any papers on Temporal Sentiment Analysis?,FALSE,multi-hop,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)
WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"")
AND toLower(pa.paperTitle) CONTAINS toLower(""temporal"") 
AND toLower(pa.paperTitle) CONTAINS toLower(""sentiment"")
RETURN count(pa) > 0 AS result",[{'result': True}],False,"The gold answer indicates that Prof. Ramesh Bhatia has not published papers on Temporal Sentiment Analysis (FALSE), while the database output returns True. Therefore, the raw database output does not match the correct information."
What is the email address of Dr. Michael Bradley?,michael@cs.stanford.edu,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") RETURN DISTINCT p.personEmail","[{'p.personEmail': None}, {'p.personEmail': 'michael@cs.stanford.edu'}]",True,"The correct email address 'michael@cs.stanford.edu' is present as one of the returned values in the raw database output, matching the Gold Answer."
Which method is proposed for Temporal Sentiment Analysis in the collaborative project?,Transformer-based models,multi-hop,,,"MATCH (m:Method)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""temporal sentiment analysis""
RETURN DISTINCT m.methodName","[{'m.methodName': 'temporal embeddings'}, {'m.methodName': 'Transformer-based models'}, {'m.methodName': 'historical lexicons for language change'}, {'m.methodName': 'methods for interpretability'}]",True,"The raw database output includes 'Transformer-based models' as one of the methods, which matches the Gold Answer exactly. Therefore it contains the correct information to satisfy the user’s question, even though it also lists additional methods."
Did Sunita Sen collaborate with researchers from Stanford University?,TRUE,reasoning,,,"MATCH (p1:Person)-[:worksWith|:worksOn]->(x)
WHERE toLower(p1.personName) CONTAINS toLower(""Sunita Sen"")
WITH DISTINCT p1, x
MATCH (p2:Person)-[:worksWith|:worksOn]->(x)
WHERE toLower(p2.affiliation) CONTAINS toLower(""Stanford University"") AND p1 <> p2
RETURN count(p2) > 0 AS result",The information could not be extracted from the KG.,False,"The gold answer states that the correct answer is TRUE, but the database output says the information could not be extracted. It does not provide the correct answer and therefore cannot satisfy the user’s question."
What datasets are used in the Temporal Sentiment Analysis project?,"Chronicling America
British Library Digital Collections
Corpus of Historical American English (COHA)
datasets",single-hop,, ,"MATCH (t:Task) WHERE toLower(t.taskName) CONTAINS ""temporal"" OR toLower(t.taskName) CONTAINS ""sentiment analysis""
MATCH (d:Dataset)-[:usedFor]->(t)
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'Chronicling America'}, {'d.datasetName': 'British Library Digital Collections'}, {'d.datasetName': 'Corpus of Historical American English (COHA)'}, {'d.datasetName': 'datasets'}, {'d.datasetName': 'key South Asian corpora'}, {'d.datasetName': 'multilingual corpus'}]",False,"The raw output includes all the correct datasets from the Gold Answer but also contains additional datasets not in the Gold Answer (e.g., 'key South Asian corpora', 'multilingual corpus'). Since it is not restricted to the listed datasets and introduces extra items, it does not accurately satisfy the question as defined by the Gold Answer."
Which task is Dr. Ananya Chatterjee working on with Prof. Ramesh Bhatia and Sunita Sen?,Temporal Sentiment Analysis,multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"")
   OR toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"")
   OR toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
WITH t, collect(DISTINCT toLower(p.personName)) AS people
WHERE ""ananya chatterjee"" IN people AND ""ramesh bhatia"" IN people AND ""sunita sen"" IN people
RETURN DISTINCT t.taskName",[],False,"The database output is an empty list and does not contain any information, so it cannot provide the correct answer 'Temporal Sentiment Analysis' or anything about the task Dr. Ananya Chatterjee is working on."
"Does Dr. Ananya Chatterjee have any meetings scheduled before April 8th, 2019?",Yes,reasoning,,,"MATCH (p:Person)-[:attends]->(m:Meeting)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND m.meetDate IS NOT NULL AND date(m.meetDate) < date(""2019-04-08"")
RETURN count(m) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which corresponds to 'Yes' in the Gold Answer, so it contains the correct information to satisfy the user's question."
What are the main datasets being used for the Temporal Sentiment Analysis project?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,,,"MATCH (t:Task) 
WHERE toLower(t.taskName) CONTAINS ""temporal"" OR toLower(t.taskName) CONTAINS ""sentiment""
MATCH (d:Dataset)-[:usedFor]->(t)
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'Chronicling America'}, {'d.datasetName': 'British Library Digital Collections'}, {'d.datasetName': 'Corpus of Historical American English (COHA)'}, {'d.datasetName': 'datasets'}, {'d.datasetName': 'key South Asian corpora'}, {'d.datasetName': 'multilingual corpus'}]",True,"The database output includes all three correct main datasets listed in the Gold Answer (Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)). The extra entries can be ignored, so the raw output is sufficient to derive the correct answer."
What is the affiliation of Ananya Chatterjee?,University of Oxford,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") RETURN DISTINCT p.affiliation","[{'p.affiliation': 'University of Oxford'}, {'p.affiliation': None}]",True,"The database output includes an entry with 'p.affiliation' equal to 'University of Oxford', which matches the expected gold answer. The presence of an additional None value does not negate that the correct information is present."
Which researchers are involved in the Temporal Sentiment Analysis project with Sunita Sen?,"Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",multi-hop,,,"MATCH (p1:Person)-[:worksOn]->(t:Task)<-[:worksOn]-(p2:Person)
WHERE (toLower(t.taskName) CONTAINS toLower(""temporal"") OR toLower(t.taskName) CONTAINS toLower(""sentiment""))
AND toLower(p1.personName) CONTAINS toLower(""Sunita Sen"")
AND p2.id <> p1.id
RETURN DISTINCT p2.personName","[{'p2.personName': 'Prof. Ramesh Bhatia'}, {'p2.personName': 'Dr Bradley'}, {'p2.personName': 'Dr Chatterjee'}, {'p2.personName': 'Dr. Michael Bradley'}, {'p2.personName': 'Dr. Ananya Chatterjee'}]",True,"All three researchers from the Gold Answer—Prof. Ramesh Bhatia, Dr. Michael Bradley, and Dr. Ananya Chatterjee—are present in the raw database output. The extra/variant entries (Dr Bradley, Dr Chatterjee) are duplicates or abbreviated forms and do not prevent correctly answering the question."
Is Prof. Ramesh Bhatia affiliated with the Indian Association for the Cultivation of Science?,TRUE,reasoning,,,"MATCH (p:Person) 
WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"") AND toLower(p.affiliation) CONTAINS toLower(""Indian Association for the Cultivation of Science"") 
RETURN count(p) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which matches the Gold Answer of TRUE and correctly indicates that Prof. Ramesh Bhatia is affiliated with the Indian Association for the Cultivation of Science."
"What is the outcome of the meeting scheduled for April 6th, 2019, regarding Temporal Sentiment Analysis?",Not available,not available,,,"MATCH (m:Meeting)
WHERE m.meetDate = ""2019-04-06"" AND toLower(m.meetAgenda) CONTAINS toLower(""Temporal Sentiment Analysis"")
RETURN m.meetAgenda, m.meetLink, m.meetTime, m.meetDate",[],True,Both correctly identified missing information.
What datasets are being used for the Temporal Sentiment Analysis project?,"Chronicling America
British Library Digital Collections
Corpus of Historical American English (COHA)
datasets",single-hop,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS toLower(""temporal sentiment analysis"")
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'Chronicling America'}, {'d.datasetName': 'British Library Digital Collections'}, {'d.datasetName': 'Corpus of Historical American English (COHA)'}, {'d.datasetName': 'datasets'}]",True,"The raw database output lists the same four dataset names as the Gold Answer: Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA), and datasets. It therefore contains the correct information needed to answer the user’s question."
Which metrics are being used to evaluate the Temporal Sentiment Analysis project?,"Accuracy, F1-score, temporal consistency score",multi-hop,,,"MATCH (t:Task)<-[:evaluates]-(m:Metric)
WHERE toLower(t.taskName) CONTAINS toLower(""temporal"") OR toLower(t.taskName) CONTAINS toLower(""sentiment analysis"")
RETURN DISTINCT m.metricName","[{'m.metricName': 'accuracy'}, {'m.metricName': 'F1-score'}, {'m.metricName': 'temporal consistency score'}]",True,"The raw database output lists the same three metrics—accuracy, F1-score, and temporal consistency score—as the Gold Answer, so it fully satisfies the user’s question."
For which task did Dr. Michael Bradley use the Chronicling America dataset?,"
Temporal Sentiment Analysis project,
Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples),
manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies",single-hop,,,"MATCH (p:Person)-[:worksWith]->(d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") AND toLower(d.datasetName) CONTAINS toLower(""Chronicling America"")
RETURN DISTINCT t.taskName","[{'t.taskName': 'Temporal Sentiment Analysis in Historical Archives'}, {'t.taskName': 'Temporal Sentiment Analysis project'}, {'t.taskName': 'sentiment analysis'}, {'t.taskName': 'initial data processing'}, {'t.taskName': 'sentiment lexicon usage analysis'}, {'t.taskName': 'extraction of clean sentences for analysis'}, {'t.taskName': ""Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)""}, {'t.taskName': 'manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies'}, {'t.taskName': 'Cross-Dataset Generalizability'}]",True,"Yes. The raw database output explicitly includes all three tasks mentioned in the Gold Answer: 'Temporal Sentiment Analysis project', 'Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)', and 'manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies'. Thus it contains the correct information needed to answer the user’s question."
Did Dr. Ananya Chatterjee contribute to task of model interpretability?,TRUE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND toLower(t.taskName) CONTAINS ""interpret"" 
RETURN count(t) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which matches the expected Gold Answer of TRUE, so it correctly satisfies the user’s question."
Who is affiliated with the University of Oxford?,Dr. Ananya Chatterjee,single-hop,,,"MATCH (p:Person) WHERE toLower(p.affiliation) CONTAINS toLower(""University of Oxford"") RETURN DISTINCT p.personName","[{'p.personName': 'Dr Ananya Chatterjee'}, {'p.personName': 'Dr Chatterjee'}, {'p.personName': 'Dr. Ananya Chatterjee'}, {'p.personName': 'Ms. Laura Jenkins'}]",True,"Yes. The raw database output includes entries for 'Dr Ananya Chatterjee' and 'Dr. Ananya Chatterjee', which clearly match the expected Gold Answer 'Dr. Ananya Chatterjee' (minor punctuation/spelling differences). Although there is an extra person (Ms. Laura Jenkins), the correct gold entity is present, so the output contains the needed information to answer the question."
Which methods are being used as a baseline for analyzing temporal drift in sentiment?,"LSTM, lexicon-based methods",multi-hop,,,"MATCH (m:Method)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""temporal drift"" OR toLower(t.taskName) CONTAINS ""sentiment""
RETURN DISTINCT m.methodName","[{'m.methodName': 'temporal embeddings'}, {'m.methodName': 'Transformer-based models'}, {'m.methodName': 'LSTM'}, {'m.methodName': 'evaluation methods that focus on interpretability'}, {'m.methodName': 'historical lexicons for language change'}, {'m.methodName': 'methods for interpretability'}, {'m.methodName': 'alignment methods'}, {'m.methodName': 'chronological split'}, {'m.methodName': 'model-agnostic methods'}, {'m.methodName': 'LIME'}, {'m.methodName': 'SHAP'}, {'m.methodName': 'lexicon-based methods'}, {'m.methodName': 'decade-based split'}]",True,"The database output includes both methods specified in the Gold Answer: 'LSTM' and 'lexicon-based methods'. Therefore it contains the correct information needed to answer the user's question, even though it lists additional methods as well."
Is there a meeting scheduled after 18th April 2019?,TRUE,reasoning,,,"MATCH (m:Meeting) WHERE m.meetDate IS NOT NULL AND date(m.meetDate) > date(""2019-04-18"") RETURN count(m) > 0 AS result",[{'result': True}],True,"The raw database output is True, which matches the expected Gold Answer of TRUE, correctly indicating that there is a meeting scheduled after 18th April 2019."
What is the dataset used for diachronic analysis in the project?,Not available,not available,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""diachronic""
RETURN DISTINCT d.datasetName",[],True,Both correctly identified missing information.
What is Dr. Ananya Chatterjee's email address?,ananya.chatterjee@cs.ox.ac.uk,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Dr. Ananya Chatterjee"") RETURN DISTINCT p.personEmail","[{'p.personEmail': 'ananya.chatterjee@ox.ac.uk'}, {'p.personEmail': 'ananya.chatterjee@cs.ox.ac.uk'}]",True,"The raw database output includes the exact Gold Answer value 'ananya.chatterjee@cs.ox.ac.uk' among its results, so it contains the correct information needed to answer the question, even though it also includes an extra email address."
What methods are being compared for model interpretability in the project?,"LIME, SHAP",multi-hop,,,"MATCH (t:Task) WHERE toLower(t.taskName) CONTAINS ""interpret"" OR toLower(t.taskName) CONTAINS ""explain""
MATCH (m:Method)-[:usedFor]->(t)
RETURN DISTINCT m.methodName","[{'m.methodName': 'LIME'}, {'m.methodName': 'SHAP'}, {'m.methodName': 'temporal saliency mapping'}, {'m.methodName': 'attention visualization techniques in Transformer architectures'}, {'m.methodName': 'interpretability outputs on raw versus post-OCR-corrected text'}, {'m.methodName': 'faithfulness/clarity heatmaps'}, {'m.methodName': 'representative vignettes for “best case” and “edge case” explanations'}, {'m.methodName': 'bar charts showing breakdowns of willingness scores by document artifact severity'}]",True,"The gold answer lists LIME and SHAP, and both appear explicitly in the raw database output among other methods. Therefore the raw output does contain the correct information needed to answer the user’s question."
Is Sunita Sen involved in researching interpretability techniques specific to NLP on historical texts?,FALSE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
  AND (
    toLower(t.taskName) CONTAINS ""interpret"" OR
    toLower(t.taskName) CONTAINS ""explain"" OR
    toLower(t.taskName) CONTAINS ""explanation""
  )
  AND (
    toLower(t.taskName) CONTAINS ""nlp"" OR
    toLower(t.taskName) CONTAINS ""natural language"" OR
    toLower(t.taskName) CONTAINS ""text""
  )
  AND (
    toLower(t.taskName) CONTAINS ""historical"" OR
    toLower(t.taskName) CONTAINS ""history""
  )
RETURN count(t) > 0 AS result",[{'result': False}],True,"The raw database output indicates False, which matches the Gold Answer of FALSE. Therefore, it contains the correct information to satisfy the user's question."
What is the affiliation of Dr. Michael Bradley?,Stanford University,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") RETURN DISTINCT p.affiliation",[{'p.affiliation': 'Stanford University'}],True,"The database output provides 'Stanford University' as the affiliation, which exactly matches the expected gold answer. Therefore, it contains the correct information to answer the user’s question."
What datasets is Sunita Sen working on for her data processing task?,"Chronicling America, British Library Digital Collections",single-hop,,,"MATCH (p:Person)-[:worksWith]->(d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND (toLower(t.taskName) CONTAINS ""data process"" OR toLower(t.taskName) CONTAINS ""processing"")
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'Chronicling America'}, {'d.datasetName': 'British Library Digital Collections'}, {'d.datasetName': 'both datasets'}]",True,"The raw database output includes both correct datasets: 'Chronicling America' and 'British Library Digital Collections', which matches the Gold Answer. The extra 'both datasets' entry does not contradict or omit required information, so the output is still sufficient to answer the question accurately."
What specific OCR correction tool is Sunita Sen using to address the challenges in her dataset processing?,OCR correction,single-hop,,,"MATCH (p:Person)-[:worksWith]->(m:Method)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(m.methodName) CONTAINS ""ocr""
RETURN DISTINCT m.methodName","[{'m.methodName': 'OCR correction'}, {'m.methodName': 'OCR'}, {'m.methodName': 'OCR error contextualization'}, {'m.methodName': 'OCR error correction'}, {'m.methodName': 'OCR error correction module'}, {'m.methodName': 'OCR pipeline'}]",True,"Yes. The database output includes an entry with methodName 'OCR correction', which matches the expected Gold Answer and directly answers the user’s question about the specific OCR correction tool Sunita Sen is using."
What preprocessing tools did Dr. Michael Bradley suggest for improving OCR errors?,"Tesseract, ocropy, Project LaVa",single-hop,,,"MATCH (p:Person)-[:worksWith]->(m:Method)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") AND toLower(m.methodName) CONTAINS ""preprocess""
RETURN DISTINCT m.methodName",[],False,"The raw database output is an empty list and does not contain any of the tools (Tesseract, ocropy, Project LaVa) mentioned in the Gold Answer, so it cannot satisfy the user’s question."
Which institutions are Dr. Michael Bradley and Dr. Ananya Chatterjee affiliated with?,"Dr. Michael Bradley is affiliated with Stanford University, and Dr. Ananya Chatterjee is affiliated with University of Oxford.",multi-hop,,,"MATCH (p:Person)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") OR toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"")
RETURN DISTINCT p.personName, p.affiliation","[{'p.personName': 'Dr Michael Bradley', 'p.affiliation': 'Stanford University'}, {'p.personName': 'Dr Ananya Chatterjee', 'p.affiliation': 'University of Oxford'}, {'p.personName': 'Dr. Michael Bradley', 'p.affiliation': 'Stanford University'}, {'p.personName': 'Dr. Ananya Chatterjee', 'p.affiliation': 'University of Oxford'}, {'p.personName': 'Ananya Chatterjee', 'p.affiliation': None}]",True,"The database output includes entries clearly indicating that Dr Michael/Dr. Michael Bradley is affiliated with Stanford University and Dr Ananya/Dr. Ananya Chatterjee is affiliated with University of Oxford, matching the Gold Answer. Extra and slightly varied name formats and a null-affiliation row do not prevent answering the question correctly."
Did Dr. Michael Bradley propose using a custom OCR correction model for improving text recovery?,TRUE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"")
  AND (
    toLower(t.taskName) CONTAINS ""ocr"" OR
    toLower(t.taskName) CONTAINS ""correction"" OR
    toLower(t.taskName) CONTAINS ""custom"" OR
    toLower(t.taskName) CONTAINS ""text recovery"" OR
    toLower(t.taskName) CONTAINS ""improv""
  )
RETURN count(t) > 0 AS result",[{'result': True}],True,"The database output returns True, which matches the Gold Answer of TRUE, so it correctly satisfies the user’s question."
What dataset was used in the preprocessing workflow for digitized documents at Stanford Library?,Not available,not available,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE (toLower(t.taskName) CONTAINS ""preprocess"" OR toLower(t.taskName) CONTAINS ""pre-processing"" OR toLower(t.taskName) CONTAINS ""workflow"")
  AND (toLower(t.taskName) CONTAINS ""digitized"" OR toLower(t.taskName) CONTAINS ""document"")
  AND toLower(t.taskName) CONTAINS ""stanford""
RETURN DISTINCT d.datasetName",[],True,Both correctly identified missing information.
What is the email address of Dr. Ananya Chatterjee?,ananya.chatterjee@cs.ox.ac.uk,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") RETURN DISTINCT p.personEmail","[{'p.personEmail': None}, {'p.personEmail': 'ananya.chatterjee@ox.ac.uk'}, {'p.personEmail': 'ananya.chatterjee@cs.ox.ac.uk'}]",True,"The database output includes the exact gold answer value 'ananya.chatterjee@cs.ox.ac.uk' among its results, so it does contain the correct information needed to answer the user’s question."
