QUESTION_TYPE,NLQ,GOLD_ANS,GENERATED_ANS,category,EVAL_REASON
single-hop,For which task did Dr. Michael Bradley use the Chronicling America dataset?,"
Temporal Sentiment Analysis project,
Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples),
manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies","Dr. Michael Bradley used the Chronicling America dataset for initial work and analyses in the context of the ""Temporal Sentiment Analysis in Historical Archives"" project, specifically focusing on materials between 1880 and 1950 to analyze sentiment lexicon usage across decades and to benchmark NLP models for historical text analysis.",partial (missing items),"The system answer only mentions the Temporal Sentiment Analysis project and some related analysis, but it omits the other explicitly listed tasks from the gold answer: Michael's OCR/post-processing pipeline demonstration using Chronicling America samples and the manual verification for textual fidelity and metadata mapping. Since it does not cover all the tasks specified in the gold answer, it is not fully correct."
reasoning,Did Dr. Ananya Chatterjee contribute to task of model interpretability?,TRUE,Not available,missed (said not-available),"The gold answer indicates that the correct response is TRUE, but the system answer says 'Not available' and does not confirm this. Therefore, it does not provide the correct information to satisfy the user's question."
not available,What is the dataset used for diachronic analysis in the project?,Not available,"The project uses multilingual historical newspaper corpora—including 19th-century Bengali, English, Urdu, Oriya, and Tamil newspaper datasets—for diachronic analysis. Specific references include the “Bengal Gazette,” “Madras Chronicle,” and additional annotated historical newspapers, as well as subcorpora from the Indian Newspapers corpus, British Colonial Proceedings, and US Immigration Letters.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system answer fabricates a specific dataset description. Therefore, it does not provide correct information relative to the gold standard."
reasoning,Is Sunita Sen involved in researching interpretability techniques specific to NLP on historical texts?,FALSE,Yes.,wrong TRUE/FALSE,"The gold answer states that the correct response is FALSE, meaning Sunita Sen is not involved in that specific research. The system answer says 'Yes,' which directly contradicts the gold answer and is therefore incorrect and not useful."
single-hop,What specific OCR correction tool is Sunita Sen using to address the challenges in her dataset processing?,OCR correction,"Sunita Sen is considering integrating an OCR correction tool but has not specified a particular tool she is using. She mentions seeking recommendations for reliable resources or workflows for OCR correction in large-scale historical textual projects. Michael Bradley later suggests tools like Tesseract in combination with post-correction frameworks such as ‘ocropy’ or deep learning–based approaches (e.g., Project LaVa), but there is no indication that Sunita has implemented any specific tool herself.",missed (said not-available),"The gold answer states clearly that the specific OCR correction tool being used is simply 'OCR correction.' The system answer instead claims she has not specified any particular tool and only discusses possibilities and suggestions from others. This contradicts the gold answer and does not provide the correct specific tool, so it is not useful."
not available,What dataset was used in the preprocessing workflow for digitized documents at Stanford Library?,Not available,Stanford Library pamphlets,FABRICATED (gold = not available),"The gold answer indicates that the correct information is not available, while the system answer asserts a specific dataset ('Stanford Library pamphlets') that is unsupported. Therefore, the system answer does not match the expected answer and is not correct."
multi-hop,Which dataset is being used by Sunita Sen for OCR correction method?,Chronicling America subset (1890–1900),19th-century Bengali and English periodicals segment,wrong value / hallucination,"The system answer is incorrect. The gold answer specifies 'Chronicling America subset (1890–1900),' while the system answer mentions '19th-century Bengali and English periodicals segment,' which is a different dataset."
not available,What is the venue for the meeting scheduled on 23rd April?,Not available,Google Meet (https://meet.google.com/nmt-ksqj-bve),FABRICATED (gold = not available),"The gold answer indicates that the venue information is not available, while the system provides a specific venue (Google Meet link). Since the gold standard says the information is not available, the system’s answer is not considered correct."
multi-hop,Which task is Dr. Michael Bradley planning to demonstrate during the meeting?,OCR/post-processing pipeline demonstration,"Dr. Michael Bradley is planning to demonstrate the evaluation framework and experimental results, specifically focusing on the evaluation methodology—including metric selection, baselines, and error analysis—for the JCDL 2023 presentation.",wrong value / hallucination,"The system answer is incorrect. The gold answer states that Dr. Michael Bradley plans to demonstrate the OCR/post-processing pipeline, but the system answer instead describes an evaluation framework and experimental results for a JCDL 2023 presentation, which does not match the specified task."
single-hop,"Which tasks involve the dataset of ""british library""?","Temporal Sentiment Analysis in Historical Archives
Temporal Sentiment Analysis project
sentiment analysis
initial data processing
sentiment lexicon usage analysis
extraction of clean sentences for analysis
Cross-Dataset Generalizability
manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies","The tasks involving the ""british library"" dataset include:

- Expanding the dataset index and licensing table to explicitly annotate licensing categories, DOIs, and usage permissions for each corpus, including British Library collections (see Ananya’s updates and the “JOCCH_Dataset_Index_v3.xlsx”).
- Integrating British Library datasets as part of the cross-lingual and historical corpora used for benchmarking, annotation, and evaluation in the semantic drift detection and historical NLP pipeline (see Michael’s and Sunita’s references to benchmarking and annotation protocols).
- Addressing reviewer requests for more granular benchmarking and error analysis by language and time period, which includes British Library data as a key source for English and other historical language segments (see Michael’s evaluation metrics and error analysis drafts).
- Documenting licensing, provenance, and compliance protocols for British Library datasets in the legal/compliance appendix and in the main text’s data availability and methodology sections (see Sunita’s and Ramesh’s compliance and licensing updates).
- Referencing British Library datasets in the supplementary materials, provenance tables, and in the context of annotation reliability and cross-institutional data sharing (see Sunita’s and Ananya’s integration of provenance tables and dataset documentation).

In summary: dataset indexing, licensing annotation, benchmarking, annotation, evaluation, compliance documentation, and provenance integration all involve the British Library dataset.","over-complete (extra, debatable)","The system answer does not mention any of the specific tasks from the gold answer (e.g., temporal sentiment analysis, sentiment lexicon usage analysis, extraction of clean sentences, cross-dataset generalizability, manual verification, etc.). Instead, it talks about indexing, licensing, benchmarking, and compliance, which are unrelated to the listed gold tasks. Therefore it does not correctly satisfy the user’s question."
not available,What are the evaluation metrics suggested for the baseline model?,Not available,"The evaluation metrics suggested for the baseline model are:  
- Character/Error Rates (CER and WER)  
- Token-level accuracy  
- F1 score  
- Adjusted historical vocabulary recall  
- Provenance-based metrics (measuring fidelity of date/location extraction from noisy versus cleaned text)  

These are to be used in both intrinsic and extrinsic evaluation, with additional stretch goals including chronology prediction and cross-dataset generalizability.",FABRICATED (gold = not available),"The gold answer is listed as 'Not available', which indicates that there is no reference information about what the correct evaluation metrics are. The system answer invents specific metrics without any grounding in a known gold response, so we cannot verify its correctness against the expected answer. Therefore, it cannot be judged as providing the same correct information as the gold answer."
not available,What is the publication year of the paper discussing the dual metadata mapping policies?,Not available,2022,FABRICATED (gold = not available),"The gold answer indicates the publication year is not available, while the system answer confidently gives a specific year (2022). This conflicts with the gold answer, so it is not correct or useful."
not available,What evaluation metrics are being used by Prof Ramesh Bhatia for the task of manuscript integration?,Not available,"The evaluation metrics being used by Prof. Ramesh Bhatia for the task of manuscript integration are:

- Internal consistency
- Figure and table placements
- Reference integrity
- Supplementary documentation completeness

These are confirmed in his review of the final submission package, where he states: ""I have completed my checklist regarding internal consistency, figure and table placements, reference integrity, and supplementary documentation."" (See: MAILE1V9B4WF, 18th October 2024)",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system answer fabricates specific evaluation metrics and a citation. Therefore, it does not provide correct information relative to the gold answer and is not useful."
multi-hop,"Which conferences are being considered for the submission of the paper ""Deploying Synthetic Preview and Embargo Protocols for Multilingual Historical NLP Resources""?","ACL 2021, ACL 2021 Resource Track","ACL 2022, JOCCH, EMNLP",wrong value / hallucination,"The system answer does not mention ACL 2021 or ACL 2021 Resource Track, and instead lists different venues (ACL 2022, JOCCH, EMNLP). Therefore it does not provide the correct information."
reasoning,Is Sunita Sen available for a meeting on 3rd May at 3 PM IST?,TRUE,Not available.,missed (said not-available),"The gold answer indicates that Sunita Sen IS available (TRUE), while the system answer says she is not available. This directly contradicts the gold answer, so it is not correct or useful."
multi-hop,Which paper of the team got published in JCDL 2022 ?,Cross-Institutional Protocols for Metadata and Embargo: An Integrated FAQ Annex,“Cross-Jurisdictional Protocols in NLP: FAQ Annexation for Multilingual Historical Media”,wrong value / hallucination,"The system answer gives a completely different paper title from the gold answer. It does not mention 'Cross-Institutional Protocols for Metadata and Embargo: An Integrated FAQ Annex', so it does not correctly identify the paper published in JCDL 2022."
multi-hop,What comparative methods do Ramesh Bhatia work with?,"comparative NLP analysis
comparative protocol table
legal comparative table
comparative legal matrix","Ramesh Bhatia works with comparative legal protocol matrices and regulatory analysis methods, particularly focusing on cross-jurisdictional data-sharing protocols, compliance frameworks, and archival annotation standards. He develops side-by-side tables comparing data protection laws and consent/anonymization requirements across India (including the India Data Protection Bill), the EU/UK (GDPR and heritage exceptions), the US, and additional non-Western contexts such as Japan and Chile. He also synthesizes and annotates differences and similarities in compliance workflows, integrating these comparative analyses into both main text and appendices for multi-institutional NLP projects on historical corpora.",wrong value / hallucination,"The system answer does not mention the specific comparative methods listed in the gold answer (comparative NLP analysis, comparative protocol table, legal comparative table, comparative legal matrix). It instead describes broader legal and regulatory comparative work without explicitly naming or aligning with those methods, so it does not correctly satisfy the question as defined by the gold answer."
multi-hop,Has the pilot annotation exercise been submitted to a conference?,FALSE,"Yes. The pilot annotation exercise and its associated workflow, compliance protocols, and lessons learned have been submitted and accepted for presentation at ACL 2024, as documented in the following emails:

- The submission “Generalizing Protocol Harmonization in Under-Resourced Historical NLP: Methods, Legal Interoperability, and Error Analysis” (Submission ID: SUB-ACL-2024-0483) was accepted for presentation at ACL 2024 (see the decision notification dated 16th April 2024).
- The manuscript and supplementary materials include detailed discussion of the annotation workflow, pilot study results, and compliance protocols, as referenced in the revision and camera-ready preparation emails.

Therefore, the pilot annotation exercise has been submitted to and accepted at ACL 2024.",wrong TRUE/FALSE,"The gold answer indicates the correct response is FALSE, meaning the pilot annotation exercise has not been submitted to a conference. The system answer explicitly states that it has been submitted and accepted to ACL 2024, which directly contradicts the gold answer. Therefore, the system answer is incorrect and not useful."
reasoning,"Was the paper ""NLP Methods for Historical Data: Provenance and Bias Mitigation"" submitted to EMNLP?",FALSE,Not available,missed (said not-available),"The gold answer states the paper was not submitted to EMNLP (FALSE). The system answer 'Not available' does not provide this information and does not answer the question, so it is not useful."
multi-hop,What are the metrics used to evaluate the LIME and SHAP models?,"explanation consistency scores, faithfulness indices, stability of explanations, qualitative assessment of explanations",The metrics used to evaluate the LIME and SHAP models are explanation consistency scores and faithfulness indices.,partial (missing items),"The system answer is incomplete. It only mentions explanation consistency scores and faithfulness indices, but omits stability of explanations and qualitative assessment of explanations, which are also required metrics according to the Gold Answer."
reasoning,Is there a deadline for feedback on the annotation instructions?,"Yes, feedback is requested by 7th May 2019.","Yes. In the message dated 10th August 2023, Sunita Sen requests feedback on the draft annotation guidelines prior to the peer review phase (starting 11 May). She asks for constructive feedback from everyone before that date, specifically stating: ""I welcome constructive feedback from everyone prior to our peer review phase (starting 11 May). If you feel targeted comments are warranted, please use the 'Suggesting' mode within the Drive document or reply-all here with consolidated suggestions.""",wrong value / hallucination,"The system answer does not mention the correct deadline of 7th May 2019. It gives a different and later time frame (before 11 May) and different dates entirely, so it does not provide the correct information compared to the Gold Answer."
not available,What dataset is being used for the historian review component in the interpretability evaluation?,Not available,"The dataset being used for the historian review component in the interpretability evaluation is a subset of the corpus from both the Chronicling America and British Library collections, specifically a carefully curated “clean” subset that has been processed using an OCR correction pipeline and manually verified for high textual fidelity and alignment with dual metadata mapping policies. This subset is referenced as the basis for the interpretability evaluation and the historian annotation pilot.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, meaning the correct response should reflect that the dataset is unspecified. The system answer instead invents a specific dataset description, which is not supported and therefore incorrect."
single-hop,What are the specific NLP methods mentioned in the annotation protocol?,"large-scale historical NLP efforts, NLP processing, NLP, multilingual and low-resource historical NLP pipelines, NLP tools, HistocrNLP, open and reproducible NLP for historical texts, HistocrNLP—Reproducible NLP Pipeline for Historical Corpora, comparative NLP analysis, NLP Methods for Historical Data, Multilingual NLP, multilingual NLP framework, multilingual historical NLP methods, NLP-based framework, NLP for historical data, cross-institution protocols for multilingual NLP, cross-lingual historical NLP pipeline, ethical data handling in historical NLP workflows, NLP methods, recent EMNLP benchmark, NLP pipeline, historical corpus NLP, NLP Pipelines, historical NLP pipelines, archival NLP, NLP research on historical data","The specific NLP methods mentioned in the annotation protocol include:

- Semantic entity adjudication (with a focus on entity and relation definitions, including historical text nuances)
- Named Entity Recognition (NER) and normalization workflows
- Annotation reliability assessment using inter-annotator agreement metrics (Cohen’s Kappa, F1, Krippendorff’s alpha)
- Provenance checkpointing and metadata tracking for annotation events
- Error analysis and benchmarking (including per-language precision, recall, and F1 score calculations)
- Cross-lingual and mixed-script annotation handling (with explicit code-switch markers)
- Annotation workflow automation (including compliance checkpoints and consent revalidation steps)
- Use of workflow diagrams to represent manual/automated annotation, legal review, embargo entry, and open release stages

These methods are documented in the annotation guidelines, workflow diagrams, and supplementary materials referenced throughout the manuscript and appendices.",wrong value / hallucination,"The system answer lists general annotation and evaluation procedures (e.g., NER, inter-annotator agreement) that do not match the specific NLP methods enumerated in the Gold Answer (e.g., large-scale historical NLP efforts, multilingual historical NLP pipelines, HistocrNLP, archival NLP, etc.). It neither mentions these terms nor equivalent concepts, so it does not satisfy the user’s question compared to the Gold Answer."
multi-hop,"Which conferences are being considered for submission of the paper ""Multilingual Historical Corpora for Semantic Drift Detection: A Hybrid Evaluation Approach""?",JCDL 2023,"JCDL, ACL, EMNLP","over-complete (extra, debatable)","The gold answer specifies only JCDL 2023, while the system lists multiple conferences (JCDL, ACL, EMNLP) and does not restrict to JCDL 2023. This introduces incorrect extra information, so it does not match the expected answer."
single-hop,What is the date for the ACL submission task?,2019-05-28,27th January 2025,wrong value / hallucination,"The system answer provides a completely different date (27th January 2025) instead of the correct submission date (2019-05-28), so it does not satisfy the user’s question."
reasoning,Is Dr Katherine Liu working on her annotation work with Dr Ajay Patel?,TRUE,Not available.,missed (said not-available),"The gold answer indicates the correct response is TRUE, but the system answer provides no information. Therefore, it does not satisfy the user’s question."
multi-hop,What dataset was used for the annotation process in the email?,"Zenodo, annotated dataset, sample annotation guidelines, NDLI, supplementary annotation logs, edge cases, inter-annotator metadata, Bengal Gazette, Madras Chronicle, annotation packets, multi-lingual dataset, datasets, stanford_annotations_may2019, Stanford ContinuingReview_Sample.pdf, Europeana","Bengali, Urdu, Oriya, and Tamil historical corpora (including the Indian Newspapers corpus, British Colonial Proceedings, and US Immigration Letters)",wrong value / hallucination,"The system answer does not mention the specific datasets listed in the Gold Answer (e.g., Zenodo, NDLI, Bengal Gazette, Europeana, etc.) and instead names unrelated historical corpora. It therefore does not contain the correct information needed to satisfy the user’s question."
reasoning,Did Dr. Ananya Chatterjee attend the coordination call on 15th December 2021?,TRUE,Not available,missed (said not-available),"The gold answer states that Dr. Ananya Chatterjee did attend the coordination call (TRUE), while the system answer says the information is not available. This contradicts the gold answer and does not provide the correct information."
single-hop,Is Dr Liu affiliated with Stanford University?,FALSE,"No evidence in the provided emails indicates that Dr. Liu is affiliated with Stanford University. The only Dr. Liu mentioned is Dr. Katherine Liu, described as a digital history collaborator at Stanford, but not explicitly stated as being affiliated with Stanford University. Therefore, based on the emails, the answer is: Not available.",missed (said not-available),"The gold answer is FALSE, indicating we know Dr. Liu is not affiliated with Stanford. The system answer says the affiliation is 'Not available' based on the emails, which is an uncertain/unknown conclusion rather than stating it is false. Therefore it does not correctly match the gold answer."
not available,What feedback did Dr Patel provide for the synthesis meeting?,Not available,"Dr. Patel provided detailed annotation feedback highlighting both the strengths and ambiguities of the LIME/SHAP explanations, with pointed suggestions regarding alignment with the historical source text and the perceived trustworthiness of certain output segments, especially where OCR artifacts interact with model confidence levels.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system answer invents specific feedback details from Dr. Patel. This is not supported and does not match the gold answer, so it is not correct or useful."
multi-hop,Which task involves integrating historian workflow with model caveats?,Draft integration phase task involves integrating historian workflow with model caveats.,"The task involving integrating historian workflow with model caveats is the preparation and inclusion of ""short 'model caveat' flags alongside output"" in the annotation workflow, as discussed in the synthesis meeting minutes (see 7 May 2019, Thread ID: KRRQWM). Reviewers and external annotators specifically requested actionable insights centered on historian workflow integration, with requests for short “model caveat” flags to be provided alongside model output.",wrong value / hallucination,"The system answer does not mention the ""Draft integration phase task"" explicitly and instead describes a different-sounding activity. It therefore does not correctly identify the task as stated in the Gold Answer."
not available,What are the quantitative metrics used to evaluate the trust in model explanations?,Not available,"The quantitative metrics used to evaluate the trust in model explanations, as described in the project’s workflow and reviewer responses, include:

- Inter-annotator agreement metrics (such as Cohen’s kappa and Krippendorff’s alpha) to assess annotation reliability and consensus on explanation quality.
- F1 score, precision, and recall, disaggregated by language and time period, to measure the accuracy and consistency of model outputs and their explanations.
- Error analysis tables and confusion matrices, which provide statistical insight into where model explanations align or diverge from human annotator judgments.
- Evaluation of explanation consistency and faithfulness indices (as referenced in the interpretability memo and reviewer feedback), which quantify how stable and accurate the explanations are across different data subsets and in the presence of OCR noise or ambiguous input.

These metrics are used both in the main manuscript and in supplementary materials to provide a robust, quantitative assessment of trust in model explanations for historical NLP tasks.",FABRICATED (gold = not available),"The gold answer is marked as not available, meaning we cannot verify the specific metrics from a reference answer. The system answer confidently invents detailed, specific metrics and context (e.g., references to a particular project workflow, interpretability memo, OCR noise) without any grounding in the gold answer. Since there is no evidence that these are the correct metrics for this question, the response cannot be judged as correct relative to the gold answer and should be treated as not useful/incorrect rather than as an acceptable alternative."
reasoning,Is Sunita Sen responsible for the use of original annotator codes data for the task of bar chart breakdown?,FALSE,Not available,missed (said not-available),"The gold answer is FALSE, but the system answer is 'Not available', which does not state that the claim is false and therefore does not provide the correct information."
not available,What is the affiliation of Dr Liu mentioned in the synthesis meeting minutes?,Not available,Dr. Liu is affiliated with Stanford.,FABRICATED (gold = not available),"The gold answer indicates that the affiliation is not available, but the system provides a specific affiliation (Stanford), which is unsupported and likely incorrect given the gold. Therefore, the system answer does not satisfy the question compared to the gold answer."
reasoning,Does Prof. Ramesh Bhatia work with color palette for visualizations?,FALSE,"Yes. Prof. Ramesh Bhatia reviews and provides feedback on color palette and color-coding for visualizations, especially in the context of workflow diagrams and figure legends, as seen in his suggestions for improving color contrast, legend clarity, and the use of color-coded highlights for compliance and data points (see, e.g., emails dated 17 October 2023, 19 November 2024, and 18 October 2024).",wrong TRUE/FALSE,"The Gold Answer says the correct response is FALSE, but the system answer explicitly says ""Yes"" and describes Prof. Bhatia working with color palettes. This directly contradicts the Gold Answer, so it is not correct or useful."
multi-hop,Which conferences are the visualizations being prepared for in the context of the email?,"ACL, EMNLP","JCDL 2022, ACL 2024",wrong value / hallucination,"The system answer lists different conferences (JCDL 2022, ACL 2024) than the gold answer (ACL, EMNLP), so it does not correctly satisfy the user’s question."
not available,What are the specific datasets used for the visualizations mentioned in the email?,Not available,"The specific datasets used for the visualizations mentioned in the email are:

- NDLI (National Digital Library of India) corpus
- Europeana sub-corpora
- Indian Newspapers corpus
- British Colonial Proceedings
- US Immigration Letters
- National Library of Israel (NLI) YIVO collection
- Chilean National Library (BNCh) datasets
- 19th-century Bengali literature subset
- Bengal Gazette
- Madras Chronicle

These datasets are referenced in the context of annotation, compliance, and evaluation visualizations throughout the email thread.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, but the system answer fabricates a detailed list of specific datasets. Since these details are not supported and contradict the gold answer, the system answer is not correct or useful."
reasoning,Did Sunita Sen contribute to the selection of exemplar explanatory segments?,FALSE,Yes.,wrong TRUE/FALSE,"The gold answer indicates the correct response is FALSE, meaning Sunita Sen did not contribute. The system answered 'Yes', which directly contradicts the gold answer. Therefore, it is not correct or useful."
not available,Which datasets were used for the Faithfulness/Clarity Heatmaps?,Not available,The Faithfulness/Clarity Heatmaps were generated using Documents C and F from the project’s historical corpus.,FABRICATED (gold = not available),"The gold answer indicates that the information is not available, while the system answer fabricates specific datasets (Documents C and F). Therefore, it does not provide correct information and is not useful."
not available,What is the title of the paper related to these visualization drafts?,Not available,Annotation Strategies and Workflow Transparency for 19th-Century Bengali-English Historical Texts,FABRICATED (gold = not available),"The gold answer indicates that the correct title is not available. The system answer provides a specific paper title that is not supported by the gold answer, so it cannot be considered correct or useful relative to the expected response."
not available,What dataset was used for the visualization figures discussed in the email?,Not available,"Bengali (12%), Urdu (9%), and minor entries in Oriya and Tamil, with detailed archival provenance; also includes datasets from the National Library of Israel (YIVO collection), National Diet Library of Japan, and Biblioteca Nacional de Chile.",FABRICATED (gold = not available),"The gold answer indicates that the information is not available, while the system answer fabricates specific datasets. Therefore, it does not correctly satisfy the user’s question."
multi-hop,Which person is suggested to have contributed to the NLP evaluation on noisy historical data through annotator disagreements?,Sunita Sen,Dr. Michael Bradley,wrong value / hallucination,"The system answer is incorrect because it names Dr. Michael Bradley, while the expected correct person is Sunita Sen."
not available,What is the title of the paper that includes the visualization assets discussed in the email?,Not available,"“Practical Workflows for NLP on International Historical Archival Data: Legal, Technical, and Community Lessons Learned”",FABRICATED (gold = not available),"The gold answer indicates the correct response is not available, so the system’s specific paper title cannot be verified as correct. Therefore, it does not satisfy the user’s question compared to the Gold Answer."
single-hop,Which task was Dr. Michael Bradley responsible for in the manuscript preparation?,Camera-ready manuscript preparation,"Dr. Michael Bradley was responsible for the evaluation metrics revision, including generating disaggregated benchmarking tables, drafting the new subsection addressing F1 score variance, preparing updated visualizations (such as per-language precision/recall bar charts and a timeline-based error distribution figure), and expanding the section on annotation metadata limitations. He also contributed the multi-author version management template, reviewer feedback handling protocols, and glossary for unified terminology.",wrong value / hallucination,"The system answer does not state that Dr. Michael Bradley was responsible for camera-ready manuscript preparation. It provides different responsibilities, so it does not match the Gold Answer."
single-hop,"What conference is the paper ""Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data"" intended for submission?",ACL 2019,ACL (with EMNLP as backup),"over-complete (extra, debatable)","The system answer is not fully correct because it introduces additional, incorrect information (EMNLP as backup) that is not in the gold answer. The gold answer specifies ACL 2019 as the intended conference, while the system omits the year and adds an extra conference, so it does not precisely match the expected answer."
reasoning,Is the manuscript draft ready for pre-submission administrative checks according to Sunita Sen?,FALSE,Yes.,wrong TRUE/FALSE,"The gold answer indicates the correct response is FALSE, meaning the manuscript is not ready. The system answered 'Yes', which contradicts the gold answer, so it is not correct or useful."
