:ID,mergeConfidence,mergedFrom,taskDate,taskName,:LABEL
tk1477,0.8662,"['tk1482', 'tk1483']",2021-02-09,line-by-line check of the 'synthetic instance generation protocol' discussion (harmonization stage progress),Task
tk1478,,,2021-02-09,final scan for template or macro issues,Task
tk1479,,,2021-02-09,provide final checklist,Task
tk1480,,,2021-02-12,emergency synchronization call,Task
tk1481,,,2021-02-12,"final integration, PDF validation, and Softconf upload",Task
tk1286,,,TBD,drafting features matrix,Task
tk1294,,,2023-09-30,collating transparency requirements and timeline details,Task
tk1295,,,2023-10-03,confirming Google Meet,Task
tk1495,,,2021-02-23,minor correction request,Task
tk3376,,,,timely contributions to the Project Retrospective & Workflow Reference,Task
tk3377,,,,annotated drafts on communication protocols and escalation scenarios,Task
tk3378,,,,compliance notes,Task
tk3379,0.7595,['tk3371'],2023-07-28,updating flowchart reflecting remote collaboration feedback (revised workflow diagram),Task
tk3380,,,2023-07-28,coordinate numbering/caption styles for diagrams and callouts,Task
tk3381,0.786,['tk4527'],2023-08-01,group feedback on shared Google Doc (populating shared Google Doc),Task
tk2269,0.8052,['tk3826'],2022-MM-DD 20:00 GMT,final review and sign-off (digital sign-off),Task
tk667,0.804,['tk924'],2023-08-11,Reviewing updated JOCCH table guidelines (review JOCCH guidelines),Task
tk668,,,,discuss evaluation metrics and repository documentation,Task
tk669,,,,discuss authorship order and individual contributions,Task
tk670,,,,brainstorm ideas for ACM Digital Library's public-facing summary,Task
tk1087,,,2023-08-08,finalize edits in shared Google Doc,Task
tk1088,,,2023-08-08,share outreach email template and proposed agenda,Task
tk1089,,,,public summary finalization and dissemination,Task
tk1090,,,,webinar structure and division of roles,Task
tk1091,,,,registration and promotion plan,Task
tk1092,0.8135,['tk1096'],,Scheduling and next milestones aligned with the article's official online publication (timeline alignment with the publication DOI),Task
tk3561,,,,,Task
tk3562,,,,,Task
tk3563,,,,,Task
tk3565,,,,,Task
tk3566,,,,,Task
tk3567,,,,,Task
tk3568,,,tomorrow,annotation deadline,Task
tk3747,,,,,Task
tk3748,,,2022-05-17,technical compliance check,Task
tk2575,,,2024-03-06,sync call,Task
tk3750,,,2024-03-22,internal deadline,Task
tk720,,,,,Task
tk722,,,,,Task
tk723,,,,,Task
tk724,,,,,Task
tk725,,,,,Task
tk727,,,2023-09-13,full-draft circulation and review,Task
tk500,,,2023-04-06,consolidation call,Task
tk1269,,,2023-09-28T18:00:00Z,Final review of 'docs/faq/',Task
tk1270,,,2023-09-28T18:00:00Z,Final review of 'docs/legal/',Task
tk1271,,,2023-09-28T18:00:00Z,Final review of 'docs/compliance/',Task
tk1272,,,2023-09-28T18:00:00Z,Confirm logical flow of technical and legal references,Task
tk1273,,,2023-09-28T18:00:00Z,Indicate final compliance notes or adjustments,Task
tk1274,,,2023-09-29T12:00:00Z,Prepare public draft of the knowledge base,Task
tk1275,,,2023-09-29T12:00:00Z,Consider initial publication targets,Task
tk1583,,,2023-03-17,group review,Task
tk469,,,,camera-ready submission,Task
tk1584,,,,bio updates,Task
tk1585,,,,textual tweaks,Task
tk1586,,,,visual content,Task
tk1587,,,,checklist circulation,Task
tk1588,,,,draft calendar creation,Task
tk1589,,,,figure resolution check,Task
tk1590,,,,citation consistency check,Task
tk1591,,,,provenance annotation slide review,Task
tk569,,,,drafting the screencast outline,Task
tk571,,,,reviewing the preliminary outline,Task
tk573,,,,uploading assets to the 'Revision_Materials' folder,Task
tk575,,,,finalizing the division of tasks,Task
tk1730,,,2020-08-03,circulate a detailed feedback summary and template for annotation reproducibility,Task
tk1731,,,2020-08-02,identify and share 3–4 key recent articles on OCR post-processing,Task
tk1733,,,2020-08-06,review and comment on the JOCCH submission guidelines and recent special issue topics,Task
tk1734,,,2020-03-07,"write Introduction, methods, and corpus construction details",Task
tk1735,,,2020-03-07,"write Experimental framework, evaluation metrics, and OCR post-processing section",Task
tk1736,,,2020-03-07,write Related work and bias mitigation strategies,Task
tk1737,,,2020-03-07,"Integration, overall framing, and correspondence with the journal",Task
tk1738,,,2020-09-15,team review,Task
tk464,,,,integration of illustrative examples in Section 4.2,Task
tk465,,,,technical summary of normalization workflow,Task
tk466,,,,efforts in accessibility,Task
tk468,,,,presentation at EMNLP or JCDL later this year,Task
tk2111,,,,drafting press release,Task
tk2119,,,,adding institutional viewpoint,Task
tk807,,,,integrating summary F1 scores from Table 4 into graphical abstract,Task
tk808,,,,reviewing revised graphical abstract,Task
tk809,,,,providing preferences for visual cues or references,Task
tk810,0.8859,['tk839'],,updating references to graphical abstract in 'Response to Reviewers' draft (updates to the graphical abstract),Task
tk811,,,,condensing figure captions or result summaries,Task
tk446,,,,proposed addition to Appendix B on the name normalization-OCR pipeline linkage,Task
tk447,,,,accessibility re-tagging of Tables 3 and 5,Task
tk448,,,2023-01-18,finalizing respective sections,Task
tk449,,,,compiling the unified LaTeX and updating the tagged PDF,Task
tk451,,,2023-01-20,brief Zoom call,Task
tk4069,,,2023-09-18,Cross-listing event description,Task
tk4070,,,2023-09-18,Circulate Zoom registration link and Q&A survey,Task
tk4071,,,2023-09-18,Incorporate details into event blurb,Task
tk4072,,,2023-09-18,"Dissemination through IACS DH mailing list, posters, and Slack groups",Task
tk4073,,,2023-09-18,Custom adaptation to Oxford’s channels,Task
tk4074,,,2023-09-18,Refinement of event description and registration materials,Task
tk912,,,within the next 3 to 5 working days,formal acknowledgment from JOCCH’s editorial office,Task
tk913,,,,retain all local project files and supplement versions until peer review is fully complete,Task
tk3613,,,,standardized terminology check,Task
tk3614,,,,artifact cross-references and compliance citations update,Task
tk3615,,,,lessons-learned synthesis paragraph approval and integration,Task
tk3616,,,,"authorship, affiliation, and funding statements verification",Task
tk3617,,,tomorrow,final approval for ACL submission,Task
tk2611,0.817,['tk2620'],2020-10-30,integrating participant feedback into draft (Section Progress & Cross-Linking),Task
tk2613,0.8288,"['tk3145', 'tk842']",2020-10-30,submission to the ACM Journal on Computing and Cultural Heritage (Publication Pathway Decision),Task
tk2614,,,2020-06-18,Revised sections submission,Task
tk2615,,,2020-06-25,Integrated full draft circulation,Task
tk2616,,,2020-06-14,Collation of supplementary accessibility framework references,Task
tk2617,,,2020-06-18,Flagging permissions or technical integration issues,Task
tk2618,,,2020-06-25,Review and provide in-line comments,Task
tk2619,,,2020-06-12,Additional corrections or questions,Task
tk2275,,,,timely sign-offs,Task
tk2276,,,,preparation of final presentation deck,Task
tk2277,,,,preparation of supporting documentation,Task
tk2278,,,,preparation of coordinated press releases,Task
tk2279,,,,monitoring dedicated drive for correspondence,Task
tk2280,,,,providing additional materials if requested,Task
tk4475,,,2023-03-28,suggest structural/material changes,Task
tk4476,,,2023-03-31,contribute to substantive sections,Task
tk4477,0.833,"['tk4453', 'tk4460', 'tk4510']",2023-04-02,drafting an abstract and submitting it for the April seminar (submit colloquium abstract),Task
tk220,,,2019-05-20,"uploading finalized, submitted package",Task
tk221,,,2019-05-20,reviewing submitted files,Task
tk222,,,2019-05-20,notifying discrepancies,Task
tk3666,,,,progress tracking,Task
tk3667,,,,reference management,Task
tk3668,,,2023-01-11,update Overleaf bibliography to ACL BibTeX style,Task
tk3669,,,2023-01-11,figure attribution plan,Task
tk3670,,,2023-01-11,integration of JDoc and ACM JOCCH sources,Task
tk3671,,,2023-01-11,harmonization/generalization section drafting,Task
tk547,,,,integration of all sections into the master slide deck,Task
tk549,,,2023-04-07,final team review,Task
tk2063,,,2020-05-15,Final Language & Protocol Review,Task
tk2064,0.8504,['tk1567'],2020-05-15,providing institutional sign-off (Institutional Sign-offs),Task
tk2065,,,2020-05-15,Submission Materials Checklist,Task
tk2066,,,2023-03-10,submission logistics,Task
tk2067,,,2020-05-15,Press Protocol & Embargo,Task
tk2068,,,2020-05-17,Submit final package via JCDL 2022 portal,Task
tk2069,,,2020-05-17,Confirm receipt of submitted files and acknowledge the submission email,Task
tk2070,,,Tentative,Draft press engagement note for circulation upon acceptance,Task
tk736,,,,,Task
tk737,,,2023-08-31,provide direct in-document comments,Task
tk738,,,,,Task
tk739,,,,,Task
tk740,,,2023-09-01,integration milestone,Task
tk2821,,,2023-08-21,complete all in-line edits and finalize respective sections,Task
tk2822,,,2023-08-25,submit to JCDL 2023,Task
tk298,,,2019-06-20,finalizing 'Sensitive Data & Risk Assessment' text,Task
tk299,0.7915,['tk307'],2019-06-20,cross-checking integration of 'Sensitive Data & Risk Assessment' section (reviewing and inserting 'Sensitive Data & Risk Assessment'),Task
tk300,,,2019-06-21,conducting rapid check of Sections 3 and 5,Task
tk301,,,2019-06-21,signing off on merged documentation,Task
tk1060,,,,assist with writing and outreach at Stanford,Task
tk1061,,,,,Task
tk1062,,,,finalizing the core highlights,Task
tk1063,0.7876,"['tk1094', 'tk1107']",2023-09-18,Finalising the structure and technical/demo roles for the late September webinar (post-launch webinar),Task
tk1064,,,TBC,upcoming Zoom planning meeting,Task
tk1065,,,,drafting the outreach summary and slide deck,Task
tk213,0.838,['tk210'],2019-05-20,initiate the standard administrative pre-submission review (administrative review),Task
tk214,,,2019-05-28,submission to ACL,Task
tk551,,,2020-04-19,finalization of the master slide deck,Task
tk552,0.8772,['tk555'],2020-04-19,submission to the JCDL 2020 committee (submission to JCDL 2020),Task
tk553,,,2020-04-19,confirmation of approval,Task
tk3657,,,present,revision phase,Task
tk3658,,,present,harmonization and generalization section,Task
tk3659,,,present,citation updates,Task
tk3660,,,2023-01-10,uploading first complete version,Task
tk3661,,,2023-01-11,sharing incremental drafts,Task
tk4125,,,,Figures/Appendices,Task
tk4126,,,,Submission Planning,Task
tk947,,,2023-03-31,Table 2 (ErrorPrivacy Summary) formatting revisions,Task
tk948,,,2023-04-01,Review and approve table,Task
tk441,,,2020-01-16,iterative re-tagging of Tables 3 and 5,Task
tk442,,,2020-01-16,integration of illustrative examples,Task
tk443,,,2020-01-17,secondary check on fully compiled PDF,Task
tk444,,,2020-01-17,upload tagged PDF snapshots and checklist,Task
tk4235,0.7788,['tk4240'],2024-11-07,uploading the detailed legal protocol comparative matrix (uploading the legal protocol matrix),Task
tk4236,,,2024-11-07,providing comments or suggested edits,Task
tk4237,,,2024-11-07,formatting the integrated appendix section,Task
tk4238,,,2024-11-07,embedding footnotes throughout the main narrative,Task
tk4239,,,2024-11-07,harmonizing figure notes with the matrix,Task
tk120,,,2023-05-07,finalizing the protocol,Task
tk121,,,,commencing annotation collection,Task
tk3356,,,within the next 24 hours,draft flowchart creation,Task
tk3357,,,2019-07-20,review meeting,Task
tk3358,,,,collate everyone's preference for meeting time,Task
tk3359,,,,prepare visual components and bullet-point lessons learned summary,Task
tk847,0.8166,['tk887'],2019-02-05,updated domain shift analysis review,Task
tk848,0.8122,['tk886'],2019-02-07,code anchor methods subsection review (Code Anchor System Methodology),Task
tk849,,,2019-02-07,Ethical Data Sourcing & Compliance,Task
tk850,,,2019-02-07,Editing and Table Integration,Task
tk851,,,2019-02-07,Initial drafts,Task
tk852,,,2019-02-10,Internal feedback and integration,Task
tk853,,,2019-02-22,Final revision ready for pre-submission checks,Task
tk854,,,2020-06-10,check-in call,Task
tk3009,,,2021-07-15,upload draft slides,Task
tk3010,,,2021-07-15,propose unified design template,Task
tk3011,,,2021-07-15,coordinate content handoff,Task
tk3012,,,2021-04-05,circulate probable audience questions,Task
tk3013,,,2021-04-15,prepare two versions of presentation,Task
tk3014,,,2021-04-15,coordinate consolidation of poster materials,Task
tk3015,,,2021-04-15,take lead on format adaptation,Task
tk2244,,,2022-04-07,internal rehearsal,Task
tk3016,,,2021-07-17,review and provide feedback on slides,Task
tk3017,,,2021-07-15,update assigned materials,Task
tk3018,,,2021-07-15,confirm slide uploads,Task
tk3019,,,2021-07-15,circulate Doodle poll for rehearsal slot,Task
tk3020,,,2021-07-17,collective review of Q&A document,Task
tk2105,0.7599,['tk3267'],within 72 hours,verify galley proofs (proof review),Task
tk282,,,2023-06-15,Dataset Documentation Review,Task
tk283,,,2023-06-15,Technical Validation Pipeline,Task
tk284,,,2023-06-15,Compliance Issues,Task
tk285,,,2023-06-20,Finalize Documentation Draft,Task
tk286,0.8696,['tk290'],2023-06-18,uploading latest version of validation logs (Upload Updated Validation Logs),Task
tk287,0.8235,"['tk292', 'tk297', 'tk306', 'tk3942', 'tk4463', 'tk4473', 'tk4482', 'tk4487']",2023-06-19,appending 'do's and don'ts' checklist to final memo (do's and don'ts checklist),Task
tk288,,,2023-06-21,Confirm Attestation Requirements,Task
tk1077,,,2019-08-08,outreach and webinar plans,Task
tk1078,0.8402,"['tk1056', 'tk1856']",2023-09-12,drafting the outreach summary (summary draft),Task
tk1079,,,2019-08-08,section on South Asian corpora,Task
tk1080,,,2019-08-08,add paragraph on digitization partnerships,Task
tk1081,,,2019-08-08,share sentences on FAIR data principles,Task
tk1082,0.8195,"['tk2210', 'tk2855']",2019-08-09,sending out Zoom invite for call scheduling (Zoom meeting),Task
tk1083,,,2019-08-08,collaborate on webinar logistics,Task
tk1084,,,2019-08-08,content review or presenting live demo,Task
tk1085,0.8148,['tk1069'],2019-08-08,provide template for outreach emails (outreach email template),Task
tk1086,,,2019-08-08,draft agenda,Task
tk353,0.7874,['tk359'],2019-09-03,integrate compliance appendix version into the main manuscript (integrate revised appendix into main manuscript),Task
tk354,,,2019-09-03,suggest clarifications for annotator rights and third-party reuse,Task
tk708,0.8189,['tk3482'],2020-08-26,integrating all materials into the master draft (consolidate manuscript materials),Task
tk710,,,2020-08-29,brief status check,Task
tk711,,,2020-09-13,integration,Task
tk694,0.8719,"['tk713', 'tk717']",2023-08-18,uploading lay abstract draft (draft lay abstract),Task
tk712,,,2020-08-26,place institutional compliance appendices,Task
tk4405,,,,,Task
tk4406,,,2023-03-18,co-review integration points and confirm consistent labeling,Task
tk4407,,,2023-03-15,submit finalized version,Task
tk2723,0.8502,['tk4449'],2022-06-XX,monitoring inboxes for notifications,Task
tk2724,,,2022-06-XX,documenting new insights or relevant literature,Task
tk2034,,,2022-11-23,review and leave in-document comments,Task
tk2035,,,2022-11-30,final policy confirmation,Task
tk2036,,,2022-11-30,schedule a brief check-in,Task
tk2271,,,,update to the FAQ slide,Task
tk2272,,,,revised regional engagement visuals,Task
tk714,,,2023-08-24,review lay abstract draft,Task
tk715,,,2023-08-24,finalize Oxford compliance appendix,Task
tk716,,,2023-08-25,complete methods section overview,Task
tk706,,,2023-08-29,status check,Task
tk3462,,,2023-10-16,compliance workflow table preparation,Task
tk3463,,,2023-10-17,delivery of inter-annotator agreement tables,Task
tk3464,,,2023-10-18,asynchronous review window,Task
tk3465,,,2023-10-21,final draft of compliance and experimental sections,Task
tk3466,,,2023-10-23,style harmonization,Task
tk3467,,,2023-10-24,master draft milestone,Task
tk1968,,,2022-10-29,expanding the set of proactive outreach scenarios,Task
tk1969,,,2022-10-29,preparing a unified version for sign-off,Task
tk1970,,,2022-10-29,planning for JCDL 2022,Task
tk3713,,,2023-03-09,camera-ready preparations,Task
tk3714,,,2023-03-01,organizational call,Task
tk3717,,,,review draft for Section 4.3 and Figure 2 workflow updates,Task
tk3844,,,,including sub-dialectal code-switching patterns analysis,Task
tk3845,,,,including longitudinal adaptation studies analysis,Task
tk3846,,,,elaborating on annotation guidelines,Task
tk3847,,,,elaborating on historic language normalization pipeline,Task
tk3848,,,,drafting a formal resource paper for dataset release,Task
tk3849,,,,maximizing visibility and community reusability of the dataset,Task
tk3850,,,,outlining a modest user study to track dataset uptake,Task
tk1054,,,2019-04-24,planning meeting,Task
tk1624,,,,oral presentation logistics confirmation,Task
tk1625,,,,dry-run rehearsal scheduling,Task
tk4049,,,,,Task
tk4050,,,,,Task
tk4044,,,2023-09-16,preparatory call,Task
tk699,,,2023-09-05,reviewing the draft,Task
tk4051,,,tomorrow,preparing a tracked-changes markup,Task
tk4052,,,,,Task
tk4053,,,,,Task
tk4054,,,,,Task
tk1604,,,2019-06-13,"upload revised, higher-resolution versions of the workflow and provenance metadata figures",Task
tk1605,,,Not specified,finalize formatting and create the consolidated PDF of presenter bios,Task
tk1606,,,2019-06-15,expand the model bias section in Q&A document,Task
tk1607,,,2019-06-16,coordinate signatures for institutional compliance forms,Task
tk1608,,,2019-06-18,assemble all updated materials and circulate the camera-ready package,Task
tk1609,,,2019-06-17,final walkthrough of the filled checklist,Task
tk1610,,,2019-06-16,review the updated slide deck and drafts,Task
tk4452,,,,circulating a collaborative Google Doc for 'Lessons Learned' memo,Task
tk4454,,,,disseminating workflow refinements through short-form publications,Task
tk4455,,,,developing a practical methods note on annotation toolkit,Task
tk4456,,,,targeting EMNLP 'System Demonstrations',Task
tk4457,,,,targeting JDoc technical communication,Task
tk4458,,,,internal dissemination through a 10-minute presentation at the next departmental research colloquium,Task
tk3360,,,2023-07-19,generate and circulate the Zoom meeting link,Task
tk3361,,,2023-07-19,assigning leads for section finalization,Task
tk3362,,,2023-07-19,establishing a rough timeline for document completion and periodic review,Task
tk4032,,,2024-03-15,upload annotated drafts,Task
tk4033,,,2024-03-15,write up case study,Task
tk4034,,,2024-03-15,draft future directions,Task
tk4035,,,2024-09-18,confirm seminar date,Task
tk4036,,,2024-09-18,draft invitations,Task
tk4037,,,2024-09-18,solicit common questions,Task
tk3737,,,,revising Section 4.3,Task
tk3738,,,,clarifying the annotation workflow in Figure 2,Task
tk3739,,,,providing historical examples for protocol-specific exceptions,Task
tk3740,,,2023-03-09,technical compliance pass,Task
tk3741,,,2023-03-09,validating data and repository accessibility,Task
tk3742,0.8192,['tk3781'],2023-03-09,final compliance documentation (internal review submission),Task
tk435,0.7824,['tk445'],2023-01-16,drafting illustrative examples for annotation guidelines (draft of illustrative annotation examples (Section 4.2)),Task
tk436,,,2023-01-16,cross-verification with Oxford team,Task
tk437,,,2023-01-16,circulate draft text for review,Task
tk2185,,,,submission of finalized content for JCDL 2022 program newsletter,Task
tk2186,,,,internal review of submitted materials,Task
tk2187,,,,providing revised versions of materials if required,Task
tk2188,,,,review of draft bulletin before publication,Task
tk2189,,,,coordination of supplementary content or institutional quotes,Task
tk3167,,,2023-05-10,"Introduction, Datasets & Annotation Pipeline, Reproducibility & Code Release",Task
tk3168,,,2023-05-10,"Related Work, Methodology – Semantic Metrics Alignment, contributions to Discussion & Future Work",Task
tk3169,,,2023-05-10,"Methodology – Error Analysis, Overall Evaluative Methodology, visualizations, integration of metrics into Discussion",Task
tk3170,,,2023-05-25,"Final review, manuscript integration, submission logistics",Task
tk3171,,,2023-05-11,Section exchange and peer review,Task
tk3172,,,2023-05-17,Group writing sprint,Task
tk3173,,,2023-05-20,Final consolidated draft ready for full review,Task
tk3174,,,2023-05-25,Target submission to ACM JOCCH,Task
tk135,,,2019-05-12,review annotation feedback forms,Task
tk136,,,2019-05-13,focused session to discuss annotation feedback,Task
tk2267,,,2022-04-11,review updated FAQ slide and regional charts,Task
tk2665,,,2023-06-25,merged draft review,Task
tk2666,,,2023-06-25,supplementary files verification,Task
tk2667,,,2023-06-25,author order & institutional details verification,Task
tk2668,,,2023-06-25,submission checklist verification,Task
tk2669,,,2023-06-26,upload to JOCCH submission portal,Task
tk2670,,,2023-06-25,final check on Acknowledgments section,Task
tk2671,,,2023-06-25,address last-minute tracked changes/comments,Task
tk2672,,,2023-06-26,complete online portal upload,Task
tk3498,,,,,Task
tk3499,,,,monitoring responsibilities during editorial review phase,Task
tk3500,,,,pre-submission coordination and final upload,Task
tk4525,,,,,Task
tk4529,,,,,Task
tk4530,,,,,Task
tk4531,,,,,Task
tk2992,,,,preliminary slide and materials development,Task
tk1537,0.8902,['tk1547'],2022-07-18,preparation of Q&A talking points (Q&A preparation),Task
tk2993,0.7978,['tk3003'],2023-04-01,propose adjustments for virtual coordination meeting,Task
tk2143,,,,notify Christine Wong about release timeline,Task
tk2144,,,2022-03-15,share IACS's official approval,Task
tk2145,,,2022-03-15,upload Stanford clearance to shared folder,Task
tk2146,,,2022-03-15,inform about Oxford's clearance,Task
tk2147,0.7783,['tk2149'],2022-03-15,schedule a brief call to finalize the announcement date (schedule Google Meet/Zoom),Task
tk2148,,,2022-03-15,prepare draft 'all-clear' notification,Task
tk302,,,2019-06-21,review columns D and G,Task
tk303,,,2019-06-21,section-by-section confirmation,Task
tk304,,,2019-06-21,consensus on submission,Task
tk305,,,2019-06-21,assignment of final responsibilities,Task
tk1988,,,,onboarding process at IACS,Task
tk1989,,,,familiarization session,Task
tk1990,,,,adaptational planning for press response training modules,Task
tk1991,,,,periodic refreshes or additional documentation,Task
tk1992,,,,preparation for future major submissions,Task
tk1993,,,,implementation of protocols in real-world outreach situations,Task
tk456,,,,sharing finalized annotation examples,Task
tk458,,,,updating Appendix B,Task
tk459,,,,preliminary merge into LaTeX manuscript,Task
tk460,,,,comprehensive tagged PDF check,Task
tk461,,,2023-01-20,review call,Task
tk462,,,,final checks for cross-file consistency,Task
tk463,,,2023-01-21,timeline confirmation for manuscript upload,Task
tk1903,,,,final sign-off for outreach materials,Task
tk1905,,,,,Task
tk1906,,,,,Task
tk1895,,,2023-09-26,internal call,Task
tk1570,,,,handling linguistic diversity and annotation provenance,Task
tk1571,,,,submitting slide deck and supplementary material,Task
tk330,,,2021-08-29,reviewing compliance appendix,Task
tk331,,,2021-08-29,drafting revised language,Task
tk332,0.8371,['tk329'],2021-08-29,coordinating with Oxford library licensing team (reach out to Oxford’s library licensing team),Task
tk4341,,,2025-01-20,review the attached 'track changes' version,Task
tk4342,,,2025-01-19,insert Japanese and Chilean regulatory document references,Task
tk4343,0.8131,['tk4346'],2025-01-20,compliance audit on the NLI and Chilean subsections,Task
tk3399,,,2025-01-22,bibliography harmonization,Task
tk3434,,,,comprehensive editorial pass,Task
tk3435,,,,updated compliance tables,Task
tk3436,,,,expanded dataset index,Task
tk3437,,,,generate additional analysis for the quantitative evaluation,Task
tk3438,,,,compile inter-annotator statistics and pilot study insights,Task
tk3439,,,,institutional approvals or additional information for licensing tables,Task
tk3440,,,2023-10-10,joint call,Task
tk3441,,,2023-10-24,circulate revised sections internally,Task
tk2581,,,,section assignments,Task
tk2582,,,2023-06-10,organizing collaborative tools,Task
tk2583,,,2023-06-10,drafting phase,Task
tk2584,,,2023-06-10,review progress and address challenges,Task
tk2585,0.8178,['tk2591'],2023-06-10,discussion and synthesis of 'Lessons Learned & Recommendations' (discuss lessons learned from the workshop),Task
tk2586,,,2023-06-10,evaluate submission strategies,Task
tk2587,,,2023-06-10,confirm internal deadlines,Task
tk2588,,,2023-06-25,plan for near-final draft circulation,Task
tk2589,,,2023-06-08,flag additional topics for agenda,Task
tk3040,,,,annotator calibration,Task
tk3041,,,,review of the latest document version,Task
tk3042,,,,preparation of handover sentences for transitions,Task
tk3043,,,,AV check for rehearsal,Task
tk3044,,,,Q&A practice,Task
tk3046,,,,presentation at JCDL 2023,Task
tk1572,,,2021-06-21,final review of slides,Task
tk1573,,,2021-06-21,supplementary Q&A notes,Task
tk1574,,,2021-06-21,biographical materials,Task
tk1575,,,2023-08-13,group meeting,Task
tk1576,,,2021-06-08,video review session,Task
tk2961,,,,final proofread,Task
tk2963,,,2023-03-10,confirm receipt and indicate urgent issues,Task
tk655,,,2025-01-23,submission to JOCCH,Task
tk1845,,,,verify contact details and author order,Task
tk2214,,,2022-03-31,Content focus for the live project spotlight,Task
tk2215,,,2022-03-31,"Supplementary outreach: Social media plan, potential blog posts, and prioritization of target channels",Task
tk2216,,,2022-03-31,Division of speaking and moderation roles,Task
tk2217,,,2022-03-31,Review of newsletter media analytics and discussion of press release timing,Task
tk2218,,,2022-03-31,Coordination on upcoming deadlines for JCDL mainstage contributions and associated communications,Task
tk2219,0.8287,['tk2207'],2022-03-31,uploading preliminary set of slides and social media engagement analysis (Upload draft slides and engagement analysis),Task
tk2220,0.8085,['tk2223'],2022-03-31,Present department-level collaborations or recent media references (circulate new press mentions or departmental partnership updates),Task
tk2221,,,2022-03-31,Summary of the IACS media tracking data for our newsletter spotlight,Task
tk769,,,2019-08-29,Address each reviewer comment,Task
tk770,,,2019-08-29,Highlight changes made to the manuscript,Task
tk771,,,2019-08-29,Upload revised manuscript and response document,Task
tk4408,,,2023-03-16,review the latest tracked changes and glossary entries,Task
tk4409,0.8062,['tk2686'],2023-03-15,drafting responses to likely reviewer concerns (draft sample response text),Task
tk4410,,,2023-03-18,integration deadline,Task
tk6,,,,additional evaluation methods focusing on interpretability,Task
tk7,,,,initial data processing,Task
tk19,,,,,Task
tk21,,,,,Task
tk22,,,2022-10-10,check-in,Task
tk2160,,,2020-08-19,public dissemination of press release,Task
tk2161,,,2020-08-19,handling media queries,Task
tk2162,,,2020-08-19,overseeing external academic communications,Task
tk2918,,,2023-02-01,draft the arXiv preprint version,Task
tk2919,0.821,['tk3305'],2022-12-06,consolidated correction submission (submit corrections),Task
tk2920,,,2023-05-31,receive initial review results,Task
tk2840,,,2021-05-06,camera-ready abstract submission,Task
tk2841,,,,update supplementary materials,Task
tk2842,,,,compliance and metadata update,Task
tk2843,0.8008,['tk3761'],,presentation slot confirmation (presentation confirmation),Task
tk3890,,,2024-04-20,drafting introduction for user study survey,Task
