:ID,mergeConfidence,mergedFrom,metricName,:LABEL
mt210,,,ethical stewardship of cultural archives,Metric
mt292,,,jurisdictional diversity,Metric
mt293,,,workflow detail on consent and compliance,Metric
mt116,,,quantitative methodologies,Metric
mt117,,,qualitative methodologies,Metric
mt200,,,cross-repository metadata harmonization,Metric
mt201,,,persistent identifier strategies,Metric
mt202,,,semantic drift detection with multilingual datasets,Metric
mt85,,,precision in named entity recognition,Metric
mt86,,,recall across temporal strata,Metric
mt254,,,recommended validation scans,Metric
mt126,,,baseline annotation protocol,Metric
mt127,,,benchmark color coding,Metric
mt128,,,feedback from domain historians,Metric
mt244,,,legal interoperability discussion,Metric
mt34,,,faithfulness rating,Metric
mt112,,,broader significance,Metric
mt129,,,Metric comparisons,Metric
mt190,,,temporal word embedding shift,Metric
mt191,,,NLP downstream performance,Metric
mt262,,,legal compliance,Metric
mt263,,,meta-annotation methodology,Metric
mt203,,,evaluation framework,Metric
mt205,,,baselines,Metric
mt194,,,newest EMNLP 2022 benchmark,Metric
mt37,,,OCR error rate,Metric
mt118,0.8705,['mt213'],precision/recall,Metric
mt119,,,qualitative expert assessment,Metric
mt300,,,narrative flow alignment,Metric
mt301,,,consistency with annotation metadata,Metric
mt222,,,compliance with ACM's guidelines,Metric
mt223,,,clarity and accessibility,Metric
mt224,,,reproducibility and transparency,Metric
mt142,,,compliance with FERPA and Stanford policies,Metric
mt143,,,adherence to Stanford's embargo protocol,Metric
mt125,,,generalizability of synthetic instance protocol,Metric
mt216,,,quantitative metrics,Metric
mt217,,,interpretability,Metric
mt218,,,use case-driven model diagnostics,Metric
mt219,,,error trends across language subsets,Metric
mt245,,,workflow numbering,Metric
mt246,,,graphical consistency,Metric
mt247,,,alignment with finalized ACL metadata fields,Metric
mt248,,,repository accessibility,Metric
mt249,,,new DOIs,Metric
mt214,,,subset agreement,Metric
mt35,,,willingness-to-use ratings,Metric
mt44,,,class distribution,Metric
mt45,,,confusion matrices,Metric
mt46,,,error types,Metric
mt47,,,descriptive statistics,Metric
mt48,,,illustrative cases,Metric
mt49,,,source archive and permission metadata,Metric
mt50,,,archival metadata,Metric
mt51,,,original line image references,Metric
mt52,,,signed attestation from data owners,Metric
mt53,,,aggregated note in the dataset README,Metric
mt187,,,semantic drift evaluation,Metric
mt17,,,faithfulness indices,Metric
mt237,,,compliance queries in historical NLP research,Metric
mt87,,,hybrid metrics,Metric
mt243,,,consistency with ACL BibTeX style,Metric
mt31,,,OCR-induced ambiguity,Metric
mt32,,,willingness to use,Metric
mt171,,,Likert-scale,Metric
mt172,,,qualitative feedback,Metric
mt164,0.7817,"['mt204', 'mt271']",error evaluation (error analysis),Metric
mt227,,,thoroughness,Metric
mt33,,,faithfulness ratings,Metric
mt146,,,compliance team,Metric
mt147,,,legal documentation,Metric
mt148,,,institutional legal advisors,Metric
mt101,,,line numbers,Metric
mt102,,,anchor indices,Metric
mt133,,,bias quantification,Metric
mt70,,,NER/topic modeling statistics,Metric
mt81,,,validation metrics,Metric
mt82,,,audience engagement,Metric
mt83,,,community suggestions,Metric
mt27,,,trustworthiness,Metric
mt113,,,methodological narrative,Metric
mt264,,,traceability,Metric
mt265,,,transparency,Metric
mt158,,,accessibility,Metric
mt106,,,entity linking,Metric
mt107,,,extraction,Metric
mt108,,,semantic drift studies,Metric
mt109,,,noisy text normalization,Metric
mt110,,,historical entity mapping,Metric
mt77,,,preparedness,Metric
mt78,,,smooth transitions,Metric
mt79,,,standardized speaker bios,Metric
mt80,,,troubleshooting steps for audio/visual disruptions,Metric
mt178,,,instant moderator response times,Metric
mt179,,,satisfaction scores,Metric
mt266,,,reviewer feedback,Metric
mt272,,,reliability metrics,Metric
mt273,,,temporal analyses,Metric
mt140,,,region-specific RTI timelines,Metric
mt141,,,citation formatting,Metric
mt240,,,Krippendorff’s alpha,Metric
mt131,0.7905,['mt161'],contrast compliance (color contrast),Metric
mt132,,,annotation updates,Metric
mt174,,,link access,Metric
mt175,,,document rendering,Metric
mt176,,,email sorting,Metric
mt221,,,entity metrics,Metric
mt294,,,compliance standards,Metric
mt180,,,cross-linguistic Q&A protocols,Metric
mt220,,,semantic metrics,Metric
mt162,,,grayscale testing,Metric
mt163,,,transcription consistency,Metric
mt188,,,evaluation/metrics,Metric
mt189,,,semantic drift analysis,Metric
mt130,0.7543,['mt62'],corpus demographic statistics (corpus diversity statistics),Metric
mt274,,,Data Protection Bill clauses,Metric
mt275,,,GDPR and local heritage exceptions,Metric
mt276,,,third-party historical data,Metric
mt277,0.8889,['mt297'],anonymization approaches (anonymization policies),Metric
mt278,,,cross-regional archival consent,Metric
mt279,,,explicit subject consent,Metric
mt280,,,retention for cultural datasets,Metric
mt84,,,edit distance,Metric
mt63,,,language identification error rates,Metric
mt64,,,raw annotator agreement data,Metric
mt93,,,Micro-averaged F1 scores,Metric
mt165,,,participant feedback,Metric
mt256,,,qualitative questions on challenges faced during multi-script retrievals,Metric
mt257,,,language normalization protocols,Metric
mt54,,,reproducibility,Metric
mt55,,,error-class definitions,Metric
mt56,,,data-versioning clarity,Metric
mt57,,,sensitive data & risk assessment,Metric
mt58,,,publisher/source notes,Metric
mt295,,,cross-jurisdictional annotation,Metric
mt296,,,consent stratification,Metric
mt298,,,regulatory divergences,Metric
mt299,,,JOCCH compliance,Metric
mt14,,,token-based,Metric
mt15,,,provenance-based,Metric
mt94,,,micro-averaged F1,Metric
mt95,,,annotated confusion matrices,Metric
mt6,,,historical lexicon recall,Metric
mt289,,,statistical data,Metric
mt154,,,content consistency and clarity,Metric
mt155,,,accessibility compliance,Metric
mt152,,,multilingual benchmarking,Metric
mt153,,,cross-institutional data sharing protocols,Metric
mt69,,,compliance with European library practices,Metric
mt156,,,narrative flow,Metric
mt157,,,transcription accuracy,Metric
mt159,,,technical explanation accuracy,Metric
mt160,,,collaborative annotation workflow elaboration,Metric
mt120,,,clarity and completeness,Metric
mt252,,,transparency of annotation guidelines,Metric
mt253,,,explicit cross-lingual error analysis,Metric
mt135,,,comparative benchmarks,Metric
mt136,,,evaluation protocols,Metric
mt137,,,reproducibility best practices,Metric
mt285,,,word count management,Metric
mt286,,,regulatory nuance demonstration,Metric
mt138,,,annotation consistency,Metric
mt173,,,accessibility performance,Metric
mt269,,,compliance negotiation,Metric
mt287,,,compliance with section 37B of the India Data Protection Bill,Metric
mt288,,,compliance with GDPR/UK section D3b,Metric
mt211,,,precision-recall tradeoff,Metric
mt212,,,semantic similarity metrics,Metric
mt166,,,participant engagement,Metric
mt167,,,time allocation,Metric
mt168,,,reach maximization,Metric
mt169,,,preparation depth,Metric
mt170,,,ethical/data responsibility alignment,Metric
mt114,,,"compliance with institutional, licensing, and privacy stipulations",Metric
mt115,,,clarity and reproducibility,Metric
mt241,,,cross-institutional lessons learned,Metric
mt43,,,annotator-level confusion matrices,Metric
mt228,,,unforeseen bottlenecks or challenges,Metric
mt229,,,DOI assignment,Metric
mt230,,,typesetting ambiguities,Metric
mt290,,,cross-platform annotation events,Metric
mt291,,,data transfer logs,Metric
