:ID,datasetName,mergeConfidence,mergedFrom,:LABEL
d557,Japanese dataset,,,Dataset
d412,Oxford ethics documentation,,,Dataset
d414,NDLI workflow,,,Dataset
d415,IACS-specific approval flowcharts,,,Dataset
d329,anonymized data snapshots,,,Dataset
d560,international historical datasets,,,Dataset
d291,demo datasets,,,Dataset
d213,historical language models,,,Dataset
d165,transatlantic dataset,,,Dataset
d5,Stanford Library pamphlets,,,Dataset
d331,diachronic corpora,,,Dataset
d118,national archives or government records,,,Dataset
d119,institutional archive,,,Dataset
d130,color-coded dataset interactions,,,Dataset
d131,compliance and privacy pipeline,,,Dataset
d260,RTI disclosures,,,Dataset
d261,EU cultural heritage projects,,,Dataset
d147,ErrorPrivacy summary,,,Dataset
d148,IACS_ApprovalLetter.pdf,,,Dataset
d209,provenance analysis dataset,,,Dataset
d210,OCR error dataset (OCR error cases),0.8404,['d38'],Dataset
d62,Annotator_Agreement_ByGenre_Final.xlsx,,,Dataset
d267,press monitoring sheet,,,Dataset
d162,European dataset,,,Dataset
d108,Sunita’s dataset,,,Dataset
d460,Annotation metadata,,,Dataset
d461,annotator activity logs (annotation logs),0.8423,['d468'],Dataset
d462,meta-annotations on language variety and script conventions,,,Dataset
d463,inter-annotator commentaries,,,Dataset
d464,normalization edge cases,,,Dataset
d465,comparative statistics,,,Dataset
d466,plots,,,Dataset
d467,user study survey,,,Dataset
d326,supplementary table references,,,Dataset
d327,code artifact examples,0.779,['d330'],Dataset
d336,datasets segment,,,Dataset
d160,Oxford European corpus,,,Dataset
d264,Press_Sample_RTINLP_2022.pdf,,,Dataset
d265,IACS_Press_Release_Template_Feb2022.docx,,,Dataset
d122,annotated corpus samples,,,Dataset
d125,workshop artifacts,,,Dataset
d158,South Asian corpus segment,,,Dataset
d159,European corpus,,,Dataset
d409,University of Oxford supporting artifacts (Oxford materials),0.796,['d421'],Dataset
d410,Stanford supporting artifacts (Stanford artifacts),0.7675,['d413'],Dataset
d494,Supplementary Historical Newspapers Dataset,,,Dataset
d492,original embargo tables,,,Dataset
d493,annotation flow mappings,,,Dataset
d65,English data slice,,,Dataset
d66,Annotator_Agreement_ByGenre,,,Dataset
d8,Chronicling America samples,,,Dataset
d446,19th-century Bengali subset,,,Dataset
d478,online dataset splash page,,,Dataset
d78,Bengali-English Colonial Documents,,,Dataset
d109,annotated datasets,,,Dataset
d455,code repositories,,,Dataset
d456,graphical abstracts,,,Dataset
d407,anonymized ethics committee documents,,,Dataset
d184,historical text datasets,,,Dataset
d151,Global Historical Press Corpus (GHPC),,,Dataset
d311,annotated NER and OCR pipeline citation queries,,,Dataset
d102,multilingual historical newspaper corpora (historical data),0.8016,"['d124', 'd17', 'd194', 'd221', 'd266', 'd294', 'd300', 'd301', 'd312', 'd338', 'd339', 'd340', 'd343', 'd346', 'd356', 'd4', 'd502', 'd509', 'd53', 'd56']",Dataset
d553,Chilean data management examples,,,Dataset
d554,Japanese data management examples,,,Dataset
d555,Provenance tables,,,Dataset
d518,corpus tables,,,Dataset
d519,archival data annotation,,,Dataset
d316,ACL D&I initiative papers,,,Dataset
d317,recent EMNLP workshops on linguistic inclusivity,,,Dataset
d416,Stanford Documentation (Stanford materials),0.8216,['d422'],Dataset
d392,Indian Newspapers corpus,,,Dataset
d393,British Colonial Proceedings,,,Dataset
d394,US Immigration Letters corpus,0.8602,['d400'],Dataset
d428,cross-jurisdictional data-use negotiations,,,Dataset
d429,Europeana sub-corpora,,,Dataset
d72,Europeana,,,Dataset
d86,JOCCH_CameraReady_Package_08Mar2020.zip,,,Dataset
d345,supplementary dataset archives (supporting datasets),0.7962,"['d440', 'd443']",Dataset
d275,South Asian newspapers,,,Dataset
d276,colonial records,,,Dataset
d277,Oxford’s annotated corpus,,,Dataset
d203,benchmark dataset,,,Dataset
d52,Harmonized NLP Dataset,,,Dataset
d441,supplementary data archives,,,Dataset
d442,code repository,,,Dataset
d304,participant queries or receipt confirmations,,,Dataset
d369,expanded dataset,,,Dataset
d75,HyperlinkChecklist_SSen_19Dec21.xlsx,,,Dataset
d506,Q&A survey responses,,,Dataset
d507,Zenodo pipeline,,,Dataset
d318,empirical studies,,,Dataset
d547,archival data workflows,,,Dataset
d548,personal narrative annotation protections,,,Dataset
d315,contemporary work on historical dialect normalization,,,Dataset
d406,ethics committee correspondence,,,Dataset
d427,data agreement negotiations,,,Dataset
d302,backup dataset,,,Dataset
d269,regional languages digitized archives,,,Dataset
d255,co-authored datasets involving international partners,,,Dataset
d44,metadata,,,Dataset
d469,LDC,,,Dataset
d470,institutional repositories,,,Dataset
d471,HuggingFace Datasets,,,Dataset
d337,multilingual newspaper corpora spanning 1850–1950,,,Dataset
d204,underrepresented language corpora,,,Dataset
d520,corpus methodology and annotation guidance,,,Dataset
d142,outlier cases,,,Dataset
d169,public datasets,,,Dataset
d177,data access provisions,,,Dataset
d178,code release,,,Dataset
d179,ethics and privacy considerations,,,Dataset
d180,primary datasets on Zenodo,0.8091,"['d244', 'd246', 'd98']",Dataset
d181,institutional back-up at IACS,,,Dataset
d73,Bengali source archives,,,Dataset
d74,English source archives,,,Dataset
d481,2023–27 benchmarks,,,Dataset
d31,administrative checklist,,,Dataset
d41,uploaded appendix and datasets,,,Dataset
d42,confusion matrices,,,Dataset
d43,error-class samples,,,Dataset
d45,IACS and the British Library permissions,,,Dataset
d289,cohort-based or multilingual historical datasets,,,Dataset
d164,dataset interoperability,,,Dataset
d549,Indian/EU datasets,,,Dataset
d349,Stanford Literary Lab’s 'Global Genres' analysis,,,Dataset
d350,university library digital collections,,,Dataset
d11,British Library,,,Dataset
d50,full dataset release package,,,Dataset
d232,case study corpus,,,Dataset
d199,"English, Sanskrit, and early modern Bengali records",,,Dataset
d200,pilot datasets (~50 docs),,,Dataset
d201,current corpus (>1000 docs),,,Dataset
d174,knowledge base,,,Dataset
d512,regional data-sharing protocols,,,Dataset
d257,PressQuery_FAQ_Drafts/IACS_Draft_Entries,,,Dataset
d245,GitHub supplementary corpus,0.7882,['d247'],Dataset
d399,Indian regional corpora,,,Dataset
d101,multilingual historical NLP,,,Dataset
d167,South Asian corpora,,,Dataset
d168,annotation schemas,,,Dataset
d9,sample sets,,,Dataset
d10,mapping schemas,,,Dataset
d341,annotation inter-rater reliability figures,,,Dataset
d342,pilot runs,,,Dataset
d12,Cleaned text corpora for both archives,,,Dataset
d13,British Library collections,,,Dataset
d405,West Bengal State Archives,,,Dataset
d526,archival data precedents from East Asia or Latin America,,,Dataset
d527,project logs,,,Dataset
d59,Historical Bengali Serials,,,Dataset
d60,English Colonial Periodicals,,,Dataset
d334,low-resource historical corpora,,,Dataset
d360,Scottish Gaelic texts,,,Dataset
d508,historical NLP,,,Dataset
d536,Japanese framework,,,Dataset
d537,Chilean framework,,,Dataset
d533,NLI case,,,Dataset
d539,UK/EU datasets,,,Dataset
d319,dialect classification scheme,,,Dataset
d436,under-resourced settings,,,Dataset
d219,corpus creation,,,Dataset
d220,annotation case studies,,,Dataset
d437,DOI-linked datasets,,,Dataset
d438,ZIP appendix,,,Dataset
d550,"consent, anonymization, and data transmission protocols",,,Dataset
d111,curated historical corpus,,,Dataset
d112,annotation pipeline,,,Dataset
d113,normalization procedures,,,Dataset
d114,reproducibility case study,,,Dataset
d115,community feedback,,,Dataset
d309,technical troubleshooting logs,,,Dataset
d310,chat transcript highlights,,,Dataset
d253,sample questions and responses from recent FAQ cycle,,,Dataset
d254,IACS or India-specific FAQ materials,,,Dataset
d278,Bengali and Odia periodical collections,,,Dataset
d61,annotated or processed derivative,,,Dataset
d268,final materials,,,Dataset
d190,sensitive historical records,,,Dataset
d81,shared “NormalizationPipeline_MBradley_2020.xlsx” document,,,Dataset
d234,annotation protocols,,,Dataset
d235,supplementary case study vignettes,,,Dataset
d523,linguistic corpora,,,Dataset
d107,historical corpus annotation walkthrough,,,Dataset
d217,ACL audience feedback,,,Dataset
d218,Smith et al. (2021) protocol,,,Dataset
d37,annotated historical materials,,,Dataset
d149,OCR noise outputs,,,Dataset
d150,cross-domain historical corpora,,,Dataset
d534,Japan case,,,Dataset
d535,Chile case,,,Dataset
d357,digitized heritage collections,,,Dataset
d358,19th-century Scottish Gaelic texts,,,Dataset
d359,ALMA archive project,,,Dataset
d295,annotation processes,,,Dataset
d166,European source datasets,,,Dataset
d487,structured meta-annotation protocol,,,Dataset
d34,OCR error corpus,,,Dataset
d262,repository materials,,,Dataset
d425,Stanford 'ContinuingReview_Sample.pdf' (Stanford_ContinuingReview_Sample.pdf),0.8467,['d426'],Dataset
d106,Ramesh’s corpus,,,Dataset
d528,National Diet Library of Japan's published policies and case studies,,,Dataset
d529,Biblioteca Nacional de Chile’s digital collections,,,Dataset
d364,sample annotation guidelines,,,Dataset
d365,error analysis visualizations,,,Dataset
d186,restricted access corpora,,,Dataset
