:ID,meetAgenda,meetDate,meetLink,meetTime,:LABEL
mg372,practical walkthrough of data compliance/embargo pipelines and panel Q&A focused on implementation in different institutional contexts,2023-09-18,,15:00–19:00 IST,Meeting
mg4,discussions regarding the Temporal Sentiment Analysis project,yesterday,,,Meeting
mg55,"consolidation call, data sharing/archival considerations, outlining immediate next steps for a potential tutorial proposal",2023-04-07,https://meet.google.com/xyz-pqmf-btu,12:00–16:00 UK,Meeting
mg80,"Resolve any outstanding document comments, Confirm integration points, Consensus on compliance documentation, Timeline for submission",2023-09-06,https://meet.google.com/dyn-wmpl-jow,16:30 IST,Meeting
mg385,"Rapid consolidation of all outstanding revisions, cross-referencing Ananya’s and Michael's notes; Venue decision; Timeline confirmation for final manuscript, figures, and supplementary appendix submission; Planning for a parallel blog post or public preprint",2023-09-25,,16:30 IST / 12:00 BST / 04:00 PDT,Meeting
mg27,"preparation of a succinct presentation/poster, outlining a phased dataset release plan, brainstorming and prioritizing supplementary analyses, initial discussion of a possible journal extension",2023-06-02,Google Meet session,16:30 IST,Meeting
mg153,virtual dry run,2021-04-22,Zoom,late afternoon IST,Meeting
mg374,"walk through structure, key talking points, and division of tasks for both outputs",2023-09-16,,,Meeting
mg65,rehearsal,2022-04-08,Not specified,10:00-12:00 GMT,Meeting
mg50,,,,,Meeting
mg52,consolidation call,Thursday,,,Meeting
mg332,"Progress updates, deep-dive on reproducibility, workflow assembly, challenges discussion, timeline confirmation",2023-10-10,https://zoom.us/j/9876543210?pwd=JOCCHTeam2023,11:00 UK / 15:30 IST / 03:00 US Pacific,Meeting
mg113,,,,,Meeting
mg136,resolving open points regarding the research questions and evaluation frameworks,2023-10-12,Zoom coordination,17:00 CET,Meeting
mg207,pending confirmation of RTI contacts and legal sign-off from each institution,2022-11-25,,14:30 GMT,Meeting
mg256,reviewing submission planning tables,2022-06-10,,,Meeting
mg263,internal walkthrough and final checklist validation,TBD,,TBD,Meeting
mg78,data licensing and repository sustainability,2023-08-16,,,Meeting
mg127,sync meeting and updates,2019-05-12,,,Meeting
mg128,consolidate feedback,2019-09-28,,,Meeting
mg73,"Discussion of official feedback/survey results from JCDL organizers; Review of the tutorial presentation process—strengths, challenges, and lessons learned; Outlining the structure and scope of a potential survey/methods paper for submission to JOCCH; Next steps for launching an open repository of our demo scripts, annotation materials, and (if permissible) selected historical data samples; Planning future workshops/tutorials (e.g., ACL or EMNLP) and community engagement ideas.",2019-05-22,https://meet.google.com/xyz-jcdl-tutorial,15:30 UTC,Meeting
mg253,review of workshop analytics and participant feedback,2022-06-01,provided Zoom link,17:00 BST / 21:30 IST / 09:00 PDT,Meeting
mg356,final internal review,2024-03-25,Not specified,Not specified,Meeting
mg389,,,,,Meeting
mg8,align on next steps,2023-04-23,,,Meeting
mg288,"submission checklist, portal demo, compliance metadata fields",2023-12-04,Unspecified Link,Unspecified Time,Meeting
mg111,"1. Review and sign-off on public summary & communications
2. Finalising the structure and technical/demo roles for the late September webinar
3. Confirming registration processes and cross-institutional promotion plans
4. Scheduling and next milestones aligned with the article's official online publication",2023-08-09,,,Meeting
mg17,"Review interpretability findings, outline and confirm pilot annotation process & expected outputs, baseline model configuration (draft), finalization of evaluation metrics & stretch goal feasibility, authorship mapping and task allocation for ACL/EMNLP (tentative), draft/revision timeline and upcoming deliverables",2023-05-03,https://meet.google.com/vty-cqsi-bjk,3 PM IST / 10:30 AM BST / 2:30 AM PDT,Meeting
mg116,rehearsal for HistocrNLP outreach event,2023-09-05,https://events.iacs.res.in/register/histocrnlp,15:00–18:00 IST,Meeting
mg28,"Presentation/Poster Development, Phased Dataset Release, Supplementary Analyses, Journal Extension Planning",2023-06-02,https://meet.google.com/jxr-twth-uzc,16:30 IST,Meeting
mg177,debrief and planning session,2023-07-30,,4:00 PM IST,Meeting
mg266,coordination call,2023-03-08,https://meet.google.com/nlp-jocch-revision,16:00 IST / 10:30 GMT / 2:30 PST,Meeting
mg5,progress check-in,2019-04-19,,3 PM IST,Meeting
mg199,,,,,Meeting
mg247,finalize Q&A strategy and confirm moderation roles,2022-05-28,,18:00 BST / 22:30 IST / 10:00 PDT,Meeting
mg179,,,,,Meeting
mg174,presentation session,,https://stanford.zoom.us/j/7351826490,,Meeting
mg369,"address any final queries, discuss manuscript assembly logistics, and resolve outstanding checklist points",2023-05-11,,16:00–17:00 IST / 11:30–12:30 BST / 03:30–04:30 PDT,Meeting
mg269,reviewer preparation call,yesterday,Google Meet,16:00–16:45 IST,Meeting
mg319,Review meeting for Project Retrospective & Workflow Reference,2023-07-19,,14:00–18:00 BST,Meeting
mg216,simultaneous publication of the press release,2022-08-18,https://jcdl2022.org/announcements,08:00 PT / 16:00 CET / 20:30 IST,Meeting
mg19,"Interpretability Memo Review, Human Annotation Pilot, Baseline Model Configuration, Evaluation Metrics & Protocols, Authorship & Task Distribution, Draft Timeline",2019-04-28,https://meet.google.com/vty-cqsi-bjk,3 PM IST / 10:30 AM BST / 2:30 AM PDT,Meeting
mg358,"thoroughly cross-check each compliance item, upload the full camera-ready package, and address any last-minute portal issues",2023-03-25,Zoom,15:30 GMT,Meeting
mg231,team call,2023-06-10,,IST evenings,Meeting
mg279,integration notes,2023-08-19,,3:00pm–5:00pm IST,Meeting
mg230,coordination call to review the session summary and asset checklist,,,11:30 IST,Meeting
mg134,Discuss paper structure and action points,2022-10-03,,,Meeting
mg333,"Revision Progress Updates, Focused Discussion Points, Anticipated Challenges, Next Steps & Timeline Recap, AOB",2023-10-10,,,Meeting
mg249,,,,,Meeting
mg322,Project Retrospective & Workflow Reference review,2023-07-19,https://zoom.us/j/94763124839?pwd=bXRwQ1ZxbWw2WFZ0Y08wYVVrZzQ1QT09,18:30 IST / 14:00 BST / 06:00 PDT,Meeting
mg283,finalizing the revised paper,2023-12-04,,after 14:00 GMT,Meeting
mg96,Zoom coordination session regarding JOCCH minor revision tasks,2023-03-26,,,Meeting
mg152,dry run of the presentation,2021-04-22,Zoom,TBD,Meeting
mg261,"finalize section integration plans, lock down submission venue, establish internal timeline",2023-10-10,,20:00 IST / 15:30 BST / 07:30 PDT,Meeting
mg64,rehearsal for JCDL 2020 tutorial,2020-07-20,N/A,N/A,Meeting
mg67,delivering the tutorial session,2020-06-25,,TBD,Meeting
mg314,syncronization call,current day,https://stanford.zoom.us/j/98123746715?pwd=QkNsd3FhS2FZbVh6Uk9GdWx0VktIQT09,15:00 BST/07:00 PDT,Meeting
mg272,,,,,Meeting
mg331,preliminary input or priority issues for the call,2023-10-10,TBD,11:00 UK / 15:30 IST / 03:00 US Pacific,Meeting
mg407,address remaining cross-sectional issues and finalize unified response letter,2023-03-17,https://stanford.zoom.us/j/99821342516?pwd=NLPMajorRev2025,19:30 IST,Meeting
mg176,discuss next steps and possible timeline,2022-07-08,Zoom,TBD,Meeting
mg307,"review audience feedback, discuss possible follow-up opportunities, and finalize the next journal submission plan",2023-04-28,Not specified,5:00 PM IST / 12:30 PM BST / 4:30 AM PDT,Meeting
mg226,"Quick check-in, role assignments, and session objectives; Full run-through of entire slide deck; Transition and timing feedback, including audience engagement checks and Q&A drill; Final roundtable: open technical points, last-minute adjustments, press alignment",TBD,https://ox-ac-zoom.us/j/95827416200?pwd=QkNlc0tYWjB5b3YwMmdGZ1JibDI0UT09,10:00—10:45 GMT,Meeting
mg66,"Timed Dry-run of Slide Deck, Demo & Handover Protocols, Screen Sharing & Q&A Functions, Backup Plan Walkthrough, Documentation Checks, Open Points & Contingencies",2020-07-21,https://us02web.zoom.us/j/82193588451?pwd=sample1234,16:00 UK / 20:30 IST / 08:00 PDT,Meeting
mg182,,,,,Meeting
mg394,focused 30-minute call to discuss integration progress,2023-11-07,Google Meet or Zoom,16:00-18:00 IST (10:30-12:30 GMT),Meeting
mg102,"Brief review of all recent document changes (camera-ready PDF, notebook update, cover letter). Final cross-check using the internal checklist. Confirmation of submission procedure on ScholarOne. Open floor for any last technical or editorial adjustments.",2019-02-14,https://stanford.zoom.us/j/98347920145?pwd=JOCCHfinalsignoff,16:00 IST / 11:30 BST / 3:30 AM PDT,Meeting
mg175,ACL session,2023-10-12,Zoom links provided,1:00 PM BST,Meeting
mg193,internal call on 25th March 2020,2020-03-25,,15:30–16:05 IST / 11:00–11:35 BST,Meeting
mg25,touch base on next steps and formally mark submission milestone,coming week,,,Meeting
mg138,"Final review and harmonization of evaluation metrics, confirmation of author order, policy and process review, timeline review, open discussion",2023-10-12,https://stanford.zoom.us/j/98456247018?pwd=aFphQ2xhQzc3NDI0R2xNRmtLand3UT09,17:00 CET,Meeting
mg297,review meeting,2023-03-01,,,Meeting
mg338,Progress on draft and next steps,2023-11-21,N/A,TBD,Meeting
mg198,1. Status review of JOCCH submission/editorial communications. 2. Outreach/press office readiness and embargo synchronization planning. 3. Technical update on embargo log and query responses. 4. Additional discussion on JCDL 2022 and related dissemination plans. 5. Any other business.,2022-10-16,Not specified,15:30 IST / 11:00 BST / 03:00 PDT,Meeting
mg239,test survey distribution and breakout flows,2023-05-19,,,Meeting
mg132,"Review of the submission venue matrix (ACL 2022 Resource Track vs. JOCCH), Institutional and career priority mapping (PhD and faculty considerations), Data/code transparency strategy alignment, Open discussion of staged submission methodologies, drawing on digital humanities precedents from Oxford and Stanford, Timelines and next steps for drafting and submission responsibilities",TBD,https://meet.google.com/vgb-citm-tso,this afternoon,Meeting
mg158,dry run and practice Q&A,2023-04-24,previously circulated Zoom link,5:30 pm IST,Meeting
mg344,align on divisions of labor,2024-03-01,Not specified,Not specified,Meeting
mg104,plan webinar and digital launch,2023-10-04,Zoom,midweek,Meeting
mg31,"Review of the current dataset documentation, Institutional compliance checklist, Technical and procedural questions, Q&A / Any Other Business",2019-06-04,https://meet.google.com/tcu-ocbb-wjd,16:00–17:00 IST,Meeting
mg42,review and finalize revisions,2023-12-15,Google Meet link to be circulated,15:30–16:00 IST,Meeting
mg188,"Embargo Compliance Review, Outreach Materials Coordination, Timeline Alignment and Internal Communication",2020-03-13,,15:30–16:05 IST / 11:00–11:35 BST,Meeting
mg159,"Dry run of presentation including full walkthrough, targeted feedback, integration of edits, Q&A drill, and action items",2023-04-24,https://stanford.zoom.us/j/94728615327,5:30–7:00 pm IST,Meeting
mg278,targeting any cross-section integration concerns,2023-08-19,Google Meet,afternoon IST,Meeting
mg329,As outlined by Ramesh (see your previous email for detailed breakdown),2021-10-22,https://stanford.zoom.us/j/91456783412?pwd=NLPFinalReviewAug1,16:00 IST / 11:30 BST / 03:30 PDT,Meeting
mg189,,,,,Meeting
mg123,group review and action tracking,2023-09-22,https://stanford.zoom.us/j/94123456789,TBD,Meeting
mg316,final consolidation meeting,2023-05-16,TBD,14:30 IST,Meeting
mg135,address any outstanding questions and update on action items,2023-10-12,TBD,17:00 CET,Meeting
mg56,"1. Brief overview by each contributor on retrospective summaries (5 min each)
2. Discussion on transferable lessons for historical NLP research
3. Data sharing & archival considerations for future documentation and methods papers
4. Outline of possible workshop/tutorial proposals (ACL, JCDL, SIG)
5. Next steps: immediate action items, division of responsibilities, and timelines for potential tutorial or workflow paper",2019-02-12,https://meet.google.com/xyz-pqmf-btu,12:00-13:00 UK / 16:30-17:30 IST / 4:00-5:00 US West Coast,Meeting
mg411,finalize the outline and next steps,2023-04-10,,IST evening/UK afternoon,Meeting
mg275,grant proposal scoping and finalizing core messages for conference abstract and parallel journal submission discussion,2023-08-13,,3:30pm IST/11:00am BST/3:00am PDT,Meeting
mg97,team review,2023-04-07,,,Meeting
mg311,JCDL 2023 Debrief,2021-08-02,N/A,N/A,Meeting
mg163,"Confirm compliance with ACL guidelines and discuss flagged edits, Slide-by-slide review for content, format, and clarity, Update and approve supplementary materials, Final assignment of action items and submission timeline",2021-06-11,N/A,3 PM IST,Meeting
mg196,"progress review, discussion on future joint presentations, embargo monitoring infrastructure, press office readiness, and historical data handling in cross-jurisdictional projects",2022-10-16,,11:00 BST,Meeting
mg167,group rehearsal,2022-07-17,Not specified,Not specified,Meeting
mg45,team’s feedback on Figure 3 caption,2021-12-15,,,Meeting
mg368,planning and internal review session,2023-04-15,,,Meeting
mg164,"reviewing camera-ready guidelines, discussing slide figures, Q&A document, and presenter bios",2023-06-11,,,Meeting
mg274,collaborative session,2022-08-13,https://doodle.com/meeting/participate/Team-Session-Aug2022,,Meeting
mg40,minor revision of the manuscript for the ACM JOCCH,2019-08-08,via Zoom,15:15–16:35 IST,Meeting
mg280,final screen-share review before submission,2021-12-01,,TBD,Meeting
mg145,synchronize on the granular distribution of tasks,2023-01-22,,16:00 UTC,Meeting
mg35,concise agenda,today,,16:30 IST,Meeting
mg225,"address flows, transitions, and any last-minute adjustments",2023-04-08,,10:00-12:00 GMT,Meeting
mg49,resolve last-minute details,2019-03-02,Zoom call,same time as previous meeting,Meeting
mg16,"Review Ananya's interpretability memo, decide on pilot annotation logistics, confirm baseline model configuration and initial results, agree on final set of evaluation metrics and protocols, outline preliminary authorship and responsibilities map, set timeline for subsequent drafts and code releases",2023-05-03,,3 PM IST / 10:30 AM BST / 2:30 AM PDT,Meeting
mg306,final tech-check,,Zoom session,,Meeting
mg206,"synthesizing ideas, discussing metadata sharing policy, versioning FAQ document",2023-11-15,,,Meeting
mg209,"Final Language Review, Institutional Sign-offs, Submission Package Readiness, Submission Logistics, Press Protocol Integration, Any Other Business",TODAY,https://meet.google.com/faq-jcdl-checkin,14:30 GMT,Meeting
mg398,aligning schedules on milestones and document integration,2023-01-05,,16:00–17:00 IST,Meeting
mg258,Draft agenda for sync call,2023-06-10,,20:00 IST / 15:30 BST / 07:30 PDT,Meeting
mg403,review progress on the distinct revision items and align on integration strategies for both the manuscript and response letter,2023-03-08,Google Meet,2:30 PST / 16:00 IST / 10:30 GMT,Meeting
mg365,"Review of written section drafts, finalization of dataset hosting venue and DOI allocation strategy, discussion and approval of the user study/survey, assignment of writing/editorial tasks, timeline confirmation for draft revisions and tentative submission windows",2024-04-24,,,Meeting
mg390,finalize dataset breakdown assignments and synchronize response letter approach,2023-10-31,,17:00 IST,Meeting
mg259,"process alignment, critical discussion points, Lessons Learned & Recommendations, figure/table formatting standards, Q&A/Moderation section visuals, literature review, accessibility protocol summaries",2023-06-10,,,Meeting
mg395,integration workflow for JOCCH revision,2023-11-08,,16:30–17:00 IST,Meeting
mg156,dry run and draft slides review,2021-04-24,Zoom link,5:30–7:00 pm IST,Meeting
mg273,pre-populate bibliography and funding call sections,2023-08-13,,,Meeting
mg39,discussion on response letter and document segments,2023-08-30,,15:15 IST,Meeting
mg105,planning late-September webinar,midweek next week,,,Meeting
mg171,pre-rehearsal transitions check,2022-07-17,Not specified,4:30 PM IST / 8:00 AM PDT / 12:00 PM BST,Meeting
mg236,,,,,Meeting
mg168,"Full walk-through, slide and transition checks, Q&A role assignments, timing review",2022-07-18,https://stanford.zoom.us/j/9182736450,2:00 PM BST / 6:30 PM IST / 6:00 AM PDT,Meeting
mg157,dry run session,2021-04-24,https://drive.google.com/file/d/1AB2c3XYZACL2021deck,5:30–7:00 pm IST,Meeting
mg215,final coordination call,2020-08-16,,,Meeting
mg348,"discussion on dataset and code repository, final cross-check, update draft, coordinate tasks",2023-10-10,,14:30 GMT,Meeting
mg124,sync meeting,2023-09-22,established Zoom link,14:30 IST (10:00 BST / 2:00 PDT),Meeting
mg129,make a final decision and delineate writing responsibilities,2023-10-03 to 2023-10-05,,,Meeting
mg312,jointly outline the interface between semantic metrics and error taxonomy,2023-05-06,,,Meeting
mg87,progress meeting,2023-02-08,,11:00-14:00 GMT,Meeting
mg409,final action steps ahead of the JOCCH major revision submission deadline,2022-03-13,,,Meeting
mg100,team sign-off,2023-06-12,,,Meeting
mg150,camera-ready revision coordination meeting,2021-01-22,,,Meeting
mg90,"confirm all major changes, assign responsibilities, review draft author response",2021-02-09,https://zoom.us/j/98367321478?pwd=R2N3WTh3cUFqUXRpR2VBU3BnQTlRdz09,TBD,Meeting
mg115,technical and content rehearsal,2023-09-01,,,Meeting
mg323,Review meeting to discuss Project Retrospective & Workflow Reference,2021-10-11,N/A,N/A,Meeting
mg251,brief dry run and chat/email support channel verification,TBD,,11:00 BST,Meeting
mg217,"content/preparation for possible conference live session, outreach priorities, task distribution, review media tracking results",2023-03-31,Zoom room to be set up,Morning or Afternoon GMT,Meeting
mg349,"Quick review of reviewer and meta-reviewer recommendations, progress update on textual and supplementary material revisions, confirmation of Overleaf and code/data repository status, discussion of preliminary checklist for camera-ready formatting and graphical abstract integration, outline of required metadata updates and presenter confirmation documentation, contingency planning, open discussion/questions",2024-02-28,https://zoom.us/j/98237012654?pwd=Rmx3eHZtM2FJVU9kalRVSFpyaEhMUT09,14:30 GMT,Meeting
mg327,"final sign-off, bibliography checks, and task allocation",2023-08-01,,,Meeting
mg204,a) Brief overview of institutional FAQ workflows; b) Walkthrough and synthesis of draft entries; c) Agreement on consolidated structure and open items for the annex; d) Next steps for formatting and integration into the Unified Press Query Protocol by end-November.,2023-11-15,TBD,15:30 IST / 10:00 BST / 02:00 PST,Meeting
mg133,review of the submission features matrix,2019-05-22,,,Meeting
mg299,,,,,Meeting
mg72,"Review of feedback, reflections on tutorial, publication prospects, open repository creation, future workshop opportunities",2023-08-02,Google Meet,15:30 UTC,Meeting
mg392,"Brief review of task division and progress updates on assigned sections, Finalization of the expanded methodological clarity subsection, Review of preliminary tables and visualizations for evaluation metrics, Outline and formatting options for the legal framework comparative table, Consolidation of supplementary material formats, Draft structure for the point-by-point response letter, Timeline review for final draft submissions and assignment of any outstanding follow-up actions",today,https://stanford.zoom.us/j/96543218765?pwd=ZXNhdTdmLzBsdG93Tk1wQWpyU3EyUT09,17:00 IST / 12:30 BST / 04:30 PDT,Meeting
mg292,submission review and coordination,2023-12-04,https://ox-ac-uk.zoom.us/j/97824613570?pwd=abcd1234EfG,14:30 GMT,Meeting
mg14,check-in meeting,2023-05-10,,,Meeting
mg345,review progress and resolve questions about camera-ready guidelines,2024-03-01,,14:00 GMT,Meeting
mg186,"synchronizing the core message and impact highlights, aligning timeline with expected journal communications, confirming embargo status on Zenodo and GitHub resources",2023-09-12,https://meet.google.com/abc-wxyz-123,15:30 IST,Meeting
mg281,discuss camera-ready submission,2023-12-02 to 2023-12-06,Unspecified,afternoons (GMT),Meeting
mg399,"Task Progress Updates, Integration Strategies, Workflow/Deliverables, Q&A and contingency planning",2024-01-05,https://meet.google.com/rbe-ywgv-ucm,16:00–17:00 IST,Meeting
mg81,"main text integration, consistency check on compliance supplement, joint walk-through of results tables, resolution phase",2023-09-06,,16:30 IST,Meeting
mg21,synthesis session,2023-05-13,,,Meeting
