:START_ID,:END_ID,:TYPE,context,date,role,source
tm10,og10,affiliation,Department of Computer Science affiliation Stanford University,2025-03-28,,MAIL0Z58QPLH;MAIL197ZNXAL;MAIL19HFSELQ;MAIL1A7PV9XK;MAIL27NCXUVP;MAIL29VQHP4S;MAIL2BQGJ71K;MAIL37LABM0U;MAIL38XKWLSJ;MAIL3HJLQ56N;MAIL3NR7YBQA;MAIL3PNZX8RS;MAIL3PQ98MZS;MAIL3UPLKYGX;MAIL4FJ7RC8G;MAIL4H7KJ9LP;MAIL56PQKLA9;MAIL57J2MCFX;MAIL59GYC43V;MAIL5A4LJ7WM;MAIL5DKP3ZYA;MAIL5DN8G2KL;MAIL5VC3WL07;MAIL5X3D9LQB;MAIL5YXW3GVT;MAIL68BNSKW3;MAIL6QTU93ND;MAIL6SKZ4RXV;MAIL6TXUY5ZA;MAIL72GZFEM6;MAIL7A59VD13;MAIL7APXD51V;MAIL7J5Q4L2P;MAIL7K29XBTL;MAIL7KJQ1LZV;MAIL7YR2QP1W;MAIL81R3QK2W;MAIL82NsHXJ9;MAIL892JSQKL;MAIL8DFLJ3ZW;MAIL8NWZ52QF;MAIL8XPLT3QW;MAIL93N5XELV;MAIL96JUYQW2;MAIL98JSK54W;MAIL9DS4K1QM;MAIL9MD3K2SW;MAIL9MNLQ7VY;MAIL9N2HEX0T;MAILA36CG8YP;MAILA5KP7QTB;MAILA92FDG5S;MAILAF90TKQP;MAILAG52RJKT;MAILB9Q3DZK2;MAILC58DQ7L2;MAILE12CRJK9;MAILE1R92QMB;MAILE1V9B4WF;MAILE239KLUF;MAILE2PH9KLX;MAILE5UN63XD;MAILE6TX4Q1R;MAILE7LKQC41;MAILE812V3PK;MAILE8G5JV72;MAILE8LF9SYW;MAILE8V2RZQS;MAILE8X2JAG4;MAILEI6Q9MPY;MAILEKQZN4X2;MAILEU72D3V1;MAILF123TJQM;MAILF3W9SZQK;MAILF52JLK87;MAILFT3W8XZ7;MAILFVW39PQ8;MAILGQZ48VLD;MAILGV2HE4JM;MAILGY82WLPQ;MAILH3Q4R7PL;MAILJG8KX9VM;MAILK1MC7PL9;MAILK31XPZJ9;MAILK3BX2HQN;MAILK57ZCBRU;MAILK7B9R2XZ;MAILK7D2QP83;MAILL28CX1FD;MAILL7P3V2SB;MAILL8F6P2WR;MAILLA5KXQ9C;MAILN4H2KQWX;MAILN4T7XBQ1;MAILN4ZD8JQE;MAILN71P8SZM;MAILN7D8V6QP;MAILNT7W4QZV;MAILP2V9K7ZW;MAILP3S8Q1DM;MAILP4V2H9MQ;MAILP8K5M3Y2;MAILPW4N2X7Q;MAILQ3X584SC;MAILQ52L8ASN;MAILQ58DZVL3;MAILQ74DSXP2;MAILQ7BV4P3K;MAILQ7KLV49B;MAILQ8JK37AP;MAILQ9M5BZT2;MAILQJ43G79D;MAILR4K21HJ8;MAILR4TB9SCM;MAILR4X2K7VM;MAILS2E7M8KL;MAILT39FWZ1L;MAILT3K5NVL2;MAILT4F1GDQ6;MAILT4SDM98Q;MAILT6Y4NMVE;MAILT7H9K4ML;MAILT8E1U6PX;MAILTD92C4WS;MAILU59T2GKL;MAILU5B3Q2HN;MAILUB4J6X3K;MAILV35AJ6FZ;MAILV4JPK093;MAILV7PSF4X9;MAILV8T61QRP;MAILVQ9P7L2B;MAILW5Q9JMB7;MAILW9J4S1QN;MAILWD9CX3N2;MAILWRF47QLB;MAILX1D9E7ZP;MAILX3Z7YQSD;MAILX5GM3C82;MAILX7K21VLQ;MAILY2TUEXC9;MAILY4S9TF23;MAILY56H2QMV;MAILY7B9HNQP;MAILY8WN5H2Q;MAILYL8F5QND;MAILZ59UNGJQ;MAILZ8XRV31W;MAILZA3QXJ9U;MAILZXC943FD
tm11,og5,affiliation,2021 Resource Track Committee affiliation ACL,2021-06-13,,MAILU7ZT14MB
tm13,og5,affiliation,2022 Program Committee affiliation ACL,2021-12-31,,MAILEU7QX13A
tm24,og5,affiliation,2023 Submission Office affiliation ACL,2024-01-27,,MAIL43JMVK1S
tm25,og5,affiliation,2024 Submissions affiliation ACL,2024-03-13,,MAILE8WPG5RV
pn15,og6,affiliation,Prof. Ramesh Bhatia,,,
pn20,og7,affiliation,Media Relations Officer,,,
pn21,og8,affiliation,Sunita Sen,,,
tm32,og9,affiliation,University of Oxford,,,
pn23,og9,affiliation,IACS,,,
tm33,og10,affiliation,Stanford,,,
pn27,og8,affiliation,Stanford University,,,
pn29,og11,affiliation,UCM,,,
pn30,og12,affiliation,University of Washington,,,
pn25,og13,affiliation,IIT Delhi,,,
pn32,og14,affiliation,University of Bologna,,,
