:ID,taskDate,taskName,:LABEL
tk240,2019-05-18,Initial draft of human evaluation section (quantitative and qualitative synthesis),Task
tk241,2019-05-19,Visualization first draft,Task
tk242,2019-05-21,Draft overall discussion and reviewer alignment commentary,Task
tk243,,historian workflow integration,Task
tk244,,highlighting the diversity of document types in submission,Task
tk246,2025-05-19,producing a first draft of the visualizations,Task
tk247,,smooth integration process for the human evaluation section,Task
tk248,,assembling the faithfulness/clarity heatmaps,Task
tk249,,bar chart breakdown of willingness scores by OCR artifact severity,Task
tk250,2025-05-17,highlighting exemplar explanatory segments in the vignette figure,Task
tk254,,annotator anonymization,Task
tk255,,update shared annotation metadata sheet,Task
tk257,,include exemplars to highlight in figures,Task
tk258,,review updated metadata,Task
tk262,,privacy compliance,Task
tk263,,ACL submissions,Task
tk264,,EMNLP submissions,Task
tk265,,human evaluation section,Task
tk266,2019-05-21,review the draft figures and captions,Task
tk267,,provide feedback or mark suggestions directly in the shared Drive,Task
tk269,,suggest a sequence for figure order in the manuscript,Task
tk272,,manuscript integration,Task
tk274,,bar chart grouping clarification,Task
tk275,,vignette panel highlighting,Task
tk276,,figure file renaming,Task
tk277,,supplementary table legend update,Task
tk280,,"implementation of the suggestions for data anonymization, color accessibility, and figure clarity",Task
tk281,,clarify in captions the normalization of annotator ratings and map tick labels to participant IDs,Task
tk282,,outline the binning method for artifact severity,Task
tk284,,standardized file naming for smooth LaTeX integration,Task
tk285,2025-05-23,integrating revisions and visual assets into the draft manuscript,Task
tk287,23rd,finalize ACL-compliant file naming,Task
tk289,23rd,finalize the figures,Task
tk290,23rd,group review,Task
tk295,2019-05-23,circulate any final comments,Task
tk298,,ACL submission,Task
tk300,tomorrow,standard administrative pre-submission review,Task
tk301,,accept final suggestions and compile the LaTeX source,Task
tk302,,admin check,Task
tk303,,post remaining inconsistencies to shared notes document,Task
tk305,,assemble a transparent evaluation pipeline,Task
tk307,today,administrative review,Task
tk308,2019-05-28,initiate the submission to ACL,Task
tk313,,corrected the typographical error in Fig2_BarChart_ArtifactSeverity.png,Task
tk314,,italicized the interpretive note in the vignette panel,Task
tk315,,ensured consistent script citation formatting in all figure captions,Task
tk317,,mark off items in the administrative checklist,Task
tk318,,celebrating submission day with the team,Task
tk319,2019-05-28,official ACL submission,Task
tk320,2019-07-15,reviewer feedback,Task
tk322,,preliminary planning for follow-up work or dataset releases to coincide with or shortly after the conference notifications,Task
tk323,,prepare supplementary analyses as potential revisions or complementary material for a future journal article,Task
tk324,coming week,schedule a virtual debrief meeting,Task
tk326,,dataset phased release plan,Task
tk328,,explore cross-lingual generalization using the existing codebase,Task
tk332,,Brainstorming and prioritizing supplementary analyses,Task
tk334,,Presentation/Poster Development,Task
tk337,,Journal Extension Planning,Task
tk338,,prepare a concise digital poster,Task
tk339,2019-05-29,initial drafting of poster,Task
tk340,,methods/results visuals for poster,Task
tk342,2019-06-04,circulate the current documentation template,Task
tk344,2019-06-16,initial phase of annotated OCR error corpus ready for internal review,Task
tk346,,cross-lingual transfer experiments,Task
tk348,,explore potential multilingual datasets for fast prototyping,Task
tk350,,Preliminary outline to be drafted post-ACL decision,Task
tk351,2019-06-05,"create a shared spreadsheet to track poster, dataset, and analysis deadlines",Task
tk352,2025-06-09,prepare the first draft of the digital poster,Task
tk353,,dataset release,Task
tk354,,compile relevant descriptive statistics and example cases from the annotated OCR error corpus,Task
tk355,,seminar poster visualizations,Task
tk357,,run initial scripts on the extended multilingual data splits,Task
tk358,,review several candidate datasets and share a shortlist,Task
tk364,2019-06-16,prepare the first draft of the completed template for internal review,Task
tk366,,compliance check for copyright and consent,Task
tk367,2025-06-10,drafting a preliminary checklist,Task
tk368,2025-06-10,upload the initial version to the shared Drive,Task
tk371,,highlight the versioning approach for the codebase within the documentation,Task
tk372,,be explicit about the minimum reproducibility standards,Task
tk373,2025-06-16,prepare a comprehensive draft of the dataset documentation,Task
tk375,16 June,internal review,Task
tk376,,synthesize the compliance checklists from all three institutions,Task
tk377,before 14 June,provide representative error samples and associated metadata,Task
tk378,by the end of this week,input anticipated deliverables in tracking spreadsheet,Task
tk381,,advise if Oxford requires any additional metadata fields,Task
tk384,,integration into the technical appendix or pipeline scripts,Task
tk388,,insert explicit copyright attributions for each legacy publisher/source,Task
tk389,,aggregated note in the dataset README for institutional approval,Task
tk391,,summary statistics or error examples expansion requests,Task
tk393,,institutional reporting,Task
tk396,,capturing a brief formal note in the README,Task
tk397,,including a summary of permissions obtained from IACS and the British Library,Task
tk398,,list explicit publisher/source notes for each major dataset segment,Task
tk399,2025-06-15,enter additional comments on the documentation or compliance notes,Task
tk400,2025-06-16,assemble a finalized draft for discussion,Task
tk401,,Review of the current dataset documentation,Task
tk402,,Summary statistics and representative cases,Task
tk406,,Technical and procedural questions,Task
tk409,,Upload outstanding comments or suggestions on the documentation and compliance notes to the shared drive or tracking spreadsheet,Task
tk410,,Proceed to institutional clearance,Task
tk412,,Dataset Documentation Review,Task
tk415,,Next Steps Toward Data Release and Submission,Task
tk416,2025-06-20,finalize documentation draft,Task
tk417,2025-06-18,upload updated validation logs and provide a summary paragraph for technical validation,Task
tk418,2025-06-19,finalize the compliance checklist and circulate with highlighted unresolved items,Task
tk419,2025-06-21,confirm attestation requirements with the Oxford team and update group,Task
tk420,2025-06-22,documentation finalization,Task
tk422,,clarifying the contextual notes for the representative OCR error cases,Task
tk424,19 June,revised draft ready for final review,Task
tk425,,uploading the latest version of validation logs,Task
tk427,,receive confirmation from Oxford Data Services regarding external attestation,Task
tk430,22 June,assemble the complete documentation package,Task
tk435,2019-06-22,dataset release package,Task
tk439,,rapid check of Section 3 (Attribution and Provenance),Task
tk440,,rapid check of Section 5 (Risk & Compliance),Task
tk441,2019-06-21,sign off on the merged documentation before submission,Task
tk445,before 18:00 IST,final review comments,Task
tk446,,"review compliance checklist, especially columns D and G",Task
tk448,,validate linkage between technical validation summary and expanded contextual notes,Task
tk453,,initial checks for compliance with technical and ethical standards and completeness of supporting documentation and data availability statements,Task
tk454,,associate editor assignment and peer review,Task
tk455,,track manuscript status or upload responses to queries in ScholarOne system,Task
tk457,,peer review process,Task
tk458,4–6 weeks,review window,Task
tk459,,provide an initial decision or request further clarifications,Task
tk460,,update contact information or submit an inquiry regarding manuscript’s progress,Task
tk461,2019-08-27,submit revised manuscript and point-by-point response letter,Task
tk463,,drafting a new subsection addressing domain shift issues in non-English OCR segments,Task
tk464,,summarizing relevant observations from the technical appendix and background analyses on corpus diversity,Task
tk472,next week before 22 September,coordination meeting to discuss progress and agree on a concrete timeline,Task
tk473,22 September,review and final edits before 22 September deadline,Task
tk474,Monday,expanding the “Limitations and Future Work” section,Task
tk476,,access to raw annotator agreement data,Task
tk477,,inputs from Oxford’s library licensing team for compliance appendix clarifications,Task
tk478,2021-08-29,draft revised language for compliance appendix,Task
tk480,2021-08-30,coordination meeting,Task
tk481,2019-09-22,revision,Task
tk482,,review alignment with current European archival licensing best practices,Task
tk487,22 September,designate primary/secondary reviewers for each document segment,Task
tk488,22 September,agree on a timeline for internal feedback before 22 September deadline,Task
tk490,2019-09-01,Draft “Limitations and Future Work”,Task
tk491,2019-09-02,Distribute final annotator agreement table,Task
tk492,2019-09-01,Circulate compliance appendix draft,Task
tk494,2019-09-07,internal review of all segments,Task
tk495,2019-09-15,consolidate and finalize the full manuscript plus response letter,Task
tk496,2019-09-22,final group review before JOCCH’s deadline,Task
tk497,,rapid review of revised wording and attribution table from an Oxford/European library perspective,Task
tk499,,suggestions for clarifying the language around annotator rights or third-party re-use,Task
tk500,2019-09-03,suggest immediate corrections or additions,Task
tk501,4 September,review and confirm accuracy,Task
tk502,4 September,statistical subsetting,Task
tk503,,prepare and share revised compliance appendix draft and comprehensive attribution table,Task
tk506,,update the response letter to mention appended compliance mapping table and clarity around third-party reuse,Task
tk507,,clarify annotator rights in the disclaimer section,Task
tk508,2025-09-07,complete manuscript integration and finalize internal review,Task
tk510,6 September,review the manuscript and response letter,Task
tk511,8 September,submission of the revised package,Task
tk514,8 September,upload of the final package to the JOCCH editorial system,Task
tk517,,historical language resources,Task
tk518,,evaluation approaches for NLP in digital heritage,Task
tk519,2019-11-27,revise manuscript and submit response letter,Task
tk520,2019-11-27,complete the requested minor revisions,Task
tk525,,genre segmentation clarification,Task
tk526,,responsible downstream use and adherence to terms of original source archives,Task
tk528,2021-12-16,draft caption and brief summary of edge cases,Task
tk529,2025-12-15,update the Ethical Considerations section,Task
tk531,2025-12-15,share a draft of these additions on shared Drive in the Minor_Revisions folder,Task
tk533,2025-12-14,confirm if the proposed slot is agreeable,Task
tk534,2025-12-14,provide additional points to address in the ethics section,Task
tk536,,generate the camera-ready PDF,Task
tk537,15 December,provide a summary of checks and any suggested tweaks in the shared “Minor_Revisions” subfolder,Task
tk538,,revision of Fig. 3 caption,Task
tk539,,revision of Ethical Considerations section,Task
tk542,,preparing the response letter,Task
tk544,2019-12-17,upload final caption for Fig. 3,Task
tk545,2019-12-18,incorporate licensing statements into Ethical Considerations section,Task
tk546,2019-11-08,finalize hyperlink corrections and submit annotated checklist to Minor_Revisions folder,Task
tk547,2019-12-20,collate updated sections into master camera-ready document and draft response letter,Task
tk548,2019-12-22,internal deadline for all file finalizations,Task
tk549,2019-12-23,upload revised manuscript and response letter to JOCCH,Task
tk550,2019-11-27,journal deadline for revised submission to JOCCH,Task
tk551,,consider supplementary annotation discrepancy table post-submission,Task
tk552,end of this week,circulate additional thoughts or overlooked action items,Task
tk556,,cross-reference statement for NER ambiguity examples,Task
tk557,,annotation policy adjustments after preliminary inter-annotator agreement analysis,Task
tk558,,updated caption and tabular summary preparation,Task
tk559,,bulleted documentation of annotation outliers,Task
tk560,20 December,internal compilation of minor revision tasks,Task
tk563,,consider this section final for inclusion in the camera-ready draft,Task
tk564,2021-12-20,20 December internal compilation,Task
tk565,,Google Meet discussion,Task
tk567,,standardized hyperlink formatting throughout the document,Task
tk568,,documenting platform/browser tests and a record of each fix,Task
tk570,,run a final pass with the built-in Accessibility Checker on the combined PDF,Task
tk571,,meet the internal deadline,Task
tk572,21 December,run the accessibility scan on the merged PDF,Task
tk573,,skim the integrated Ethical Considerations section for cross-reference accuracy and correct pagination,Task
tk574,,double-check the placement and formatting of the updated Fig. 3 caption and agreement table,Task
tk575,21 December,distribute the complete camera-ready file for sign-off,Task
tk576,23 December,upload the final version and accompanying response letter to JOCCH,Task
tk581,,tweak the contrast levels in Fig. 2 and Fig. 4 for improved accessibility,Task
tk582,today,make minor visual adjustments,Task
tk589,today,Minor color contrast improvements in Fig. 2 and 4,Task
tk590,,"coordinate acknowledgments or plan for additional dissemination (e.g., supplementary materials page)",Task
tk592,,clarification on the annotation guidelines used for entity disambiguation,Task
tk593,,link language models’ name normalization steps to the historical OCR post-processing pipeline,Task
tk595,2019-12-27,"upload revised manuscript, brief response to the reviewers and a summary of changes",Task
tk598,,coordinate accessibility re-tagging for Tables 3 and 5,Task
tk599,2025-01-25,compile revised manuscript and Response to Reviewers letter,Task
tk600,2025-01-22,circulate draft of all changes for group review,Task
tk601,2025-02-11,submit revised manuscript,Task
tk603,2020-01-16,clarification of the annotation guidelines for entity disambiguation,Task
tk605,2020-01-16,historical context validation,Task
tk607,2020-01-16,cross-verification with Oxford team,Task
tk609,,accessibility re-tagging,Task
tk610,2025-01-17,finalize this revision,Task
tk612,,iterative re-tagging of tables for assistive technology compatibility,Task
tk614,2020-01-16,upload tagged PDF snapshots and a checklist of adjustments,Task
tk616,,walkthrough of the tagging process,Task
tk617,,accessibility statements,Task
tk622,2026-01-18,finalize your respective sections,Task
tk624,,Acrobat scripting support,Task
tk625,2026-01-19,coordinate an updated “Response to Reviewers” letter,Task
tk634,,integration points confirmation,Task
tk638,,scripting assistance for accessibility tag issues,Task
tk639,,walkthrough of all revision point responses and their location in the manuscript,Task
tk643,21 January,timeline confirmation for manuscript upload,Task
tk648,2019-01-19,camera-ready submission,Task
tk652,,prepare a crosswalk checklist mapping the revised document sections to the response letter and attach the final supplementary metadata,Task
tk653,2019-03-04,complete all updated files and checks,Task
tk655,this week,working through the table and figure tag compliance checklist,Task
tk656,2025-02-27,finalize review of the main manuscript’s references to all supplementary files,Task
tk657,,cross-verify institutional listings and order with the ScholarOne submission,Task
tk658,2025-03-10,compile and submit,Task
tk663,5 March,accessibility audit of the final PDF using the latest ACM guidelines,Task
tk664,6 March,rapid crosscheck of the metadata alignment and provide a final supplementary material checklist,Task
tk665,,ensure accessibility review changes are merged into shared Overleaf project for final compilation,Task
tk666,7 March,"finalize the author order, institutional affiliations, funding acknowledgments, and ensure consistency across the main manuscript and ScholarOne metadata",Task
tk667,8 March,compile the entire camera-ready submission package,Task
tk668,before the official 10 March deadline,final group review or emergency corrections,Task
tk670,,detailed reference review,Task
tk671,2020-03-07,accessibility audit,Task
tk674,2020-03-09,submission of final camera-ready package,Task
tk675,2020-03-08,final checks of camera-ready package,Task
tk676,2020-03-08,approval or flagging remaining concerns,Task
tk679,,official publication timeline and proofs for author approval,Task
tk687,,guidelines for reproducibility in historical NLP,Task
tk688,,project management and scholarly communication,Task
tk691,early April,schedule a short call to discuss and consolidate highlights,Task
tk695,2025-03-25,draft a summary focusing on cross-lingual ambiguity patterns in historical place names and issues in standardizing metadata across colonial gazetteer sources,Task
tk696,2025-03-25,upload summary to shared drive,Task
tk698,,contribute summaries,Task
tk699,2025-04-04/2025-04-08,scheduling a consolidation call in the first week of April,Task
tk700,2025-04-04/2025-04-08,indicate general availability for a 30–45 minute Google Meet session between 4–8 April,Task
tk701,,discussing ideas for short workshop proposals at ACL or JCDL,Task
tk705,,"documented experience with reproducibility, accessibility, and dataset normalization",Task
tk707,2025-03-25,draft a 2-3 paragraph summary,Task
tk708,,upload summary to the shared drive alongside Sunita’s entity alignment section,Task
tk710,,sketching an outline for a reproducibility or workflow best practices tutorial,Task
tk715,,retrospective summaries,Task
tk717,,circulating the agenda,Task
tk719,2025-04-06/07,consolidation call scheduling,Task
tk720,,data sharing/archival considerations discussion,Task
tk721,,turn retrospective into a methods or workflow paper for JCDL,Task
tk722,,turn retrospective into a practical SIG tutorial,Task
tk725,,Bengali-English corpus normalization section,Task
tk728,,proposals for reproducibility standards in community tutorials,Task
tk731,,data sharing & archival considerations for future documentation and methods papers,Task
tk737,,version control scripts for methods appendix or workflow tutorial,Task
tk739,,open reproducibility challenges,Task
tk740,,aligning multilingual OCR output,Task
tk742,,future ACL or JCDL proposals,Task
tk743,,"submitting a minimal, reusable dataset sample",Task
tk744,,documented workflows,Task
tk746,,refining our materials,Task
tk747,,joint discussion on Thursday,Task
tk750,,project management in distributed teams,Task
tk752,,data sharing and archival,Task
tk753,,"publication of a small, representative corpus sample with detailed annotation and normalization guidelines",Task
tk755,,workflow/methods tutorial aimed at JCDL 2020,Task
tk756,,monitor ACL’s special interest group sessions as a secondary venue,Task
tk757,,drafting the tutorial abstract and extended outline,Task
tk759,,Reproducibility frameworks and FAIR principles,Task
tk761,,"Coordination, timeline tracking, and community engagement strategy",Task
tk762,April 17,Circulate draft contributions for the JCDL tutorial proposal,Task
tk764,April 20,Ananya to integrate all content and circulate a master slide deck draft,Task
tk765,,Group to finalize target venue(s) once CFPs for JCDL and ACL’s SIGs are published,Task
tk767,,handling Bengali-English place names in historical corpus,Task
tk768,,script transliteration,Task
tk769,,context-sensitive string matching,Task
tk771,,comparative evaluation of rule-based vs. neural string matching approaches,Task
tk772,,leveraging Wikidata and domain-specific gazetteers to increase normalization accuracy and recall,Task
tk773,,summary of unresolved issues in entity normalization,Task
tk776,,data curation challenges,Task
tk778,2020-04-17,other contributions,Task
tk781,,creating a Zenodo record,Task
tk785,,reviewing workflow steps and open questions for JCDL reviewer audience,Task
tk788,,entity normalization draft,Task
tk790,,comparative table of string matching methods,Task
tk791,,FAIR guidelines,Task
tk793,,entity normalization section,Task
tk795,,external reviewer submission format,Task
tk796,17 April,finalize respective drafts,Task
tk797,17 April,upload supplementary visuals or notes to the shared drive,Task
tk798,18 April,harmonize the full extended outline,Task
tk799,18 April,address final inconsistencies,Task
tk800,18 April,incorporate collective feedback,Task
tk805,,include a one-slide summary visual of the FAIR pipeline and recommendations for sensitive data management,Task
tk807,2025-04-18,Ramesh’s harmonization and the final circulation,Task
tk808,today,upload drafts and feedback,Task
tk809,tomorrow midday UK time,submit elements for slide deck,Task
tk815,before midday UK time,last-minute revision,Task
tk819,,"multi-script, low-resource historical NLP projects",Task
tk821,today 18:00 UK time,final edits to the master slide deck,Task
tk823,,data sensitivity triage,Task
tk824,,metadata capture,Task
tk827,,add a brief footnote to the FAIR summary slide regarding risk management in colonial and sensitive contexts,Task
tk829,2020-04-19,review the document,Task
tk830,2020-04-19,formal submission to the JCDL 2020 committee,Task
tk839,2019-02-24,JCDL 2020 tutorial proposal submission,Task
tk840,2019-04-09,tutorial notification of acceptance or revision,Task
tk842,2019-05-06,upload revised camera-ready tutorial materials,Task
tk843,,prepare a brief screencast or annotated screenshot walking users through the annotation workflow,Task
tk844,,incorporate ACM reproducibility visual references into the concluding slide,Task
tk845,,draft a concise note regarding the corpus period/context for the mapping ambiguity schematic,Task
tk849,,drafted a preliminary outline for the screencast,Task
tk851,,integrate Ramesh’s parenthetical explanation on the ambiguity schematic into the screencast and slide notes,Task
tk853,2020-07-15,submit the camera-ready materials,Task
tk854,,drafting the screencast outline,Task
tk856,,modular stepwise walkthrough of the provenance workflow,Task
tk858,tomorrow,prepare ACM reproducibility visual high-resolution graphic and updated slide,Task
tk863,15 July,assemble the camera-ready submission,Task
tk865,,addressing the JCDL reviewers’ constructive feedback,Task
tk867,,updated schematic slide formatting,Task
tk875,,Q&A/Additional suggestions,Task
tk877,2019-04-10,circulate a short video snippet/sample for the screencast section,Task
tk879,2019-06-23,Finalize screencast,Task
tk880,2019-06-24,Update slide deck,Task
tk884,2020-06-23,prepare updated screencast,Task
tk885,,draft succinct revision memo for submission package,Task
tk886,,review ancillary materials list,Task
tk887,2020-07-15,communicate last-minute additions or technical notes to the JCDL committee,Task
tk890,next 48 hours,internal review of materials,Task
tk893,,integration of corpus period note and cross-referencing with updated slide materials,Task
tk894,2020-06-24,completion of first draft of revision memo,Task
tk896,2020-06-26,"integrate feedback and upload a finalized, group-approved revision memo",Task
tk898,2020-06-28,last-minute corrections,Task
tk899,2020-07-15,final submission to conference,Task
tk900,2020-06-28,internal cut-off for final compilation and upload,Task
tk902,,coordinate the upload to the conference portal,Task
tk905,2020-06-27,incorporate any last feedback on the revision memo and ancillary index,Task
tk906,2020-06-27,double-check all submission materials and prepare the zipped bundle according to the JCDL specifications,Task
tk907,2020-06-28,upload all files to the official JCDL submission portal,Task
tk909,2020-06-27,provide any final additions or adjustments,Task
tk910,2020-06-26,upload last updates to the slide deck or supporting files,Task
tk911,,file integrity verification,Task
tk912,2019-07-15,formal camera-ready acceptance or revision request,Task
tk913,2019-05-16,tutorial presentation during the main conference program,Task
tk915,2019-07-20,clarifications or additional documentation,Task
tk918,,transitions between modules and the live demonstration artefacts,Task
tk919,,allocate 10 minutes at the end for Q&A and discussion,Task
tk920,,compile the team bios and submit consent forms,Task
tk921,today,upload final bio/CV,Task
tk922,,double-check the legal name formatting as required by ACM,Task
tk923,,prepare local copies of all demo materials and datasets,Task
tk924,,schedule a 60-minute Zoom meeting on either 20 or 21 July for rehearsal,Task
tk926,2020-07-20/2020-07-21,rehearsal meeting,Task
tk927,,upload CV and professional biography to shared drive,Task
tk930,,test demo scripts under restricted network conditions,Task
tk931,,deliver tutorial at JCDL,Task
tk932,tomorrow,verify legal spelling and diacritics on bios,Task
tk933,2020-07-19,finalize rehearsal agenda,Task
tk934,,dataset annotation demo,Task
tk935,,historical text normalization walkthrough,Task
tk936,,facilitate transition with a bridging slide,Task
tk938,,testing of the Zoom live demo features,Task
tk939,,practice screen-sharing for each segment,Task
tk942,,Demo & Handover Protocols,Task
tk945,,Documentation Checks,Task
tk946,,Open Points & Contingencies,Task
tk948,,rehearsal tasks,Task
tk949,,JCDL 2020 tutorial rehearsal,Task
tk951,,standardizing speaker bios according to ACM requirements,Task
tk953,Monday,re-testing demo scripts,Task
tk954,,sending confirmatory reply after demo script testing,Task
tk955,,delivering tutorial at JCDL 2020,Task
tk956,,historical corpus annotation workflow walkthrough,Task
tk957,,normalization demo scripts,Task
tk960,,AV logistics and co-host assignments,Task
tk961,,backup procedures,Task
tk963,2019-05-16,"Opening remarks, speaker introductions",Task
tk964,2019-05-16,Tutorial presentations and live demonstrations,Task
tk965,2019-05-16,Audience Q&A and closing discussion,Task
tk966,,join the Zoom room at least 15 minutes ahead of the start time for a technical sound check,Task
tk967,2020-07-25,send updates to speaker bios or additional handouts,Task
tk968,2020-07-26,JCDL 2020 tutorial,Task
tk971,2020-08-01/2020-08-05,short debrief meeting,Task
tk972,,review official feedback or survey data from the organizers,Task
tk973,,compile lessons learned regarding tutorial delivery and AV logistics for future workshops or conference proposals,Task
tk974,,assess potential for publication or a follow-up tutorial at ACL/EMNLP,Task
tk976,,debrief further and explore publication prospects,Task
tk978,,accessing scripts and annotation guidelines,Task
tk986,,debrief meeting,Task
tk989,,outlining the structure and scope of a potential survey/methods paper for submission to JOCCH,Task
tk992,2020-09-30,draft a survey/methods paper for ACM Journal on Computing and Cultural Heritage (JOCCH),Task
