:ID,datasetName,:LABEL
d240,hybrid historical dataset pipelines,Dataset
d242,new working documents and datasets in the Historical NLP Dissemination & Outreach (JCDL 2022) folder,Dataset
d243,sample datasets,Dataset
d245,annotation packets,Dataset
d246,session packet,Dataset
d248,backup dataset,Dataset
d254,major datasets and supporting files,Dataset
d255,dataset access,Dataset
d256,Workshop2022_Analytics,Dataset
d257,technical troubleshooting logs from our moderation account,Dataset
d258,chat transcript highlights,Dataset
d260,observations on the most commonly requested datasets and reported pain points,Dataset
d262,technical notes,Dataset
d263,ACL D&I materials,Dataset
d264,Accessibility_Resources,Dataset
d265,Supplementary_Literature,Dataset
d267,cross-dialectal datasets,Dataset
d269,dataset description points,Dataset
d270,additional data snapshots,Dataset
d271,code artifacts,Dataset
d272,Reviewer_Support_JOCCH2022 folder,Dataset
d273,new artifact examples,Dataset
d274,EMNLP dataset,Dataset
d276,datasets overview,Dataset
d277,multilingual newspaper corpora spanning 1850–1950,Dataset
d280,datasets table,Dataset
d283,non-Latin script datasets,Dataset
d284,non-Latin corpora,Dataset
d285,Stanford Literary Lab’s Global Genres series,Dataset
d286,Stanford Library’s digital exhibits,Dataset
d288,updated dataset licensing info,Dataset
d289,JCDL_CameraReady2023,Dataset
d291,benchmarking dataset,Dataset
d292,sensitive historical texts,Dataset
d294,historical corpus design,Dataset
d295,JCDL2023_PresentationAssets,Dataset
d297,19th-century Scottish Gaelic texts,Dataset
d298,ALMA archive project,Dataset
d299,expert-curated subsets,Dataset
d300,dataset availability,Dataset
d303,ACM_JOCCH_Draft2023 Google Drive folder,Dataset
d304,subfolders for each major section,Dataset
d305,"supplementary materials such as code links (planned for Zenodo), high-resolution figures, and the updated bibliography",Dataset
d306,sample annotation guidelines,Dataset
d307,dedicated subfolder in Drive for draft diagrams and tables,Dataset
d308,HistoricData,Dataset
d309,expanded dataset reference list,Dataset
d310,19th-century South Asian Legal Documents,Dataset
d314,Bengali legal documents,Dataset
d316,Data Availability,Dataset
d318,primary datasets referenced in the main text,Dataset
d322,datasets that may pose specific issues,Dataset
d325,Indian Newspapers corpus,Dataset
d326,British Colonial Proceedings,Dataset
d327,US Immigration Letters,Dataset
d329,datasets presently under negotiation,Dataset
d332,IAA data,Dataset
d338,NDLI,Dataset
d339,West Bengal State Archives,Dataset
d340,NDLI workflow documents,Dataset
d342,Stanford IRB,Dataset
d343,Appendix Navigation Table,Dataset
d344,Notable Institutional Divergence/Convergence column,Dataset
d345,Stanford ContinuingReview_Sample.pdf,Dataset
d346,NDLI’s new annual review,Dataset
d347,Stanford artifact,Dataset
d348,NDLI sub-corpus,Dataset
d349,Europeana sub-corpus,Dataset
d358,final dataset,Dataset
d361,mixed Bengali-English tokens,Dataset
d363,ACL2024 paper dataset,Dataset
d364,LDC catalog,Dataset
d365,CLARIN repositories,Dataset
d366,LDC repositories,Dataset
d367,CLARIN,Dataset
d368,LDC,Dataset
d369,institutional repositories,Dataset
d370,HuggingFace Datasets,Dataset
d371,supplementary annotation logs,Dataset
d372,edge cases,Dataset
d373,inter-annotator metadata,Dataset
d374,user study survey,Dataset
d378,annotation logs,Dataset
d380,datasets or metadata,Dataset
d381,online dataset splash page,Dataset
d382,JOCCH dataset,Dataset
d384,external corpus releases,Dataset
d386,primary Zenodo record,Dataset
d387,MetaAnnoLog_v5May.docx,Dataset
d388,external corpus,Dataset
d389,dataset subset,Dataset
d390,Zenodo project,Dataset
d391,relevant subset of our historical corpus,Dataset
d392,dataset creation,Dataset
d393,Bengal Gazette,Dataset
d394,Madras Chronicle,Dataset
d397,post-embargo dataset,Dataset
d398,Part II of the “Bengal Gazette”,Dataset
d399,Part III of the “Madras Chronicle”,Dataset
d400,Supplementary Historical Newspapers Dataset,Dataset
d402,TechnicalNote_Inputs,Dataset
d403,Zenodo pipeline,Dataset
d404,lesser-resourced language subcorpora,Dataset
d405,Bengali subcorpus,Dataset
d406,Urdu subcorpus,Dataset
d407,Oriya subcorpus,Dataset
d408,Tamil subcorpus,Dataset
d409,corpus tables,Dataset
d410,raw data breakdowns,Dataset
d411,archival data,Dataset
d412,cross-regional data,Dataset
d413,cultural datasets,Dataset
d414,heritage dataset,Dataset
d415,“special consent” data points,Dataset
d416,3–4 anonymized annotation examples,Dataset
d417,archival data precedents from East Asia or Latin America,Dataset
d418,open datasets,Dataset
d419,project logs,Dataset
d420,YIVO collection,Dataset
d421,first dataset summaries,Dataset
d422,National Diet Library (Japan) archival governance and privacy protocols data,Dataset
d423,Latin American sources (Chile) case comparison data,Dataset
d425,National Archives of Australia supplementary case data,Dataset
d426,user-contributed digital annotations to historical texts,Dataset
d427,annotator metadata,Dataset
d428,archival record usage data,Dataset
d429,personal cultural testimony data,Dataset
d430,Israel data,Dataset
d431,primary datasets,Dataset
d432,National Library of Israel (NLI) case,Dataset
d433,Japan case,Dataset
d434,Chile case,Dataset
d435,UK/EU datasets,Dataset
d436,NLI case,Dataset
d437,Japanese frameworks,Dataset
d438,Chilean frameworks,Dataset
d439,comparative legal matrix,Dataset
d440,National Library of Israel's protocols,Dataset
d441,NLI’s cross-jurisdictional data flows,Dataset
d444,Indian/EU datasets,Dataset
d445,Chilean datasets,Dataset
d446,Japanese datasets,Dataset
d447,non-European datasets,Dataset
d452,Chilean dataset workflow,Dataset
d453,Japanese workflow,Dataset
d454,East Asian datasets,Dataset
