:ID,mailDate,mailNum,subject,:LABEL
e42,13th May 2019,MAILE5FP1LQZ,Visualization Feedback Consolidation and Next Steps for Manuscript Integration,Email
e43,14th May 2019,MAILWTG8Q12R,Re: Visualization Feedback and Integration – Additional Notes & Readiness for Manuscript Finalization,Email
e44,15th May 2019,MAILZTM27A6H,Re: Visualization Feedback and Integration – Finalized Figures and Manuscript Draft Uploaded,Email
e45,16th May 2019,MAILP9T2NJ5C,Final Review of Evaluation Results Section and Figure Integration,Email
e46,17th May 2019,MAILAB92QPV1,Final Narrative Review and Green Light for Pre-Submission Checks,Email
e47,18th May 2019,MAILEW4VTQSZ,Pre-Submission Administrative Check and ACL Submission Preparation,Email
e48,18th May 2019,MAILQ7HY82KP,Administrative Review Complete – Ready for ACL Submission,Email
e49,19th May 2019,MAILFY98K3WN,ACL Submission Confirmed – Submission ID and Final Package,Email
e50,20th May 2019,MAILKNQ41TVD,Congratulations and Next Steps Following ACL 2019 Submission,Email
e51,21st May 2019,MAILC2R9UZ8Q,Re: Congratulations and Next Steps Following ACL 2019 Submission,Email
e52,22nd May 2019,MAIL3HN9BKXQ,Scheduling the Post-Submission Debrief Meeting,Email
e53,23rd May 2019,MAIL6VW84RBG,Re: Scheduling the Post-Submission Debrief Meeting,Email
e54,24th May 2019,MAILR29JAPCS,Minutes – Post-Submission Debrief Meeting (24th May 2019),Email
e55,25th May 2019,MAILP4F82ZNQ,Re: Minutes – Post-Submission Debrief Meeting (24th May 2019),Email
e56,27th May 2019,MAILEU81G5VC,Dataset Documentation Template and Annotation Statistics,Email
e57,29th May 2019,MAILTJ1Z374D,Re: Dataset Documentation Template and Annotation Statistics,Email
e58,30th May 2019,MAILYN48XJ2B,Institutional Compliance Checklist and Pipeline Update,Email
e59,1st June 2019,MAILDW17QPZL,"Summary Statistics, Metadata, and Next Steps for Documentation",Email
e60,3rd June 2019,MAIL5RJ7C2FV,Feedback on Summary Statistics & Documentation; Preparation for Internal Review,Email
e61,4th June 2019,MAILE69HJMV1,Internal Review Meeting – Dataset Documentation & Compliance (16 June),Email
e62,5th June 2019,MAIL7KGB28HC,Minutes: Internal Review Meeting – Dataset Documentation & Compliance (4th June 2019),Email
e63,6th June 2019,MAIL4RC8ZTWQ,Documentation Revisions and Request for Validation Log Update,Email
e64,7th June 2019,MAILPQ61VJ8T,Re: Documentation Revisions and Request for Validation Log Update,Email
e65,8th June 2019,MAILE73HJVS2,Final Compliance Documentation Update and Confirmation Process,Email
e66,9th June 2019,MAILR9W3YTKV,Circulation of Finalized Compliance Checklist & Confirmation for Documentation Sign-Off,Email
e67,9th June 2019,MAILQFZ19UMC,Re: Circulation of Finalized Compliance Checklist & Confirmation for Documentation Sign-Off,Email
e68,10th June 2019,MAIL1NVF3JL9,Submission Confirmation: JOCCH Dataset and Documentation Package,Email
e69,10th June 2019,MAILWF5N3R8C,Acknowledgment of Submission: SUB-JOCCH-2019-0187,Email
e70,25th June 2019,MAILBU84WK31,Status Update: Initial Editorial Screening Complete – SUB-JOCCH-2019-0187,Email
e71,3rd August 2019,MAILJ82D6MUV,Submission Decision Notification: SUB-JOCCH-2019-0187,Email
e72,4th August 2019,MAILA93SVWX7,Re: Submission Decision Notification – Planning for Minor Revisions (SUB-JOCCH-2019-0187),Email
e73,5th August 2019,MAILH2P8TBVW,Re: Submission Decision Notification – Revision Task Assignments & Coordination Meeting,Email
e74,6th August 2019,MAIL4N2S8ZEM,Re: Submission Decision Notification – Revision Task Assignments & Compliance Clarification,Email
e75,7th August 2019,MAILQ7W4TM1V,Coordination Meeting – Zoom Link Confirmation and Annotator Agreement Data Access,Email
e76,8th August 2019,MAILE9T7PZD5,Re: Coordination Meeting – Final Agenda and Preparation Checklist,Email
e77,8th August 2019,MAIL7SX1CHQ8,Coordination Meeting Minutes – Revision Planning for JOCCH Submission (SUB-JOCCH-2019-0187),Email
e78,9th August 2019,MAIL68RT1QXS,Compliance Appendix Revision Draft and Licensing Clarification (SUB-JOCCH-2019-0187),Email
e79,10th August 2019,MAILFE2Q7SVM,Annotator Agreement Table – Final Draft & Integration Notes (SUB-JOCCH-2019-0187),Email
e80,11th August 2019,MAIL89WJ3NCP,"Re: Compliance Appendix Revision Review, Licensing Alignment & Next Steps (SUB-JOCCH-2019-0187)",Email
e81,12th August 2019,MAILU51MN4AC,"Integration Status Update: Compliance Appendix, Annotator Tables & Final Review Timeline (SUB-JOCCH-2019-0187)",Email
e82,14th August 2019,MAIL5DYH8ZQP,Final Approval for Submission – Manuscript and Supplementary Materials (SUB-JOCCH-2019-0187),Email
e83,15th August 2019,MAILA5W4TJQ2,JOCCH Submission Confirmation & Assigned Submission ID (SUB-JOCCH-2019-0187),Email
e84,16th September 2019,MAILM7PH2QZ8,Submission Update & Reviewer Assignment (SUB-JOCCH-2019-0187),Email
e85,3rd November 2019,MAILVGZ74QHB,Decision on Submission “Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives” (SUB-JOCCH-2019-0187),Email
e86,4th November 2019,MAILP4C8VJXS,Revisions Roadmap & Task Delegation – Camera-Ready Preparation (SUB-JOCCH-2019-0187),Email
e87,5th November 2019,MAILQ5RX9KLT,Confirming Task Acceptance & Google Meet Availability (SUB-JOCCH-2019-0187),Email
e88,6th November 2019,MAILUZ14P3SK,Confirmation: Ethical Considerations Section Update & Meeting Slot Proposal (SUB-JOCCH-2019-0187),Email
e89,6th November 2019,MAILNST8QX3W,Hyperlink Verification Update & Confirmation of Proposed Meeting Slot (SUB-JOCCH-2019-0187),Email
e90,6th November 2019,MAILD5RM8CYT,"Google Meet Link for Revision Coordination Meeting (15 December, 15:30 IST) – JOCCH Minor Revisions",Email
e91,8th November 2019,MAILE9H2FXTB,Minutes: Google Meet on JOCCH Minor Revisions (7th November 2019),Email
e92,9th November 2019,MAILHZ4F1J3G,Final Caption for Fig. 3 & Edge Case Documentation (SUB-JOCCH-2019-0187),Email
e93,10th November 2019,MAILXHT28FQM,Finalized “Ethical Considerations” Section & Call for Last Comments (SUB-JOCCH-2019-0187),Email
e94,10th November 2019,MAILJKW19UZP,Hyperlink Checklist & Integration Coordination for Camera-Ready Submission (SUB-JOCCH-2019-0187),Email
e95,11th November 2019,MAIL8QH46MVT,Master Camera-Ready File Compiled & Final Review Action Items (SUB-JOCCH-2019-0187),Email
e96,12th November 2019,MAILUFJ9P2KX,Accessibility Scan Results & Final Confirmation for Camera-Ready Submission (SUB-JOCCH-2019-0187),Email
e97,12th November 2019,MAILBLZ3A8YQ,Final Cross-Reference Review & Manuscript Ready for Submission (SUB-JOCCH-2019-0187),Email
e98,13th November 2019,MAIL7ZA5PNXM,JOCCH Final Submission Completed – Manuscript & Response Letter Uploaded (SUB-JOCCH-2019-0187),Email
e99,15th November 2019,MAILGL7XP2QZ,Submission Acknowledgment – SUB-JOCCH-2019-0187,Email
e100,1st December 2019,MAILQ8HZ2CW7,Editorial Decision – Minor Revisions Required (SUB-JOCCH-2019-0187),Email
e101,2nd December 2019,MAILWB95TY30,Reviewer Feedback Follow-up – Coordinating Minor Revisions for JOCCH (SUB-JOCCH-2019-0187),Email
e102,3rd December 2019,MAILT7HXQW3L,Draft Illustrative Examples for Annotation Guidelines Update (JOCCH Minor Revisions),Email
e103,4th December 2019,MAIL4EBQ7XZF,Draft: Clarifying Name Normalization/OCR Post-Processing Link for JOCCH Revision,Email
e104,4th December 2019,MAILE1827QZL,ACM Accessibility Update – Tables 3 & 5 Re-Tagging Progress (JOCCH Minor Revisions),Email
e105,5th December 2019,MAILYQ7H5PRB,Integration Review & Final Checks – JOCCH Minor Revisions Phase,Email
e106,6th December 2019,MAIL9VKH5X0M,Confirmation of Submission-Ready Drafts & Availability for Review Call – JOCCH Minor Revisions,Email
e107,7th December 2019,MAIL2BK9Q0XZ,Zoom Link & Final Agenda: Review Call for JOCCH Minor Revisions (20 Jan),Email
e108,9th December 2019,MAILSYZT58FG,Manuscript & Response to Reviewers Submitted – JOCCH Minor Revisions Phase (SUB-JOCCH-2019-0187),Email
e109,15th December 2019,MAILU4RHAQ01,Acknowledgment of Submission – “NLP Approaches to Historical Entity Disambiguation” (SUB-JOCCH-2019-0187),Email
e110,2nd January 2020,MAIL5ZWL2TCQ,"Editorial Decision – Minor Revision Accepted, Camera-Ready Required (SUB-JOCCH-2019-0187)",Email
e111,4th January 2020,MAILGT5AL19X,Camera-Ready Preparation Coordination (JOCCH – SUB-JOCCH-2019-0187),Email
e112,5th January 2020,MAILPR36D7VQ,Camera-Ready Manuscript Preparation: Action Items Confirmation (JOCCH – SUB-JOCCH-2019-0187),Email
e113,10th January 2020,MAILE1Q2ZK5N,Supplementary File References Review Completed (JOCCH – SUB-JOCCH-2019-0187),Email
e114,13th January 2020,MAIL3JVTQY8L,Acknowledgment & Next Steps: Zoom Coordination Call Follow-Up (JOCCH – SUB-JOCCH-2019-0187),Email
e115,17th January 2020,MAIL9N35WQXP,Camera-Ready Submission Package Finalization (JOCCH – SUB-JOCCH-2019-0187),Email
e116,18th January 2020,MAIL4Q8V73YD,Submission of Camera-Ready Files for Final Publication (SUB-JOCCH-2019-0187),Email
e117,20th January 2020,MAILRY7F6PQ4,Confirmation of Camera-Ready Submission Receipt (SUB-JOCCH-2019-0187),Email
e118,22nd January 2020,MAILSD8H5XP2,Next Steps After Camera-Ready Submission (JOCCH – SUB-JOCCH-2019-0187),Email
e119,26th January 2020,MAIL89GS3JR5,Retrospective Reflections and Follow-up Coordination,Email
e120,29th January 2020,MAILTW5X48Z1,Input on Retrospective Review & April Scheduling,Email
e121,31st January 2020,MAILH9S43DFL,Scheduling Google Meet: April Project Retrospective Consolidation,Email
e122,1st February 2020,MAIL4M6JD28P,Confirmation of Availability for April Google Meet Session,Email
e123,1st February 2020,MAILVK8N1PS3,Finalizing April Meeting: Confirmation and Agenda Additions,Email
e124,3rd February 2020,MAILE21J7KZ5,Confirmation: April 7th Google Meet & Final Agenda,Email
e125,9th February 2020,MAILTZ58SDEQ,Materials Preparation & Suggestions for 7 April Project Retrospective,Email
e126,13th February 2020,MAILZ8N4RTSY,Minutes and Action Points: 7 April Project Retrospective Call,Email
e127,15th February 2020,MAILU7SR504K,Draft Section on Cross-lingual Entity Normalization for Tutorial Proposal,Email
e128,16th February 2020,MAILQT9Z62PM,FAIR/Zenodo Guidelines Draft and Comments on Entity Normalization Section,Email
e129,18th February 2020,MAILXR297EYM,Reviewing Draft Contributions & Extending the JCDL Proposal Outline,Email
e130,20th February 2020,MAILAK4Z83TR,Slide Deck Integration Plan and Visuals Request for JCDL Tutorial Proposal,Email
e131,21st February 2020,MAILH9F5M1VL,Submission of Visuals for Entity Normalization & Final Review Notes,Email
e132,22nd February 2020,MAIL1P7X4E9N,Final Slide Deck Review & Last Checks Before JCDL Proposal Submission,Email
e133,22nd February 2020,MAILNP84KJY2,Master Slide Deck PDF & Submission Timeline for JCDL Tutorial Proposal,Email
e134,23rd February 2020,MAILE5R29QTM,Approval of Master Slide Deck & Go-Ahead for JCDL Tutorial Proposal Submission,Email
e135,23rd February 2020,MAILV7FGXU19,Final Approval of Slide Deck & Gratitude for Coordination,Email
e136,24th February 2020,MAILQ19Y6D3A,JCDL 2020 Tutorial Proposal Submission Confirmation & Tracking ID,Email
e137,24th February 2020,MAILU16TWSQ8,JCDL 2020 Tutorial Proposal Submission Acknowledgment – SUB-JCDL-2020-0143,Email
e138,10th April 2020,MAILRAK93ULG,JCDL 2020 Tutorial Proposal Notification – SUB-JCDL-2020-0143,Email
e139,10th April 2020,MAILDZ5A8KQ3,Re: JCDL 2020 Tutorial Proposal Notification – SUB-JCDL-2020-0143,Email
e140,11th April 2020,MAILG24LSKH8,Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Update,Email
e141,11th April 2020,MAILE7104DPS,Re: Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Outline Feedback,Email
e142,12th April 2020,MAILT09W1GQ5,Corpus Period Note & Mapping Ambiguity Schematic Revision,Email
e143,13th April 2020,MAILYH7WKE32,JCDL 2020 Revision Meeting – Zoom Link & Agenda,Email
e144,15th April 2020,MAILNF2Q6XLB,JCDL 2020 Camera-Ready Revisions – Initial Integrations & Next Steps,Email
e145,17th April 2020,MAIL871D5QXJ,Final Asset Uploads for JCDL 2020 Camera-Ready Submission,Email
e146,17th April 2020,MAILV39WUQ60,Screencast Final Version Uploaded & Ancillary Files Checklist,Email
e147,18th April 2020,MAILN48MHZR3,Revision Memo Draft & Final Submission Timeline for JCDL 2020,Email
e148,19th April 2020,MAIL29VCJUS5,Approval of Revision Memo & Confirmation for JCDL 2020 Submission,Email
e149,20th April 2020,MAILT84JGX93,Coordinating Final JCDL 2020 Camera-Ready Submission Upload,Email
e150,23rd April 2020,MAILE94LJAPQ,JCDL 2020 Camera-Ready Submission – Confirmation & Submission ID,Email
e151,6th May 2020,MAILH8ZR57VQ,JCDL 2020 Camera-Ready Verification & Final Acceptance – SUB-JCDL-2020-0718,Email
e152,7th May 2020,MAILQ28FZJ63,JCDL 2020 Final Presentation Prep – Tutorial Delivery Coordination,Email
e153,8th May 2020,MAILU08KNBW2,Re: JCDL 2020 Final Presentation Prep – Tutorial Delivery Coordination,Email
e154,9th May 2020,MAILYS03D2C4,Re: JCDL 2020 Final Presentation Prep – AV Setup and Handover Points,Email
e155,10th May 2020,MAIL4AB91MPX,JCDL 2020 Final Rehearsal – Schedule Confirmation & Agenda Draft,Email
e156,12th May 2020,MAILN2RB5GYD,JCDL 2020 Final Rehearsal – Summary & Action Points,Email
e157,13th May 2020,MAILE7P2VTXB,Re: JCDL 2020 Final Rehearsal – Demo Script Confirmation,Email
e158,14th May 2020,MAILN8X6QA1S,"Official Zoom Access Details for JCDL 2020 Tutorial – ""NLP Methods for Large-Scale Historical Data""",Email
e159,15th May 2020,MAIL5KY81ALD,Final Checklist & Logistics for JCDL 2020 Tutorial Delivery,Email
e160,17th May 2020,MAIL1ADV9ZQW,"JCDL 2020 Tutorial – Reflections, Feedback, and Next Steps",Email
e161,17th May 2020,MAILQ2G7XBLS,"Re: JCDL 2020 Tutorial – Reflections, Feedback, and Next Steps",Email
e162,18th May 2020,MAILU9XV7K3J,Debrief Meeting – Availability and Agenda Suggestions,Email
e163,18th May 2020,MAIL6PV1QLR8,Scheduled Debrief – Google Meet Invitation for 2 August,Email
e164,23rd May 2020,MAIL84MNYQZT,Debrief Meeting Minutes and Proposed Publication Plan,Email
e165,23rd May 2020,MAIL0AKPGH6X,JOCCH Article Outline – Draft Plan and Next Steps,Email
e166,24th May 2020,MAIL7XEF4VR1,Re: JOCCH Article Outline – Draft Plan and Next Steps,Email
e167,26th May 2020,MAIL0M4FYWJS,Planning Meeting – Assigning Sections and Submission Logistics (JOCCH Article),Email
e168,27th May 2020,MAILJ452GYQP,Re: Planning Meeting – Assigning Sections and Submission Logistics (JOCCH Article),Email
e169,28th May 2020,MAILEBXQ972S,Re: Planning Meeting – Assigning Sections and Submission Logistics (JOCCH Article),Email
e170,29th May 2020,MAILUV7NLZ5G,Google Meet Link and Reference Document for 16 August Meeting,Email
e171,30th May 2020,MAILNM8P4S0R,Additional Agenda Item – Data Licensing & Repository Sustainability,Email
e172,1st June 2020,MAILE7ZRH6U9,Re: Additional Agenda Item – Data Licensing & Repository Sustainability,Email
e173,3rd June 2020,MAIL8Y4XRQJM,Minutes and Action Items: JOCCH Article Planning Meeting (16 August),Email
e174,3rd June 2020,MAIL0Z27NQY4,Re: Minutes and Action Items: JOCCH Article Planning Meeting (16 August),Email
e175,4th June 2020,MAIL6NS7P5XC,Re: Minutes and Action Items: JOCCH Article Planning Meeting (16 August),Email
e176,5th June 2020,MAIL7AYB3QW4,Coordination for Section Drafts and Supplementary File Integration,Email
e177,6th June 2020,MAILW93RFD8K,Re: Coordination for Section Drafts and Supplementary File Integration,Email
e178,8th June 2020,MAIL3RQT7D2V,Lay Abstract Draft and Progress Update,Email
e179,9th June 2020,MAILR8N5MX4Z,Re: Lay Abstract Draft and Progress Update,Email
e180,11th June 2020,MAIL71FZXPQB,Status Check: Section Draft Upload and Supplement Integration,Email
e181,13th June 2020,MAILYQ0FMSJ8,Re: Status Check: Section Draft Upload and Supplement Integration,Email
e182,15th June 2020,MAILUR0C52AW,Compliance Supplement Review Window & Contributions on Section Drafts,Email
e183,17th June 2020,MAILYW15QH3T,Final Remarks Prior to Full-Draft Circulation and Review,Email
e184,19th June 2020,MAIL7DXQ2VLC,Schedule for Manuscript Finalization Meeting,Email
e185,20th June 2020,MAIL9VL12SXM,Re: Schedule for Manuscript Finalization Meeting,Email
e186,21st June 2020,MAIL5MFVDPOT,Minutes of Manuscript Finalization Meeting (6 September),Email
e187,22nd June 2020,MAILTJ0CZR62,Final Camera-Ready Draft for Pre-Submission Check,Email
e188,23rd June 2020,MAILHQ2F7PG8,Sign-Off on Camera-Ready Manuscript for JOCCH Submission,Email
e189,24th June 2020,MAIL2A8WBZR7,JOCCH Submission Confirmation and Submission ID,Email
e190,27th June 2020,MAILW8J6BV3A,Acknowledgment of Submission - SUB-JOCCH-2020-0047,Email
e191,3rd August 2020,MAILF1T8ZQK9,Decision Notification for Submission SUB-JOCCH-2020-0047,Email
e192,5th August 2020,MAIL73UPQXJ2,Coordinating Revision Strategy for SUB-JOCCH-2020-0047,Email
e193,6th August 2020,MAIL6BZLTW81,Availability for Revision Meeting and Initial Thoughts on Section 4.2,Email
e194,7th August 2020,MAILV85JKPN7,Re: Availability for Revision Meeting and Initial Thoughts on Section 4.2,Email
e195,7th August 2020,MAILR93ATP1K,Confirmation for 6 November Meeting & Code Appendix Guidance,Email
e196,8th August 2020,MAILXT21Y8SV,Zoom Link for 6 November Revision Meeting & Visual Abstract Drafts,Email
e197,12th August 2020,MAILQ1B5ZWM9,Minutes and Action Items from 6 November Revision Meeting (JOCCH Minor Revision),Email
e198,15th August 2020,MAIL6NF1RXZ4,Submission of Expanded Error Analysis Draft & Feedback Request,Email
e199,17th August 2020,MAILK3FT9WPL,Feedback on Section 4.2 Draft & Updates on Response to Reviewers,Email
e200,18th August 2020,MAILSS9BG3YR,Incorporation of Table 4 Findings in Graphical Abstract & Next Steps,Email
e201,19th August 2020,MAILPF72QXJN,Finalizing Code Appendix and Compliance Documentation for JOCCH Submission,Email
e202,20th August 2020,MAILGF35PDLN,Final Feedback on Code Appendix & Compliance Documents,Email
e203,22nd August 2020,MAILUFP7YLB8,Consolidation of Final Materials & Submission Plan for JOCCH Revision,Email
e204,23rd August 2020,MAIL7NKWPDG1,Approval for Final JOCCH Submission (SUB-JOCCH-2020-0047),Email
e205,24th August 2020,MAILF9QB2ST6,Acknowledgment of Submission – Manuscript SUB-JOCCH-2020-0047,Email
e206,23rd October 2020,MAIL76PKFQ2S,Decision Notification and Minor Revision Request – Manuscript SUB-JOCCH-2020-0047,Email
e207,25th October 2020,MAIL3PA7YZXT,Planning and Task Allocation for JOCCH Minor Revision (SUB-JOCCH-2020-0047),Email
e208,26th October 2020,MAILJM845CT7,Re: Planning and Task Allocation for JOCCH Minor Revision (SUB-JOCCH-2020-0047),Email
e209,27th October 2020,MAILV7K6S3HF,Re: Planning and Task Allocation for JOCCH Minor Revision (SUB-JOCCH-2020-0047),Email
e210,28th October 2020,MAIL2DFYRJU9,Re: Planning and Task Allocation for JOCCH Minor Revision (SUB-JOCCH-2020-0047),Email
e211,29th October 2020,MAIL57JWBKXN,"Domain Shift Analysis Draft and Anchor Schematic (JOCCH, SUB-JOCCH-2020-0047)",Email
e212,29th October 2020,MAILR5V1QSN9,Feedback on Domain Shift Analysis Draft and Anchor Schematic,Email
e213,30th October 2020,MAILSY83LQZ1,Code Anchor Methods Section Draft and Feedback Request,Email
e214,31st October 2020,MAIL1DXV7GFS,Compliance and Anonymization Update – Ready for Review,Email
e215,1st November 2020,MAILUZ148JK5,Consolidated Feedback and Agenda for 9 February Progress Call,Email
e216,2nd November 2020,MAILQ8HG2ZVC,Minutes of Progress Meeting – 9 February (JOCCH Minor Revision),Email
e217,4th November 2020,MAILV97KTBQ2,Manuscript Consistency Review and Next Steps Before Submission,Email
e218,4th November 2020,MAILRM384VCW,Final Proofreading Coordination and Submission Readiness Check,Email
e219,7th November 2020,MAIL3DF92WNK,JOCCH Submission Confirmation — Manuscript and Materials Submitted,Email
e220,9th November 2020,MAILJ8WV4LXO,Submission Acknowledgement – SUB-JOCCH-2020-0047,Email
e221,5th December 2020,MAILPB4T9K3G,Decision Notification – SUB-JOCCH-2020-0047,Email
e222,7th December 2020,MAILNQ572JLV,Coordination on JOCCH Minor Revision – Action Plan and Task Assignment,Email
e223,8th December 2020,MAILE3QKTU5V,Re: Coordination on JOCCH Minor Revision – Task Confirmation and Preliminary Updates,Email
e224,9th December 2020,MAILX7M5F8AP,Progress on Supplementary Notebook Documentation and Meeting Confirmation,Email
e225,9th December 2020,MAILKQ9DHL7S,Zoom Link for Minor Revision Progress Meeting – 26 March,Email
e226,11th December 2020,MAIL1DZT5XQE,Minutes: Minor Revision Progress Meeting (26 March),Email
e227,14th December 2020,MAIL82AXJ9LT,Table 2 Formatting Update and Request for Final Review,Email
e228,15th December 2020,MAILR873LWX6,Re: Table 2 Formatting Update and Final Supplementary Notebook Draft,Email
e229,15th December 2020,MAILN83Z3YLS,Consolidated Draft Assembly and Response Letter Update,Email
e230,17th December 2020,MAILD26QZPLB,Compliance Protocol Section Finalization and Flowchart Upload,Email
e231,19th December 2020,MAILS58JG2LU,Final Review and Checklist for JOCCH Minor Revision Resubmission,Email
e232,21st December 2020,MAILQB4E93NW,Submission Confirmation for JOCCH Minor Revision (SUB-JOCCH-2020-0047),Email
e233,22nd December 2020,MAILE9QX1W43,Acknowledgment of Resubmission – ACM JOCCH Minor Revision (SUB-JOCCH-2020-0047),Email
e234,24th January 2021,MAILJ92KLD7P,Decision Notification – Minor Revision Outcome (SUB-JOCCH-2020-0047),Email
e235,25th January 2021,MAIL2XNC51SK,Next Steps for Camera-Ready Submission - Clarification Tasks (SUB-JOCCH-2020-0047),Email
e236,27th January 2021,MAIL3TSK98RZ,Draft Additions: Cross-Domain Corpus References for Methods Section (SUB-JOCCH-2020-0047),Email
e237,29th January 2021,MAILQ5E7DZJ2,Table 2 Footnote Draft & Next Steps for Camera-Ready Submission,Email
e238,3rd February 2021,MAILSK3F7P0V,Internal Review Checklist & Final Merge Plan for JOCCH Camera-Ready Submission,Email
e239,6th February 2021,MAILGB5Y21AP,Implementation Confirmation & PDF Preview – JOCCH Camera-Ready Materials,Email
e240,8th February 2021,MAILNU1SHK7Q,Review of Integrated Materials & Final Suggestions (JOCCH Camera-Ready),Email
e241,9th February 2021,MAILDK82RPA4,Doodle Poll: Scheduling 12 June Zoom Sign-Off for Camera-Ready Submission,Email
e242,12th February 2021,MAILE1JV6PQ3,Confirmed Timing & Zoom Link for 12 June Camera-Ready Sign-Off,Email
e243,15th February 2021,MAILF49J8L2H,Summary & Action Items from 12 June Camera-Ready Sign-Off (JOCCH Submission),Email
e244,17th February 2021,MAILHL9F1QX7,JOCCH Camera-Ready Submission Uploaded – ScholarOne Confirmation & Next Steps,Email
e245,24th February 2021,MAILK2V8RM3D,Acknowledgment of Camera-Ready Submission – ACM JOCCH (SUB-JOCCH-2021-0612),Email
e246,5th March 2021,MAIL97YF2KSH,Galley Proofs and Camera-Ready Deadline – ACM JOCCH (SUB-JOCCH-2021-0612),Email
e247,7th March 2021,MAIL8DPS3BVN,Galley Proof Review – Minor Corrections (JOCCH SUB-JOCCH-2021-0612),Email
e248,9th March 2021,MAILJ4X8MQT9,Aggregated Galley Proof Corrections – Final Review Before Submission to JOCCH,Email
e249,10th March 2021,MAILR8N5MCF2,Re: Aggregated Galley Proof Corrections – Final Review Before Submission to JOCCH,Email
