:ID,meetAgenda,meetDate,meetLink,meetTime,:LABEL
mg40,brief status-update and address technical or stylistic challenges,2019-12-14/2019-12-17,Google Meet (to be scheduled),30-minute slot,Meeting
mg41,coordination call,2021-12-14/2021-12-17,,11:00–11:30 IST or 15:30–16:00 IST,Meeting
mg42,coordination meeting for camera-ready revisions,2025-12-15,,15:30–16:00 IST,Meeting
mg43,Quick progress updates on revision tasks; discuss bottlenecks or reviewer points; coordinate timeline for integrating edits into camera-ready version and preparing response letter; final technical or compliance clarifications before resubmission.,2019-11-07,https://meet.google.com/joc-chh-minor-rev,15:30-16:00 IST,Meeting
mg44,finalizing manuscript for the JOCCH minor revisions,2019-11-07,Google Meet,15:30–16:00 IST,Meeting
mg45,clear any final points and validate the completed camera-ready package ahead of the editorial deadline,2026-01-20,,10:30 am GMT / 4:00 pm IST / 8:30 am PST,Meeting
mg46,Zoom review call,20 January,,4:00 pm IST,Meeting
mg47,review call; walkthrough of revision responses; accessibility check; review of “Response to Reviewers” letter; cross-file consistency checks; timeline confirmation for manuscript upload,20 January,https://zoom.us/j/93027450827?pwd=N2ZoMnZWdEYwUjBpU2VOQkl6ZWVpUT09,10:30 am GMT / 4:00 pm IST / 8:30 am PST,Meeting
mg48,,,,,Meeting
mg49,brief Zoom check-in to ensure we’re on track to compile and submit by 10 March,2025-03-02,,10:30 am GMT / 4:00 pm IST / 8:30 am PST,Meeting
mg50,address any questions about supplementary file references and camera-ready compilation,2020-03-02,Zoom (link not specified),,Meeting
mg51,consolidation call,2025-04-04/2025-04-08,Google Meet,,Meeting
mg52,"consolidation call on internal retrospective; brief overview by each contributor on retrospective summaries; discussion on key transferable lessons for future journals/conferences; outline of possible workshop/tutorial proposals (JCDL, ACL, or SIG); timeline and division of tasks for drafting any external documentation/tutorial abstract",first full week of April,https://meet.google.com/xyz-pqmf-btu,between 12:00–16:00 UK,Meeting
mg53,consolidation call; summarizing the retrospective highlights and next steps for potential workshop/tutorial proposals,2025-04-06/2025-04-07,https://meet.google.com/xyz-pqmf-btu,12:00–16:00 UK,Meeting
mg54,"consolidation call; discuss retrospective, data sharing/archival considerations, potential methods/workflow paper or SIG tutorial, and next steps for a tutorial proposal",2025-04-07,https://meet.google.com/xyz-pqmf-btu,12:00–16:00 UK / 16:30–20:30 IST,Meeting
mg55,"Project retrospective call with agenda on retrospective summaries, transferable lessons for historical NLP research, data sharing & archival, workshop/tutorial proposals, and next steps",2019-02-12,https://meet.google.com/xyz-pqmf-btu,12:00–13:00 UK / 16:30–17:30 IST / 4:00–5:00 US West Coast,Meeting
mg56,consolidation call and joint discussion,Thursday,,,Meeting
mg57,Google Meet session; summary of the meeting minutes and key action items for developing a methods/workflow paper or tutorial proposal,,,,Meeting
mg58,brief coordination call (30–40 minutes) to finalize division of tasks and discuss the camera-ready submission plan,,,,Meeting
mg59,Zoom call to coordinate remaining revisions,,,,Meeting
mg60,camera-ready revision coordination call,2019-04-11,https://zoom.us/j/92713648290?pwd=JCDL_CameraReady,16:00 BST / 20:30 IST / 8:00 PDT,Meeting
mg61,rehearsal for live tutorial delivery,2020-07-20/2020-07-21,,60 minutes,Meeting
mg62,,,,,Meeting
mg63,final rehearsal focusing on technical handover points and Zoom live demo features,2020-07-20/2020-07-21,,late afternoon India time / UK afternoon,Meeting
mg64,JCDL 2020 tutorial rehearsal,2020-07-21,https://us02web.zoom.us/j/82193588451?pwd=sample1234,16:00 UK / 20:30 IST / 08:00 PDT,Meeting
mg65,rehearsal for JCDL 2020 tutorial,,,,Meeting
mg66,official Zoom presentation link and access instructions,2020-07-24,,,Meeting
mg67,"Tutorial: NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility",2019-05-16,https://stanford.zoom.us/j/98273651139?pwd=JCDL2020NLP,13:30–16:00 UTC,Meeting
mg68,pre-session sound check with the conference technician,2020-07-26,official Zoom session (link provided by the committee),13:15 UTC,Meeting
mg69,"short debrief meeting to review feedback, compile lessons learned, assess potential for publication or follow-up tutorial, and discuss broader engagement",2020-08-01/2020-08-05,Zoom or Google Meet,,Meeting
mg70,debrief further and explore publication prospects,2020-08-02,Google Meet (preferred) or Zoom,14:00–17:00 UTC,Meeting
mg71,"Debrief meeting to review feedback, reflect on tutorial process, discuss publication prospects, plan open repository, and brainstorm future workshops/tutorials",2025-08-02,Google Meet (to be circulated),15:30 UTC,Meeting
mg72,"Debrief meeting; Discussion of official feedback/survey results from JCDL organizers; Review of the tutorial presentation process—strengths, challenges, and lessons learned; Outlining the structure and scope of a potential survey/methods paper for submission to JOCCH; Next steps for launching an open repository of demo scripts, annotation materials, and selected historical data samples; Planning future workshops/tutorials (e.g., ACL or EMNLP) and community engagement ideas.",2019-05-22,https://meet.google.com/xyz-jcdl-tutorial,15:30–17:00 UTC,Meeting
mg73,JCDL 2020 Tutorial Debrief,2019-05-22,Google Meet,,Meeting
mg74,,,,,Meeting
mg75,"finalize writing assignments, clarify supplementary documentation requirements, and review JOCCH’s open-data and reproducibility guidelines",16 August,,15:00 UTC,Meeting
mg76,finalizing writing assignments and submission logistics; discuss authorship order and individual contributions; brainstorm ideas for ACM Digital Library’s public-facing summary or lay abstract,16 August,,15:00 UTC,Meeting
mg77,"upcoming meeting to discuss draft responsibilities, authorship order, section assignments, and ACM lay abstract",2026-08-16,,15:00 UTC,Meeting
mg78,upcoming meeting is both effective and focused; fill in authorship and contribution documentation; discuss agenda additions,16 August,https://meet.google.com/hst-jocch-writing,15:00 UTC,Meeting
mg79,"discussion on data licensing, repository sustainability, and compliance with JOCCH’s open-data policy",16 August,,,Meeting
mg80,collectively draft a compliance and licensing statement,,,final 10 minutes,Meeting
mg81,"address any residual comments, align on the integration of the methods/results cross-references, and make a final pass through the compliance supplement details; resolve any outstanding document comments; confirm integration points between main text, results, and supplement; consensus on the finalization of compliance documentation and figure/table formatting; timeline for submission of the camera-ready internal draft",2025-09-06,https://meet.google.com/dyn-wmpl-jow,16:30 IST / 12:00 BST / 04:00 PDT,Meeting
mg82,manuscript finalization meeting; agenda item on main text integration; meeting’s resolution phase,6 September,,16:30 IST,Meeting
mg83,,,,,Meeting
mg84,review our progress and finalize contributions,2020-11-04/2020-11-08,Zoom (to be scheduled),,Meeting
mg85,upcoming revision meeting,2020-11-05,,10:00–13:00 IST / 05:30–08:30 BST / 21:30–00:30 PDT,Meeting
mg86,finalizing our approach and discussing revision process,2024-11-05/06,Zoom (link to be arranged),10:00–13:00 IST / 05:30–08:30 BST / 21:30–00:30 PDT,Meeting
mg87,revision meeting,6 November,,10:00–13:00 IST / 05:30–08:30 BST / 21:30–00:30 PDT,Meeting
mg88,discuss detailed error analysis for the cross-lingual transfer experiments,2022-11-06,,,Meeting
mg89,check-in call to review progress and resolve overlapping issues,week of 2020-02-08,,,Meeting
mg90,progress meeting during the week of 8 February,2026-02-08,,11:00-14:00 GMT,Meeting
mg91,check-in for collective progress updates and resolution of cross-cutting issues,2025-02-08/2025-02-10,,11:00–17:00 IST,Meeting
mg92,progress check-in,2026-02-09,,11:30–14:00 GMT,Meeting
mg93,progress meeting,2021-02-09,,,Meeting
mg94,group call to discuss revision,2021-02-09,,,Meeting
mg95,progress call to discuss JOCCH revision components and finalize resubmission planning,2019-11-01,https://zoom.us/j/98367321478?pwd=R2N3WTh3cUFqUXRpR2VBU3BnQTlRdz09,13:30–14:30 GMT,Meeting
mg96,progress call and pre-submission phase planning,2019-11-01,,,Meeting
mg97,align on progress,2020-03-26,,30 minutes,Meeting
mg98,26 March call,2025-03-26,,,Meeting
mg99,Zoom call to discuss the project,2026-03-26,,,Meeting
mg100,concise coordination session to assess updates and synchronize any cross-dependent tasks for our JOCCH minor revision resubmission,2019-12-09,https://zoom.us/j/93824651704?pwd=MnRpVlJzMGRzTnBhUWpKOEpFS3J4QT09,16:30 IST / 12:00 BST / 04:00 PDT,Meeting
mg101,Zoom coordination session regarding JOCCH minor revision tasks,2020-03-26,,,Meeting
mg102,upcoming team review,2020-04-07,,,Meeting
mg103,quick Zoom call to sign off on the package before submission,12 June,,,Meeting
mg104,brief Zoom sign-off meeting,2025-06-12,,,Meeting
mg105,team sign-off,2025-06-12,Zoom meeting,,Meeting
mg106,brief Zoom meeting to collectively sign off on the manuscript and supplementary files before ScholarOne upload,12 June,https://doodle.com/meetings/zoom-JOCCH-signoff-12June,,Meeting
mg107,"1. Brief review of all recent document changes (camera-ready PDF, notebook update, cover letter).
  2. Final cross-check using the internal checklist.
  3. Confirmation of submission procedure on ScholarOne.
  4. Open floor for any last technical or editorial adjustments.",2019-02-14,https://stanford.zoom.us/j/98347920145?pwd=JOCCHfinalsignoff,16:00 IST / 11:30 BST / 3:30 AM PDT,Meeting
mg108,Zoom sign-off meeting and key points/action items for final ScholarOne submission of JOCCH camera-ready manuscript,2021-06-12,,,Meeting
mg109,deadline for additional minor typographical corrections or further accessibility suggestions,2019-03-10,,16:00 IST,Meeting
mg110,brief online presentation or webinar to highlight results and answer questions about applying HistocrNLP to regional corpora,September,,,Meeting
mg111,plan this in greater detail,next week,Zoom,,Meeting
mg112,webinar about the work,late-September,,,Meeting
mg113,planning Zoom after the DOI arrives,next week,,midweek,Meeting
mg114,"define the format and division of topics: overview, technical contributions, application demos, and live Q&A",next week,Zoom planning meeting,,Meeting
mg115,planning session for late-September webinar via Zoom,2023-08-09,,,Meeting
mg116,Zoom planning session for webinar,2023-08-09,,15:00 IST / 10:30 BST / 02:30 PDT,Meeting
mg117,Zoom meeting to discuss outreach and webinar plans,2025-08-09/10,,15:00 IST / 10:30 BST / 02:30 PDT or 16:00 IST / 11:30 BST / 03:30 PDT,Meeting
mg118,public summary finalization and dissemination; webinar structure and division of roles; registration and promotion plan; timeline alignment with the publication DOI,2025-08-09,,15:00 IST / 10:30 BST / 02:30 PDT,Meeting
mg119,1. Review and sign-off on public summary & communications; 2. Finalising the structure and technical/demo roles for the late September webinar; 3. Confirming registration processes and cross-institutional promotion plans; 4. Scheduling and next milestones aligned with the article's official online publication,2025-08-09,,,Meeting
mg120,1. Review and sign-off on public summary & communications; 2. Finalizing the structure and technical/demo roles for the webinar; 3. Confirming registration processes and cross-institutional promotion plan; 4. Scheduling and milestones in alignment with the publication’s online release,2021-04-05,https://us02web.zoom.us/j/85123901471?pwd=HstCrNLP2021,15:00 IST / 10:30 BST / 02:30 PDT,Meeting
mg121,HistocrNLP outreach and webinar planning meeting,2019-04-05,,60 minutes,Meeting
mg122,HistocrNLP webinar,2019-09-18,,week of 18–22 September,Meeting
mg123,,,,,Meeting
mg124,technical and content rehearsal,first week of September,,15:00–18:00 IST,Meeting
mg125,"webinar rehearsal following the actual webinar structure, including transitions between each speaker and a test of Q&A/chat moderation workflow",5 September,main IACS Zoom webinar room,15:00–18:00 IST,Meeting
mg126,full trial run for the webinar,2025-09-05,,,Meeting
mg127,"trial rehearsal of main event sequence, transitions across speakers, and speaker handover",5th September,,,Meeting
mg128,,,,,Meeting
mg129,upcoming webinar,,,,Meeting
mg130,,,,,Meeting
mg131,"brief sync meeting to align deliverables, review responsibilities, and address constraints or institutional requirements before public release",2025-09-22/2025-09-23,,,Meeting
mg132,,,,,Meeting
mg133,sync meeting,22 September,regular Zoom link,,Meeting
mg134,sync meeting (alternate link option),22 September,https://stanford.zoom.us/j/94123456789,,Meeting
mg135,upcoming sync meeting,22 September,our established Zoom link,14:30 IST (10:00 BST / 2:00 PDT),Meeting
mg136,"agenda-setting, troubleshooting, and discussion of technical or organizational challenges",22 September,Zoom link (to be circulated),14:30 IST (10:00 BST / 2:00 PDT),Meeting
mg137,"status updates, repository structure, access and permissions, timeline check, technical standards and next steps",,our established Zoom link,14:30 IST (10:00 BST / 2:00 PDT),Meeting
mg138,today’s meeting,,,,Meeting
mg139,our meeting,,,,Meeting
mg140,sync meeting; summarize the meeting minutes and enumerate the immediate action items for the knowledge base compilation,2019-05-12,,,Meeting
mg141,,,,,Meeting
mg142,discuss submission venue and features matrix; make final decision,2025-10-03/2025-10-05,Google Meet (proposed),14:00–17:00 IST,Meeting
mg143,team meeting about submission pathways and features matrix,2022-10-03,Google Meet,14:00–17:00 IST,Meeting
mg144,,,,,Meeting
mg145,Review of the submission venue matrix; Institutional and career priority mapping; Data/code transparency strategy alignment; Open discussion of staged submission methodologies; Timelines and next steps for drafting and submission responsibilities,,https://meet.google.com/vgb-citm-tso,,Meeting
mg146,Meeting Minutes – 22nd May 2019,2019-05-22,,,Meeting
mg147,next check-in by which time initial manuscript sections and supporting materials will be circulated for review,2019-10-10,,,Meeting
mg148,next check-in and feedback on the dual-publishing synthesis,2025-10-10,,,Meeting
mg149,check-in on artifact reproducibility case,10 October,,,Meeting
mg150,address any outstanding questions and update on action items,12 October,,17:00 CET,Meeting
mg151,Zoom coordination to resolve open points regarding the research questions and evaluation frameworks,12 October,,17:00 CET,Meeting
mg152,,,,,Meeting
mg153,"1. Final review and harmonization of evaluation metrics—balancing quantitative and qualitative methodologies for historical NLP resource validation.
2. Confirmation of author order, roles, and final wording of the funding statement and acknowledgments.
3. Policy and process review: Embargo/restricted corpus access, compliance with IACS and UK/Stanford standards as informed by Sunita and Ananya’s updates.
4. Timeline review: Updated milestones for the first complete draft, pre-submission checklist, and revised ACL resource track deadlines.
5. Open discussion: Outstanding issues, next action items, assignment of drafting/editorial responsibilities ahead of internal review.","Thursday, 12 October",https://stanford.zoom.us/j/98456247018?pwd=aFphQ2xhQzc3NDI0R2xNRmtLand3UT09,17:00 CET,Meeting
mg154,"Zoom coordination; evaluation metrics, author order, funding, compliance & embargo policy, timeline revision, outstanding issues",,Zoom,,Meeting
mg155,review harmonized compliance language and resolve any lingering points ahead of formal manuscript circulation,19 October,,,Meeting
mg156,"30-minute final Zoom review session to conduct an integrated read-through of the complete draft, resolve remaining editorial issues, and coordinate final author check-ins before internal circulation",19 October,https://stanford.zoom.us/j/93741259102?pwd=RzlEaWxOT0k4SFJLeW1IRkQyZWVqdz09,18:00 CET,Meeting
mg157,final integrated manuscript review via Zoom,,,,Meeting
mg158,ACL 2021 participation and presentation,2021,,,Meeting
mg159,brief Zoom meeting early next week to align on responsibilities,2021-01-22,,16:00 UTC,Meeting
mg160,synchronize on the granular distribution of tasks for camera-ready submission,2025-01-22,,16:00 UTC,Meeting
mg161,,,,,Meeting
mg162,discuss practical division of labor and establish a timeline for iterative reviews,22 January,Zoom,16:00 UTC,Meeting
mg163,coordination meeting for organized revision process and agenda items 1–5,22 January,,16:00 UTC,Meeting
mg164,"revision coordination meeting; Assignment of revisions (annotation provenance, compliance appendix, formatting/cross-referencing); Internal milestone and upload deadlines; Compliance documentation and administrative actions; Discussion of possible bottlenecks, resource needs; Next steps and communication logistics",22 January,https://us02web.zoom.us/j/88546712309?pwd=Z2VjMDNmWkZjUUpEN05HVVhiZzRXQT09,16:00 UTC,Meeting
mg165,ACL 2021 camera-ready revision coordination meeting,2021-01-22,,,Meeting
mg166,emergency synchronization call if there is a risk of missing the 12 February upload target,2021-02-12,,,Meeting
mg167,"oral session ""NLP for Historical Data and Digital Heritage""",2019-01-28,,,Meeting
mg168,Oral presentation in session 'NLP for Historical Data and Digital Heritage',2019-01-28,https://2021.aclweb.org/speakers,10:30–12:00,Meeting
mg169,NLP for Historical Data and Digital Heritage session presentation,2019-01-28,,10:30–12:00,Meeting
mg170,"""NLP for Historical Data and Digital Heritage"" oral session",2019-01-28,,10:30–12:00,Meeting
mg171,virtual dry run of the presentation,2020-04-22 to 2020-04-27,Zoom (link to be circulated),,Meeting
mg172,virtual dry run,between 22 and 27 April,Zoom,,Meeting
mg173,virtual meeting,,,late afternoons IST,Meeting
mg174,virtual dry run via Zoom,2019-11-12,https://stanford.zoom.us/j/94728615327,5:30–7:00 pm IST,Meeting
mg175,dry run for ACL 2021 oral session,2021-04-24,Zoom link (not explicitly provided in text),5:30–7:00 pm IST,Meeting
mg176,dry run session for presentation,2021-04-24,,5:30–7:00 pm IST,Meeting
mg177,"dry run and practicing concise responses to potential audience questions, particularly around the scalability of our annotation approach and cross-dataset generalizability",24 April,previously circulated Zoom link,5:30 pm IST,Meeting
mg178,"dry run of presentation with full walkthrough, targeted feedback, integration of edits, Q&A drill, and action items",2026-04-24,https://stanford.zoom.us/j/94728615327,5:30–7:00 pm IST,Meeting
mg179,,,,,Meeting
mg180,last group review of camera-ready package,2025-06-11/2025-06-12,,3–5 PM IST,Meeting
mg181,group call for comprehensive review session; walk through ACL camera-ready guidelines; review main slide deck; cross-verify consistency and provenance details; finalize presenter bios; assign owners for outstanding action items,2025-06-11,,3–5 PM IST,Meeting
mg182,"camera-ready review session; Confirm compliance with ACL guidelines and discuss flagged edits; Slide-by-slide review for content, format, and clarity; Update and approve supplementary materials; Final assignment of action items and submission timeline",2021-06-11,,3–5 PM IST,Meeting
mg183,"expedite discussion; review slide figures, Q&A document, model bias coverage, presenter declaration, and presenter bios",2025-06-11,,,Meeting
mg184,final camera-ready submission review meeting,11 June,https://meet.google.com/abc-defg-hij,3–5 PM IST,Meeting
mg185,camera-ready review meeting,2019-12-23,,,Meeting
mg186,brief wrap-up call,tomorrow,,noon IST,Meeting
mg187,group rehearsal / dry run for ACL presentation,2022-07-17 to 2022-07-19,,,Meeting
mg188,rehearsal and dry-run of presentation timing and transitions,July 18,,,Meeting
mg189,,,,,Meeting
mg190,final rehearsal,2024-07-18,https://stanford.zoom.us/j/9182736450,2:00 PM BST / 6:30 PM IST / 6:00 AM PDT,Meeting
mg191,rehearsal for conference presentation,18 July,Zoom,2:00 PM BST / 6:30 PM IST / 6:00 AM PDT,Meeting
mg192,rehearsal,18,,,Meeting
mg193,,,,,Meeting
mg194,,,,,Meeting
mg195,pre-rehearsal transitions check,17 July,,4:30 PM IST / 8:00 AM PDT / 12:00 PM BST,Meeting
mg196,,,,,Meeting
mg197,ACL 2022 conference session presentation,2020-07-25,,,Meeting
mg198,ACL 2022 presentation,2022-07-25,Zoom (backup host and local recording logistics mentioned),,Meeting
mg199,scheduled ACL session and presentation technical checks,2022-07-25,Zoom room (session chair's Zoom room),1:00 PM BST / 5:30 PM IST / 5:00 AM PDT,Meeting
mg200,ACL 2022 presentation session backup Zoom room,,https://stanford.zoom.us/j/7351826490,,Meeting
mg201,ACL 2022 Session presentation and final checks,25 July,Zoom (primary and backup links),1:00 PM BST / 5:30 PM IST / 5:00 AM PDT,Meeting
mg202,,,,,Meeting
mg203,,,,,Meeting
mg204,30-minute Zoom catch-up debrief and planning session,2024-07-30,,4:00 PM IST / 11:30 AM BST / 3:30 AM PDT,Meeting
mg205,debrief agenda to discuss substantive feedback from ACL and pathway for a full journal article,2024-07-30,,4:00 PM IST,Meeting
mg206,"discuss feedback from ACL session and plan journal-length manuscript, including agenda and next steps",2024-07-30,,4:00 PM IST,Meeting
mg207,debrief and planning session; comparative discussion of journal targeting; outline strategies for integrating latest developments in OCR post-processing,"Tuesday, 30 July",,4:00 PM IST,Meeting
mg208,"Debrief and follow-up meeting: review attendee and chair feedback, decide on target journal (JOCCH vs. JDoc), expand conference paper for journal article, plan timeline and writing assignments including OCR post-processing updates, and address other contributed points.","Tuesday, 30 July",https://stanford.zoom.us/j/9854673208?pwd=ZDh4aFpNcUpRS2JZdmtSdXdlRzByUT09,4:00 PM IST,Meeting
mg209,,,,,Meeting
mg210,brief sync to check progress and coordinate on integration before the first complete draft,,,,Meeting
mg211,review all materials and finalize integration plans,mid-next week,,20-30 min check-in,Meeting
mg212,"discuss case study contributions, comparative and cross-lingual protocol mappings, and workflow sections",15 August,https://stanford.zoom.us/j/91475638219?pwd=MnFQa2tkYVpOa2FhZHM3QWlmVEhaQT09,2:30pm BST / 7pm IST / 6:30am PDT,Meeting
mg213,"today’s check-in; preliminary agenda for manuscript timeline, workflow diagram, case study vignettes, comparative protocol table, and next steps",,,"7pm IST (2:30pm BST, 6:30am PDT)",Meeting
mg214,"Zoom call to discuss manuscript timeline, workflow diagram, case study vignettes, comparative protocol table, and resource transparency & data hosting",2020-02-17,,,Meeting
mg215,last-minute objections or changes via email thread,tomorrow,,10:00 BST / 14:30 IST,Meeting
mg216,brief discussion; synchronizing the core message and impact highlights; aligning timeline with expected journal communications; confirming embargo status on Zenodo and GitHub resources,"Thursday, 12 September",https://meet.google.com/abc-wxyz-123,15:30 IST,Meeting
mg217,,,,,Meeting
mg218,operational and outreach priorities while JOCCH submission proceeds through review,2020-03-13,Google Meet,15:30–16:05 IST / 11:00–11:35 BST,Meeting
mg219,,,,,Meeting
mg220,internal call,26 September,,,Meeting
mg221,internal call for synthesis review and planning for external dissemination,2020-09-26,,,Meeting
mg222,"Approval of final outreach materials, procedures for monitoring embargo compliance and managing media queries, planning follow-up communications pending reviewer decision on SUB-JOCCH-2022-0362",26 September,Google Meet (to be circulated),15:30 IST / 11:00 BST,Meeting
mg223,"Final institutional clearance, embargo monitoring and media query protocols, and next steps for initial reviewer feedback on SUB-JOCCH-2022-0362","Thursday, 26 September",https://meet.google.com/fyk-zmkt-pvq,15:30 IST / 11:00 BST,Meeting
mg224,"internal call to discuss press engagement, embargo monitoring, and status of JOCCH submission SUB-JOCCH-2022-0362",2020-03-25,,15:30–16:05 IST / 11:00–11:35 BST,Meeting
mg225,progress review call; review communications or preliminary reviewer questions from JOCCH; assess press office readiness and embargo log; discuss contingency language for outreach statements; assign handover protocols,week of 14 October,same Google Meet link circulated previously,15:00-17:00 IST (10:30-12:30 BST / 02:30-04:30 PDT),Meeting
mg226,forthcoming progress review and agenda including future joint presentations,2022-10-16,,11:00 BST,Meeting
mg227,forthcoming progress review (availability window),2022-10-15,,10:30–12:30 BST,Meeting
mg228,"press office preparations, embargo monitoring log, possible joint presentations for JCDL 2022, editorial communications from JOCCH",2025-10-16,,15:30 IST,Meeting
mg229,next review call,2022-10-16,,15:30 IST / 11:00 BST / 03:00 PDT,Meeting
mg230,"progress review coordination call with status update on JOCCH submission, press/outreach strategies, embargo monitoring log, prospects for JCDL 2022 submission or presentation, and JOCCH reviewer feedback / institutional press office coordination",2022-10-16,https://meet.google.com/bmo-vpsz-wqk,15:30 IST / 11:00 BST / 03:00 PDT,Meeting
mg231,progress review,16 October,Google Meet,,Meeting
mg232,progress review; JOCCH submission status; press/outreach coordination; embargo monitoring log; prospects for joint JCDL 2022 submission; other business,2020-04-11,Google Meet,15:30–16:25 IST,Meeting
mg233,focused virtual meeting to facilitate collaboration; review early feedback; outline FAQ annex; identify additional scenario requirements,15 November,,15:00 IST / 09:30 BST / 01:30 PST,Meeting
mg234,refinements to our press protocol and FAQ annex,2024-11-15,,15:00 IST,Meeting
mg235,proposed consortium meeting to review FAQ annex materials,2025-11-15,,15:00 IST / 09:30 BST / 01:30 PST,Meeting
mg236,alternative time for consortium meeting to review FAQ annex materials,2025-11-15,,15:30 IST,Meeting
mg237,synthesizing the best cross-institutional practices and harmonizing wording for key FAQ scenarios,15 November,,15:30 IST / 10:00 BST / 02:00 PST,Meeting
mg238,FAQ annex workshop; Brief overview of institutional FAQ workflows; Walkthrough and synthesis of draft entries; Agreement on consolidated structure and open items for the annex; Next steps for formatting and integration into the Unified Press Query Protocol by end-November,15 November,,15:30 IST / 10:00 BST / 02:00 PST,Meeting
mg239,FAQ annex working session,2024-11-15,https://meet.google.com/yfa-jknm-wpt,15:30 IST / 10:00 BST / 02:00 PST,Meeting
