:ID,mergeConfidence,mergedFrom,taskDate,taskName,:LABEL
tk171,,,,modeling & evaluation,Task
tk172,,,,project oversight,Task
tk173,,,,literature review sections,Task
tk174,,,2019-05-10,initial results and annotation feedback,Task
tk175,,,2019-05-25,full draft with figures,Task
tk176,,,2019-06-05,ACL/EMNLP submission,Task
tk177,,,,training setup,Task
tk178,,,,validation setup,Task
tk180,,,,performance breakdown per data type,Task
tk181,,,,interpretability side-outputs,Task
tk182,,,,error case annotation,Task
tk183,,,,next round of experiments,Task
tk184,,,,make modeling workflow more explicit for reproducibility and submission appendix,Task
tk185,0.8385,['tk602'],,draft of the annotation instruction set (annotation guidelines drafting),Task
tk186,,,,historian review component of interpretability evaluation,Task
tk187,0.8226,['tk195'],2019-05-07,commencing annotation collection,Task
tk188,,,,external annotations,Task
tk189,,,,outreach to Stanford colleagues,Task
tk190,,,,provide feedback on annotation protocol,Task
tk191,,,,finalize and circulate annotation protocol,Task
tk192,,,2019-05-07,revise annotation protocol,Task
tk193,,,,sample walkthrough,Task
tk194,,,2019-05-07,finalizing annotation protocol,Task
tk197,,,,outreach with cover note,Task
tk198,,,,assist with queries concerning interpretability concepts,Task
tk199,,,,"dispatch the finalized annotation instructions, feedback form, and cover note to the Stanford historians",Task
tk200,,,2025-05-12,receiving feedback from external annotators,Task
tk201,,,,serve as the main point of contact for any annotation-related questions,Task
tk202,,,,,Task
tk203,,,,"confirm once the outreach has been completed, and track any progress updates from external collaborators",Task
tk204,,,,annotation synthesis and draft integration,Task
tk205,,,,visualize and present this human evaluation component for our target submission,Task
tk206,,,,initial outreach to digital historian collaborators,Task
tk207,,,,serve as main point of contact for procedural queries,Task
tk209,,,2019-05-10,check Google Drive folder periodically,Task
tk210,,,2019-05-12,review initial annotation returns and discuss synthesis strategies and workflow adjustments,Task
tk211,,,,share additional resources or exemplars with annotators,Task
tk212,,,2019-05-12,annotation feedback,Task
tk213,,,,collating the first set of annotator responses,Task
tk214,,,,summarizing the key themes from Dr. Liu’s feedback,Task
tk215,,,,reviewing the annotation forms,Task
tk216,,,,refine interpretability analyses and draft narrative,Task
tk217,,,,discuss best practices for visualizing qualitative themes for the reviewers,Task
tk218,,,,pre-analysis highlighting salient trends and adding in-line margin notes to the Google Drive copies,Task
tk219,,,,flag data for potential exemplar visualizations,Task
tk220,,,,"quick tally of “willingness to use” scores, cross-referenced with the presence of noise or error in input documents",Task
tk221,,,,explainable NLP,Task
tk222,,,,Rapid review of cross-annotator quantitative trends,Task
tk223,,,,Identification and discussion of recurring qualitative themes,Task
tk224,,,,Design choices for integrating visualizations,Task
tk225,,,,Alignment with conference reviewer expectations,Task
tk226,,,,Next steps for incorporating insights into the draft,Task
tk227,,,,Assignment of drafting/editing responsibilities,Task
tk228,,,,Timeline for internal review ahead of conference deadline,Task
tk229,,,,circulate the Google Meet link and a shared live notes document,Task
tk230,,,,bring any further updates from Dr. Patel to the meeting,Task
tk231,,,,compare evolving evidence with reviewer guidelines from the latest ACL/EMNLP CFPs,Task
tk232,,,,quantitative review,Task
tk233,,,,qualitative analysis,Task
tk234,,,,visualization planning,Task
tk235,,,,reviewer expectation matching,Task
tk236,,,,drafting assignments,Task
tk237,,,,additional discussion points,Task
tk238,,,,design planning segment,Task
tk239,0.8301,['tk4389'],,prepare to integrate insights into submission draft (converging on a robust manuscript draft),Task
tk240,,,2019-05-18,Initial draft of human evaluation section (quantitative and qualitative synthesis),Task
tk241,,,2019-05-19,Visualization first draft,Task
tk242,,,2019-05-21,Draft overall discussion and reviewer alignment commentary,Task
tk243,,,,historian workflow integration,Task
tk244,,,,highlighting the diversity of document types in submission,Task
tk245,,,,reviewer expectation alignment for interpretability and historical context,Task
tk246,,,2025-05-19,producing a first draft of the visualizations,Task
tk247,,,,smooth integration process for the human evaluation section,Task
tk248,,,,assembling the faithfulness/clarity heatmaps,Task
tk249,,,,bar chart breakdown of willingness scores by OCR artifact severity,Task
tk250,,,2025-05-17,highlighting exemplar explanatory segments in the vignette figure,Task
tk251,,,,proceed with draft visualizations and upload them to shared Drive,Task
tk252,,,,alignment with target conference guidelines,Task
tk253,,,,visualization plan,Task
tk254,,,,annotator anonymization,Task
tk255,,,,update shared annotation metadata sheet,Task
tk256,,,,employ a colorblind-friendly scheme for both heatmaps and bar charts,Task
tk257,,,,include exemplars to highlight in figures,Task
tk258,,,,review updated metadata,Task
tk259,0.8013,"['tk293', 'tk306']",,editorial suggestions on the evaluation results section (refining the evaluation narrative),Task
tk260,,,,draft visualizations,Task
tk261,0.7947,['tk689'],,best practices for accessibility compliance,Task
tk262,,,,privacy compliance,Task
tk263,,,,ACL submissions,Task
tk264,,,,EMNLP submissions,Task
tk265,,,,human evaluation section,Task
tk266,,,2019-05-21,review the draft figures and captions,Task
tk267,,,,provide feedback or mark suggestions directly in the shared Drive,Task
tk268,0.8254,"['tk4879', 'tk4885']",,integrating the summary table into the consolidated draft and harmonizing terminology (integrating these into the main draft),Task
tk269,,,,suggest a sequence for figure order in the manuscript,Task
tk272,,,,manuscript integration,Task
tk274,,,,bar chart grouping clarification,Task
tk275,0.8266,['tk283'],,visually highlighting margin notes in the Document A vignette panel (vignette panel highlighting),Task
tk276,,,,figure file renaming,Task
tk277,,,,supplementary table legend update,Task
tk279,,,,reviewing the draft visualization figures,Task
tk280,,,,"implementation of the suggestions for data anonymization, color accessibility, and figure clarity",Task
tk281,,,,clarify in captions the normalization of annotator ratings and map tick labels to participant IDs,Task
tk282,,,,outline the binning method for artifact severity,Task
tk284,,,,standardized file naming for smooth LaTeX integration,Task
tk285,,,2025-05-23,integrating revisions and visual assets into the draft manuscript,Task
tk286,,,,collectively review and finalize before submission to ACL,Task
tk287,,,,finalize ACL-compliant file naming,Task
tk289,,,,finalize the figures,Task
tk290,,,,group review,Task
tk291,,,,give a final pass to the results section for narrative cohesion,Task
tk292,,,,final narrative review,Task
tk294,,,,verify the integration and display of figures in the draft,Task
tk295,,,2019-05-23,circulate any final comments,Task
tk300,0.8706,['tk297'],,standard administrative pre-submission review (pre-submission administrative checks),Task
tk301,,,,accept final suggestions and compile the LaTeX source,Task
tk302,,,,admin check,Task
tk303,,,,post remaining inconsistencies to shared notes document,Task
tk304,0.815,['tk5411'],,compiling the complete final submission package (prepare package for formal submission),Task
tk305,,,,assemble a transparent evaluation pipeline,Task
tk307,0.8634,['tk316'],,perform the administrative review as a group,Task
tk308,,,2019-05-28,initiate the submission to ACL,Task
tk310,0.7536,['tk3688'],,circulate a confirmation email with the official submission ID (circulate submission confirmation email with tracking ID),Task
tk312,,,,Michael’s narrative pass,Task
tk313,,,,corrected the typographical error in Fig2_BarChart_ArtifactSeverity.png,Task
tk314,,,,italicized the interpretive note in the vignette panel,Task
tk315,,,,ensured consistent script citation formatting in all figure captions,Task
tk317,,,,mark off items in the administrative checklist,Task
tk318,,,,celebrating submission day with the team,Task
tk320,,,2019-07-15,reviewer feedback,Task
tk321,0.8212,"['tk325', 'tk330', 'tk4155']",,prepare a short presentation or poster summary for internal departmental or lab meetings (Preparation of a succinct presentation/poster),Task
tk322,,,,preliminary planning for follow-up work or dataset releases to coincide with or shortly after the conference notifications,Task
tk323,,,,prepare supplementary analyses as potential revisions or complementary material for a future journal article,Task
tk324,,,,schedule a virtual debrief meeting,Task
tk326,0.811,"['tk331', 'tk335', 'tk407', 'tk5440']",,Confirm next actions for public dataset release phases (Phased Dataset Release),Task
tk327,,,,supplementary analyses of annotator disagreement patterns,Task
tk328,,,,explore cross-lingual generalization using the existing codebase,Task
tk329,,,,,Task
tk332,,,,Brainstorming and prioritizing supplementary analyses,Task
tk334,,,,Presentation/Poster Development,Task
tk336,,,,Supplementary Analyses,Task
tk337,,,,Journal Extension Planning,Task
tk338,,,,prepare a concise digital poster,Task
tk339,,,2019-05-29,initial drafting of poster,Task
tk340,,,,methods/results visuals for poster,Task
tk341,,,,narrative structure for poster,Task
tk342,,,2019-06-04,circulate the current documentation template,Task
tk343,0.864,"['tk359', 'tk365']",,review the institutional requirements for dataset clearance (review institutional clearance requirements),Task
tk344,,,2019-06-16,initial phase of annotated OCR error corpus ready for internal review,Task
tk345,0.8046,"['tk347', 'tk356', 'tk374']",,adapting the analysis scripts for annotator disagreement (annotator disagreement experiments),Task
tk346,,,,cross-lingual transfer experiments,Task
tk348,,,,explore potential multilingual datasets for fast prototyping,Task
tk349,,,,extended journal version,Task
tk350,,,,Preliminary outline to be drafted post-ACL decision,Task
tk351,,,2019-06-05,"create a shared spreadsheet to track poster, dataset, and analysis deadlines",Task
tk352,,,2025-06-09,prepare the first draft of the digital poster,Task
tk353,,,,dataset release,Task
tk354,0.8543,"['tk361', 'tk369', 'tk383']",,compile relevant descriptive statistics and example cases from the annotated OCR error corpus (include representative OCR error cases and summary statistics),Task
tk355,,,,seminar poster visualizations,Task
tk357,,,,run initial scripts on the extended multilingual data splits,Task
tk358,,,,review several candidate datasets and share a shortlist,Task
tk360,,,,poster preparation,Task
tk362,,,,include a brief summary of the pipeline scripts for annotator disagreement metrics in the Technical Validation section,Task
tk363,,,,review the clearance checklists and add notes or flagged issues in the Compliance Notes section,Task
tk364,,,2019-06-16,prepare the first draft of the completed template for internal review,Task
tk366,,,,compliance check for copyright and consent,Task
tk367,,,2025-06-10,drafting a preliminary checklist,Task
tk368,,,2025-06-10,upload the initial version to the shared Drive,Task
tk370,,,,clarify licensing and technical validation procedures,Task
tk371,,,,highlight the versioning approach for the codebase within the documentation,Task
tk372,,,,be explicit about the minimum reproducibility standards,Task
tk373,,,2025-06-16,prepare a comprehensive draft of the dataset documentation,Task
tk375,,,2019-06-16,internal review,Task
tk376,,,,synthesize the compliance checklists from all three institutions,Task
tk377,,,2019-06-14,provide representative error samples and associated metadata,Task
tk378,,,,input anticipated deliverables in tracking spreadsheet,Task
tk379,0.8018,"['tk392', 'tk394', 'tk437', 'tk442']",,"section-by-section confirmation of finalized documentation, technical validation, and risk/compliance text",Task
tk380,,,,first-pass internal validation,Task
tk381,,,,advise if Oxford requires any additional metadata fields,Task
tk382,,,,documentation and compliance tracks,Task
tk384,,,,integration into the technical appendix or pipeline scripts,Task
tk385,0.8419,['tk447'],,cross-check integration of the “Sensitive Data & Risk Assessment” section,Task
tk387,,,,compliance checklist draft for data clearance,Task
tk388,,,,insert explicit copyright attributions for each legacy publisher/source,Task
tk389,,,,aggregated note in the dataset README for institutional approval,Task
tk391,,,,summary statistics or error examples expansion requests,Task
tk393,,,,institutional reporting,Task
tk395,,,,obtaining internal approvals,Task
tk396,,,,capturing a brief formal note in the README,Task
tk397,,,,including a summary of permissions obtained from IACS and the British Library,Task
tk398,,,,list explicit publisher/source notes for each major dataset segment,Task
tk399,,,2025-06-15,enter additional comments on the documentation or compliance notes,Task
tk400,,,2025-06-16,assemble a finalized draft for discussion,Task
tk401,0.8037,['tk412'],,Review of the current dataset documentation (Dataset Documentation Review),Task
tk402,,,,Summary statistics and representative cases,Task
tk403,,,,Integration of technical validation pipeline,Task
tk404,0.7821,['tk996'],,prepare an institutional compliance checklist for public code/data sharing,Task
tk405,,,,Sensitive data/risk assessment and external attestation recommendations,Task
tk406,,,,Technical and procedural questions,Task
tk408,,,,Identification of any required revisions and timeline to final draft,Task
tk409,,,,Upload outstanding comments or suggestions on the documentation and compliance notes to the shared drive or tracking spreadsheet,Task
tk410,,,,Proceed to institutional clearance,Task
tk411,,,,Begin preparing supplementary materials for possible journal or conference submission,Task
tk413,,,,Technical Validation Pipeline,Task
tk414,,,,Compliance Issues,Task
tk415,,,,Next Steps Toward Data Release and Submission,Task
tk416,,,2025-06-20,finalize documentation draft,Task
tk417,,,2025-06-18,upload updated validation logs and provide a summary paragraph for technical validation,Task
tk418,,,2025-06-19,finalize the compliance checklist and circulate with highlighted unresolved items,Task
tk419,,,2025-06-21,confirm attestation requirements with the Oxford team and update group,Task
tk420,,,2025-06-22,documentation finalization,Task
tk421,,,,incorporating the recommended edits into the dataset documentation,Task
tk422,0.8462,['tk436'],,clarifying the contextual notes for the representative OCR error cases (expanded contextual notes for OCR error cases),Task
tk423,,,,"expanding descriptions in the ""Examples"" section",Task
tk424,,,2019-06-19,revised draft ready for final review,Task
tk425,,,,uploading the latest version of validation logs,Task
tk426,,,,finalize the “Sensitive Data & Risk Assessment” note,Task
tk427,,,,receive confirmation from Oxford Data Services regarding external attestation,Task
tk428,,,,conclude the compliance documentation as a group,Task
tk430,0.8055,"['tk1089', 'tk2229', 'tk434']",2019-06-22,assemble the complete documentation package (full package assembly),Task
tk431,,,,documentation edits,Task
tk432,,,,compliance section finalization,Task
tk435,0.8294,['tk451'],2019-06-22,full dataset release package submission,Task
tk438,,,,finalized compliance checklist,Task
tk439,,,,rapid check of Section 3 (Attribution and Provenance),Task
tk440,,,,rapid check of Section 5 (Risk & Compliance),Task
tk441,,,2019-06-21,sign off on the merged documentation before submission,Task
tk444,,,,assignment of final responsibilities for submission upload and corresponding author designation,Task
tk445,,,,final review comments,Task
tk446,,,,"review compliance checklist, especially columns D and G",Task
tk448,,,,validate linkage between technical validation summary and expanded contextual notes,Task
tk449,0.7962,['tk903'],,assist with final PDF assembly or online submission portal entry (final compilation and upload),Task
tk450,,,,collective approval and group sign-off for submission,Task
tk453,,,,initial checks for compliance with technical and ethical standards and completeness of supporting documentation and data availability statements,Task
tk454,,,,associate editor assignment and peer review,Task
tk455,,,,track manuscript status or upload responses to queries in ScholarOne system,Task
tk456,,,,initial technical and ethical screening,Task
tk457,,,,peer review process,Task
tk458,,,,review window,Task
tk459,,,,provide an initial decision or request further clarifications,Task
tk460,,,,update contact information or submit an inquiry regarding manuscript’s progress,Task
tk461,,,2019-08-27,submit revised manuscript and point-by-point response letter,Task
tk463,,,,drafting a new subsection addressing domain shift issues in non-English OCR segments,Task
tk464,,,,summarizing relevant observations from the technical appendix and background analyses on corpus diversity,Task
tk465,,,,Illustrative Table on Annotator Agreement,Task
tk466,,,,extract and summarize the inter-annotator agreement metrics by genre,Task
tk467,,,,formatting and integrating the table into the results section,Task
tk468,,,,Compliance Appendix Clarifications,Task
tk469,,,,review the current compliance appendix and propose clarifications or additional language regarding archival licensing terms,Task
tk472,,,2019-09-22,coordination meeting to discuss progress and agree on a concrete timeline,Task
tk473,0.8112,['tk496'],2019-09-22,review and final edits before 22 September deadline (final group review before JOCCH’s deadline),Task
tk474,0.8336,"['tk1143', 'tk462']",,Expansion of the “Limitations and Future Work” Section (expanded limitations discussion),Task
tk475,,,,coordination meeting scheduling,Task
tk476,,,,access to raw annotator agreement data,Task
tk477,,,,inputs from Oxford’s library licensing team for compliance appendix clarifications,Task
tk478,,,2021-08-29,draft revised language for compliance appendix,Task
tk479,,,,coordinate with the Oxford library licensing team,Task
tk480,,,2021-08-30,coordination meeting,Task
tk481,,,2019-09-22,revision,Task
tk482,,,,review alignment with current European archival licensing best practices,Task
tk484,,,,,Task
tk485,,,,,Task
tk486,,,,,Task
tk487,,,2019-09-22,designate primary/secondary reviewers for each document segment,Task
tk488,,,2019-09-22,agree on a timeline for internal feedback before 22 September deadline,Task
tk490,,,2019-09-01,Draft “Limitations and Future Work”,Task
tk491,,,2019-09-02,Distribute final annotator agreement table,Task
tk492,,,2019-09-01,Circulate compliance appendix draft,Task
tk493,,,,Integrate inputs and update the response letter; coordinate feedback cycle,Task
tk494,,,2019-09-07,internal review of all segments,Task
tk495,,,2019-09-15,consolidate and finalize the full manuscript plus response letter,Task
tk497,,,,rapid review of revised wording and attribution table from an Oxford/European library perspective,Task
tk498,0.8071,"['tk505', 'tk569']",,integrate the revised appendix into the main manuscript and update the point-by-point response letter (integrate compliance appendix version into the main manuscript),Task
tk499,,,,suggestions for clarifying the language around annotator rights or third-party re-use,Task
tk500,,,2019-09-03,suggest immediate corrections or additions,Task
tk501,,,2019-09-04,review and confirm accuracy,Task
tk502,,,2019-09-04,statistical subsetting,Task
tk503,,,,prepare and share revised compliance appendix draft and comprehensive attribution table,Task
tk504,,,,review document with focus on articulation of open licenses and licensing attributions,Task
tk506,,,,update the response letter to mention appended compliance mapping table and clarity around third-party reuse,Task
tk507,,,,clarify annotator rights in the disclaimer section,Task
tk508,,,2025-09-07,complete manuscript integration and finalize internal review,Task
tk509,,,,provide input from the Oxford side regarding licensing or best practices documentation,Task
tk510,,,2019-09-06,review the manuscript and response letter,Task
tk511,,,2019-09-08,submission of the revised package,Task
tk515,0.8353,['tk6131'],,"drafting, review, and submission cycles (revision and resubmission process)",Task
tk516,,,,monitor the ACM system for further updates,Task
tk517,,,,historical language resources,Task
tk518,,,,evaluation approaches for NLP in digital heritage,Task
tk519,,,2019-11-27,revise manuscript and submit response letter,Task
tk521,0.8376,"['tk527', 'tk538']",,"rework the caption for Fig. 3, emphasizing genre split procedures and annotation subtleties (revision of Fig. 3 caption)",Task
tk523,,,,verify every hyperlink in the compliance appendix in Windows and Mac environments,Task
tk525,0.8697,['tk555'],,genre segmentation methodology clarification (genre segmentation clarification),Task
tk526,,,,responsible downstream use and adherence to terms of original source archives,Task
tk528,,,2021-12-16,draft caption and brief summary of edge cases,Task
tk529,0.8479,['tk539'],2025-12-15,revision of Ethical Considerations section (update the Ethical Considerations section),Task
tk530,,,,elaborate on responsible downstream use,Task
tk531,,,2025-12-15,share a draft of these additions on shared Drive in the Minor_Revisions folder,Task
tk532,,,,review and provide feedback prior to final integration,Task
tk533,,,2025-12-14,confirm if the proposed slot is agreeable,Task
tk534,0.7794,['tk522'],2025-12-14,provide additional points to address in the ethics section (draft expansion for the Ethical Considerations section),Task
tk535,0.8002,"['tk540', 'tk566']",,hyperlink verification process for the compliance appendix and body text,Task
tk536,,,,generate the camera-ready PDF,Task
tk537,,,2019-12-15,provide a summary of checks and any suggested tweaks in the shared “Minor_Revisions” subfolder,Task
tk541,,,,integrating edits into the camera-ready version,Task
tk543,,,,final technical or compliance clarifications before resubmission,Task
tk544,0.8382,['tk554'],2019-12-17,upload final caption for Fig. 3 (finalized caption for Figure 3),Task
tk545,,,2019-12-18,incorporate licensing statements into Ethical Considerations section,Task
tk546,,,2019-11-08,finalize hyperlink corrections and submit annotated checklist to Minor_Revisions folder,Task
tk547,,,2019-12-20,collate updated sections into master camera-ready document and draft response letter,Task
tk548,,,2019-12-22,internal deadline for all file finalizations,Task
tk549,,,2019-12-23,upload revised manuscript and response letter to JOCCH,Task
tk550,,,2019-11-27,journal deadline for revised submission to JOCCH,Task
tk551,,,,consider supplementary annotation discrepancy table post-submission,Task
tk552,,,,circulate additional thoughts or overlooked action items,Task
tk556,,,,cross-reference statement for NER ambiguity examples,Task
tk557,,,,annotation policy adjustments after preliminary inter-annotator agreement analysis,Task
tk558,,,,updated caption and tabular summary preparation,Task
tk559,,,,bulleted documentation of annotation outliers,Task
tk560,,,2019-12-20,internal compilation of minor revision tasks,Task
tk561,,,,final ethics section amendments,Task
tk562,,,,review the finalized updates for the “Ethical Considerations” section,Task
tk564,,,2021-12-20,20 December internal compilation,Task
tk567,,,,standardized hyperlink formatting throughout the document,Task
tk568,,,,documenting platform/browser tests and a record of each fix,Task
tk571,,,,meet the internal deadline,Task
tk572,0.7743,['tk570'],2019-12-21,run a final pass with the built-in Accessibility Checker on the combined PDF (run the accessibility scan on the merged PDF),Task
tk573,,,,skim the integrated Ethical Considerations section for cross-reference accuracy and correct pagination,Task
tk574,,,,double-check the placement and formatting of the updated Fig. 3 caption and agreement table,Task
tk575,,,2019-12-21,distribute the complete camera-ready file for sign-off,Task
tk576,,,2019-12-23,upload the final version and accompanying response letter to JOCCH,Task
tk577,,,,complete final checks on schedule,Task
tk578,,,,accessibility scan on the integrated camera-ready PDF,Task
tk579,,,,,Task
tk581,,,,tweak the contrast levels in Fig. 2 and Fig. 4 for improved accessibility,Task
tk582,,,,make minor visual adjustments,Task
tk584,,,,share the compiled response letter,Task
